experiment_name,experiment_slug,descriptor,experiment_path,intervention_source,graph_source,N,T,has_truth,field_mode,latent_rank
r1_hybrid_us_county_intervention_uscounty_graph_contiguous_confounding,r1_hybrid_us_county_intervention_uscounty_graph_contiguous_confounding,r1_hybrid_us_county_intervention_uscounty_graph_contiguous_confounding,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticHybridExperiments/r1_hybrid_us_county_intervention_uscounty_graph_contiguous_confounding,fixed_artifact,fixed_artifact,3014,120,True,confounded_low_rank,1
r1_hybrid_us_county_intervention_uscounty_graph_kernel_confounding,r1_hybrid_us_county_intervention_uscounty_graph_kernel_confounding,r1_hybrid_us_county_intervention_uscounty_graph_kernel_confounding,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticHybridExperiments/r1_hybrid_us_county_intervention_uscounty_graph_kernel_confounding,fixed_artifact,fixed_artifact,3014,120,True,confounded_low_rank,1
