experiment_name,experiment_slug,descriptor,experiment_path,intervention_source,graph_source,N,T,has_truth,field_mode,latent_rank
spectral_low_rank,spectral_low_rank,spectral_low_rank,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticHybridExperiments/spectral_low_rank,generated,generated,500,50,True,random_low_rank,3
confounding_weak,confounding_weak,confounding_weak,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticHybridExperiments/confounding_weak,generated,generated,500,50,True,confounded_low_rank,3
confounding_moderate,confounding_moderate,confounding_moderate,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticHybridExperiments/confounding_moderate,generated,generated,500,50,True,confounded_low_rank,3
confounding_strong,confounding_strong,confounding_strong,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticHybridExperiments/confounding_strong,generated,generated,500,50,True,confounded_low_rank,3
