time_index,sample_mean,sample_std,q025,q500,q975,num_finite_samples
0,-0.027,0.022158519806160338,-0.06899999999999999,-0.022,0.0012000000000000027,8
1,-0.022,0.03778888725538237,-0.08,-0.016,0.028500000000000004,8
2,0.0165,0.040911489828653266,-0.0346,0.018000000000000002,0.07840000000000001,8
3,-0.007500000000000001,0.038545427744416064,-0.07959999999999999,0.002,0.0405,8
4,0.028999999999999998,0.03514256678161116,-0.0205,0.026,0.0746,8
5,0.006,0.02979932885150268,-0.0419,0.008,0.0466,8
6,-0.0020000000000000018,0.04975942121849891,-0.0815,-0.012,0.0732,8
7,-0.011,0.04807286136688767,-0.0805,-0.008,0.07140000000000002,8
8,0.019999999999999997,0.05362835071116769,-0.0546,0.04,0.0897,8
9,0.004500000000000002,0.04921127919491628,-0.0513,0.0,0.0878,8
10,-0.022,0.04093897898091744,-0.07529999999999999,-0.018000000000000002,0.0398,8
11,-0.009500000000000001,0.03851947559352282,-0.0744,-0.008,0.0478,8
12,-0.0025000000000000005,0.039946839674747735,-0.0433,-0.012,0.06709999999999999,8
13,0.019500000000000003,0.0467520053045856,-0.048,0.036000000000000004,0.0791,8
14,0.004000000000000002,0.026832815729997475,-0.0353,0.014,0.0405,8
15,-0.005000000000000001,0.020566963801203132,-0.0332,-0.008,0.031100000000000003,8
16,-0.0045000000000000005,0.03797038319532738,-0.0664,0.0,0.0459,8
17,0.024,0.0233238075793812,-0.0033,0.016,0.0593,8
18,0.04,0.0469041575982343,-0.0278,0.044,0.1033,8
19,0.003999999999999998,0.0388329756778952,-0.049199999999999994,0.005999999999999998,0.05910000000000001,8
20,-0.001999999999999999,0.026608269391300142,-0.0537,0.004,0.026600000000000002,8
21,-0.012,0.03168595903550972,-0.0513,-0.016,0.04170000000000001,8
22,-0.0135,0.03117290490153268,-0.0586,-0.01,0.0273,8
23,-0.005000000000000001,0.023130067012440757,-0.0379,-0.006,0.0233,8
24,0.003999999999999999,0.04326661530556787,-0.0532,-0.004,0.08150000000000002,8
25,-0.0175,0.024489793792516916,-0.055799999999999995,-0.022,0.020500000000000004,8
26,0.012500000000000002,0.05822155958062271,-0.0664,0.0,0.1043,8
27,-0.0155,0.0373329613076702,-0.0711,-0.014000000000000002,0.0398,8
28,0.017,0.029171904291629643,-0.0278,0.014,0.0664,8
29,-0.002999999999999999,0.03845776904605882,-0.052,-0.004,0.0499,8
30,-0.006,0.04690415759823429,-0.0864,0.002,0.0492,8
31,-0.004,0.041472882706655445,-0.0598,-0.018000000000000002,0.0579,8
32,0.0069999999999999975,0.04330127018922193,-0.0591,0.004,0.0732,8
33,-0.017499999999999998,0.0463869593743759,-0.0897,-0.0019999999999999983,0.0339,8
34,-0.016,0.04617358552246078,-0.0713,-0.023999999999999997,0.05910000000000001,8
35,-0.011499999999999998,0.03378979135774591,-0.0499,-0.018,0.045000000000000005,8
36,-0.009999999999999998,0.06523802572120035,-0.08589999999999999,-0.026,0.0772,8
37,0.004,0.04939635614091387,-0.061200000000000004,-0.008,0.0765,8
38,1.734723475976807e-18,0.03237282811247729,-0.0426,-0.004,0.05770000000000001,8
39,-0.0055000000000000005,0.031044323152550773,-0.061000000000000006,-0.004,0.0353,8
40,0.018500000000000003,0.03908644266238615,-0.0344,0.01,0.0826,8
41,-0.014,0.037629775444453555,-0.0593,-0.02,0.045200000000000004,8
42,0.004,0.02690724809414742,-0.0469,0.004,0.0313,8
43,-0.0235,0.0376530211271287,-0.08449999999999999,-0.016,0.024500000000000004,8
44,0.020999999999999998,0.03892300091205713,-0.0193,0.01,0.09300000000000001,8
45,0.0,0.036932370625238777,-0.0419,-0.006,0.06760000000000001,8
46,0.018500000000000003,0.033581989220413964,-0.048799999999999996,0.024,0.0572,8
47,-0.0315,0.029559262507714904,-0.0746,-0.032,0.010600000000000002,8
48,0.0014999999999999996,0.02690260210462921,-0.0273,-0.008,0.051800000000000006,8
49,-0.051,0.04389760813529594,-0.1219,-0.05,0.003300000000000001,8
