fold_id,num_training_slots,num_separator_slots,num_validation_slots
1,287491,12157,46962
2,287514,12168,46928
3,287577,12122,46911
4,287496,12205,46909
5,287525,12168,46917
6,287426,12230,46954
7,287485,12180,46945
