experiment_name,outcome_code,outcome_label,intervention_code,intervention_label,lag_code,network_name,field_basis_mode,tau_zero_mean,tau_smoothness_lambda,realized_start_date,realized_end_date,requested_calendar_weeks,realized_calendar_weeks,weeks_dropped_due_to_missing_or_lag,time_steps,requested_node_count,node_count,dropped_node_count,full_fit_status,outcome_only_fit_status,fallback_run,outcome_positive_share,outcome_transition_rate,outcome_weeks,outcome_counties,outcome_rule,intervention_positive_share,intervention_transition_rate,intervention_weeks,intervention_counties,intervention_rule,beta,eta,field::log_population,field::median_household_income,field::pct_black,field::pct_hispanic,field::pct_in_labor_force,field::poverty_rate,final_loss,interaction::contiguity,psi,tau::t_0,tau::t_1,tau::t_10,tau::t_11,tau::t_12,tau::t_13,tau::t_14,tau::t_15,tau::t_16,tau::t_17,tau::t_18,tau::t_19,tau::t_2,tau::t_20,tau::t_21,tau::t_22,tau::t_23,tau::t_24,tau::t_25,tau::t_26,tau::t_27,tau::t_28,tau::t_29,tau::t_3,tau::t_30,tau::t_31,tau::t_32,tau::t_33,tau::t_34,tau::t_35,tau::t_36,tau::t_37,tau::t_38,tau::t_39,tau::t_4,tau::t_40,tau::t_41,tau::t_42,tau::t_43,tau::t_44,tau::t_45,tau::t_46,tau::t_47,tau::t_48,tau::t_49,tau::t_5,tau::t_50,tau::t_51,tau::t_52,tau::t_53,tau::t_54,tau::t_55,tau::t_56,tau::t_57,tau::t_58,tau::t_59,tau::t_6,tau::t_60,tau::t_61,tau::t_62,tau::t_63,tau::t_64,tau::t_65,tau::t_66,tau::t_67,tau::t_68,tau::t_69,tau::t_7,tau::t_8,tau::t_9,zeta
outcome_case_rate_100k_ge_100__intervention_complete_cov_ge_10__lag_0w__contiguity,case_rate_100k_ge_100,case_rate_100k >= 100,complete_cov_ge_10,complete_cov >= 10,0w,contiguity,acs_2021,False,0.0,2021-01-04,2022-05-15,71,71,0,70,3213,3203,10,completed,not_run,False,0.5558433334945672,0.1403416439944694,71,3203,case_rate_100k >= 100,0.8101383825902653,0.014383836581776,71,3203,complete_cov >= 10,-0.02528523024266264,0.50748612725471,0.34506950870998776,-0.22574275463333382,-0.1552341660083731,-0.14732073884463476,0.10669155822440281,-0.010827517613133419,0.17431238058613427,2.4604683568090246,2.107379270126141,0.21729702076768814,0.12045108991434966,0.06937570669455441,-0.012725175351576525,0.12067877314911085,0.04795861920350452,-0.04853357085222768,-0.007955324454832484,-0.09772833292076678,-0.16351479843847766,-0.190446712715135,-0.14507924855187246,0.026956509526022323,-0.344584701110107,-0.15185191873177706,-0.336135543887134,-0.28112195821095187,-0.22363179658798435,-0.027220085245380374,0.0807723639169619,0.237463386482584,0.2986378143481452,0.3389265574513456,-0.04167552872184968,0.39333609839440903,0.3116045626616296,0.41607196797489154,0.4043952303687737,0.2930924086389416,0.45027470213579407,0.3973920603787199,0.2153625203136529,0.09909095025142745,-0.03214616747742053,-0.1437669203257033,0.01634484299395776,-0.025209372418183624,0.018609112270058206,0.10734048941856911,0.1495120439008351,-0.1847360670554933,0.4765046724451846,0.15524089968171922,0.12737753325863074,0.16064842894283488,-0.26914270154247705,0.6327109899083359,1.1543862465773955,1.2100570656359964,1.9058039531053028,1.8837421387457138,1.112250003152406,0.3968439296229833,-0.023282661044088576,-0.29579616749569454,-0.24017825524658398,0.018319673517985233,-0.2123562600281235,-0.13967398901778905,-0.1111359302275388,-0.15649395768855548,-0.05651618175732685,-0.07865468396785662,0.12217014070372996,0.050833103042783184,0.13542407697048237,0.15455185255141365,-0.17744838397994175,-0.034518705830763496,-0.024536660000740833,-0.022776893996978215
outcome_case_rate_100k_ge_100__intervention_complete_cov_ge_10__lag_1w__contiguity,case_rate_100k_ge_100,case_rate_100k >= 100,complete_cov_ge_10,complete_cov >= 10,1w,contiguity,acs_2021,False,0.0,2021-01-11,2022-05-15,71,70,1,69,3213,3203,10,completed,not_run,False,0.5500557513045805,0.1416606713814494,70,3203,case_rate_100k >= 100,0.8074260737701262,0.0145922979815118,70,3203,complete_cov >= 10,-0.02072019501865645,0.5065056738031558,0.330871293021125,-0.21872133386333703,-0.15560853658827442,-0.14199589196594642,0.10711549207315402,-0.01151141652435472,0.17558720606314687,2.4613382608559218,2.105786390294368,0.12548662775018757,0.03126779146961991,-0.01820416675799696,0.11589449620974569,0.04397552708285027,-0.0523448581258613,-0.011572463710250126,-0.10170232968221887,-0.16703843360635412,-0.19289041062208703,-0.14799684132754345,-0.34634879645307637,-0.03807199450763473,-0.15578335071130572,-0.33733703317602964,-0.2823977132282982,-0.22709044407835707,-0.03410327843748262,0.07767618925976574,0.2335349873727784,0.2938260360569465,0.3337118708169171,0.3889445747354755,-0.13947668757402223,0.30477052408020094,0.4104407596052078,0.3990897366219023,0.2866789398833824,0.4430321187283151,0.39280401526321607,0.21050471704612206,0.09888311321776762,-0.036246775242324274,0.006034851678873961,-0.2652998163483524,-0.029893409938395715,0.013886947658770786,0.10205849449674922,0.14482896214149724,-0.1890281776457237,0.47138313935815396,0.15137688575775068,0.12303219554492681,0.15584571222393107,0.6246739122670909,0.015950093329601494,1.147353526238555,1.2254134435928994,1.906307872226282,1.8798547551502311,1.1221108146900298,0.39552684318495374,-0.026291672043225724,-0.3009821137019201,-0.24283336325381782,-0.2169305871766347,-0.18072865787585793,-0.1453275752286716,-0.11543531771649371,-0.16034598349820892,-0.06345603154155385,-0.08355238969392223,0.11744091746817607,0.04643781074168956,0.13019951399057825,0.14872119618155816,,-0.0439836835866947,-0.0314748991698947,0.06307605833378678,-0.06629622202009915
outcome_case_rate_100k_ge_100__intervention_complete_cov_ge_10__lag_2w__contiguity,case_rate_100k_ge_100,case_rate_100k >= 100,complete_cov_ge_10,complete_cov >= 10,2w,contiguity,acs_2021,False,0.0,2021-01-18,2022-05-15,71,69,2,68,3213,3203,10,completed,not_run,False,0.5444080956711779,0.1426420084112321,69,3203,case_rate_100k >= 100,0.8046351473030267,0.014806890598887,69,3203,complete_cov >= 10,-0.027070903780544046,0.5061176116715729,0.3241920000474228,-0.2167303229382833,-0.166142047516126,-0.1448322459012749,0.10287497919594155,-0.005787565040382224,0.17658267571188357,2.4555933891615633,2.1010548496342722,0.023921498418130713,-0.04497081725111486,0.11566007273150777,0.04639126560582239,-0.049174690859456575,-0.008252180403751795,-0.09764223621434484,-0.16330970835070918,-0.18934028870849925,-0.14539457149499574,-0.34486851423997394,-0.1525896815682225,-0.14665648518762583,-0.33461729475623875,-0.27935698748829946,-0.2237736657458477,-0.028349142681483728,0.08144733546257038,0.23770278030135988,0.2986968602928816,0.33880182451209995,0.39362143310789466,0.31143223568195233,-0.2727473629503461,0.4160251408262585,0.40466337826756676,0.2918335584573267,0.45010144529493973,0.3966639291436983,0.21535750515118313,0.10488244900841538,-0.029873227629282007,0.01203112308289545,-0.029057845465880056,0.0070634030634091505,0.020850157702927415,0.10934931760850368,0.15191314827780095,-0.1835883245689917,0.4785021669592097,0.15848347301773982,0.13021846509149143,0.16292858911389496,0.6329382878170307,1.147255541853821,-0.19136249333391128,1.2295897950282715,1.9013526152207127,1.8968052925269503,1.1257390275987869,0.400115351188799,-0.01981773343519728,-0.2943706025487986,-0.23476290719504667,-0.2112884226615482,-0.13920604555717783,-0.05642611251328004,-0.11022068529350446,-0.15492566367917882,-0.05547304659575911,-0.07956581543046683,0.12333875380417027,0.052579930179820614,0.13665303803185966,0.15570541369877416,,,-0.044477273132870636,0.05645134007823443,-0.02118447863501661,-0.07247997731798501
outcome_case_rate_100k_ge_100__intervention_complete_cov_ge_10__lag_3w__contiguity,case_rate_100k_ge_100,case_rate_100k >= 100,complete_cov_ge_10,complete_cov >= 10,3w,contiguity,acs_2021,False,0.0,2021-01-25,2022-05-15,71,68,3,67,3213,3203,10,completed,not_run,False,0.5390075480707425,0.1433171327253833,68,3203,case_rate_100k >= 100,0.8017621347633652,0.0150278889660346,68,3203,complete_cov >= 10,-0.022398776685207608,0.5055467936084809,0.31834767785001145,-0.22227891973157934,-0.17560128162458116,-0.14363788311801848,0.10720582198912139,-0.004695571821127865,0.17717642486855179,2.4565069681483185,2.0983064704733247,-0.04079799141965311,-0.14122157319092687,0.04024321725816973,-0.05334163346145143,-0.011671712569601358,-0.10075545074792563,-0.16694227961266508,-0.19302258851462464,-0.15019847891269156,-0.34906470849500576,-0.15711174870977487,-0.33920136561971054,-0.2674076787509956,-0.283906348446192,-0.22656439379056745,-0.03203263364140094,0.07765524938719973,0.23252378109367677,0.29329138905718455,0.3337142541285597,0.38798891994654056,0.3064759853401466,0.41372083111789043,0.012491345567519309,0.40138990425417614,0.28955820997059767,0.44688270620819665,0.3946307147380847,0.21364329580765318,0.09595584556756975,-0.032678069678720195,0.00914298898637874,-0.03189373208977304,0.012213211341591906,-0.1870338247808938,0.10515289918474462,0.14836817928576643,-0.18533530458324823,0.47299779422844884,0.154443690877874,0.12589887613043904,0.15862930509681894,0.6314047863212492,1.122529120087344,1.2477677858116718,-0.0556663774820924,1.8876099303445941,1.863911063189755,1.1379199610034245,0.3984137256303186,-0.022931947931122562,-0.2971765950978235,-0.24206688354389738,-0.21478818185009868,-0.1441035259867055,-0.1152346862060802,-0.048072723246823316,-0.16101472796683186,-0.06036760589603485,-0.082763267845574,0.11760897746855146,0.04751764656819074,0.13155970881950413,0.15027664432895457,,,,0.04697289785314589,-0.029259801715918268,0.10777371951373393,-0.09212825088968869
outcome_case_rate_100k_ge_100__intervention_complete_cov_ge_10__lag_4w__contiguity,case_rate_100k_ge_100,case_rate_100k >= 100,complete_cov_ge_10,complete_cov >= 10,4w,contiguity,acs_2021,False,0.0,2021-02-01,2022-05-15,71,67,4,66,3213,3203,10,completed,not_run,False,0.5341074831897336,0.1435207523249983,67,3203,case_rate_100k >= 100,0.7988033606553557,0.0152555842533988,67,3203,complete_cov >= 10,-0.02562843417546205,0.5053858774545589,0.31034297142531275,-0.22065127952439667,-0.18457385336006868,-0.14562722001161366,0.10899818144910328,-0.0007379529180841334,0.17738457221476678,2.4593584868811873,2.088991623410141,-0.14601979726035982,-0.2707544028721665,-0.05446225383252932,-0.011421910595763722,-0.10002217098933744,-0.16475572056503698,-0.1914400083443511,-0.14810029979655492,-0.34752302352258324,-0.15480398545449892,-0.339506166179385,-0.28308779924126626,0.008869280281948208,-0.22572637060990516,-0.029201144493866734,0.0798050108427892,0.23573222454665677,0.29590618010838843,0.3358306640319408,0.38987729548891437,0.3077655464578609,0.4122800964946765,0.40170109940617216,-0.18991197799462478,0.2904069460299356,0.44805211774492376,0.39317616875918526,0.21254996605574503,0.0991581698205207,-0.0314940976359122,0.011288614281383978,-0.029840647651497004,0.01453956532296708,0.10214146173538143,-0.05909933714797003,0.15054698253710447,-0.18482225412000805,0.47720305473487196,0.15664147619155813,0.12851990687052062,0.16089388547834635,0.6310178249507681,1.1475642865635087,1.215649797668782,1.9235640419437545,-0.05502344953566218,1.902912940184597,1.1214142421191304,0.39508025638972977,-0.022586735865053883,-0.29467017041151816,-0.23866376065999648,-0.21248967251728665,-0.1408719553388823,-0.11175007471891606,-0.1578161135291123,0.03900047245429272,-0.057426145630382563,-0.07899122481933377,0.12117328705756766,0.05042891301922562,0.13484196012729224,0.15314671377874153,,,,,-0.03874670435581882,0.10296305518762656,0.03680778763762109,-0.07508753152710858
outcome_case_rate_100k_ge_200__intervention_complete_cov_ge_10__lag_0w__contiguity,case_rate_100k_ge_200,case_rate_100k >= 200,complete_cov_ge_10,complete_cov >= 10,0w,contiguity,acs_2021,False,0.0,2021-01-04,2022-05-15,71,71,0,70,3213,3203,10,completed,not_run,False,0.3710254031211936,0.125641140002676,71,3203,case_rate_100k >= 200,0.8101383825902653,0.014383836581776,71,3203,complete_cov >= 10,-0.02265023498049577,0.5454127019187467,0.16308523806294073,-0.26865348057943467,-0.18629920491262786,-0.10465885104348754,0.08695624689315931,-0.03633538232803013,0.1529110220424937,2.602622056242381,2.265868325438642,-0.1683603810218095,-0.15147175761989257,-0.024752356702872482,-0.11238859367771777,-0.02050725006712285,-0.08003284027699621,-0.232809951856652,-0.23323721795360564,-0.3303419906255269,-0.3693448697465061,-0.5372482429863268,-0.3929226377749149,-0.1925936927897493,-0.7724085512471031,-0.4828693310292723,-0.6651877311604358,-0.5595932336703546,-0.5596679082035358,-0.28680105529383404,-0.17166998214852022,0.07875774731515411,0.24650617042583395,0.23985269482044386,-0.22579231050208493,0.2658108382532708,0.23635018665068191,0.221471730383117,0.1947996972648455,0.03824352183962812,0.17590154635317293,-0.055495770761092265,-0.11025483563020125,-0.1214612251722086,-0.16786646749739936,-0.24436847723373423,-0.1892737471135741,-0.013833453998962592,-0.04013586993567234,0.05047624937400292,0.08570153910027016,-0.31562739267633655,0.3560237714021081,-0.00402030552963456,-0.04171009619234019,-0.023462266427154523,-0.3771260810399065,0.5170465803053718,0.834195575198766,0.8953741258415573,1.2175199549947167,1.2096772366295603,0.3561887125702434,-0.2061349063323858,-0.34341140317500957,-0.4019976672350902,-0.20661520321287613,-0.0013685265240931197,-0.21753708513407508,-0.22045343614355073,-0.3441771893563212,-0.38932555810157315,-0.3366976042231033,-0.18521687035151083,-0.06612070708852613,-0.14137590873960407,0.013444220052872956,-0.0007357815335588087,-0.22352512778278708,-0.034913637802793746,-0.10042413862351128,-0.5224401501434369
outcome_case_rate_100k_ge_200__intervention_complete_cov_ge_10__lag_1w__contiguity,case_rate_100k_ge_200,case_rate_100k >= 200,complete_cov_ge_10,complete_cov >= 10,1w,contiguity,acs_2021,False,0.0,2021-01-11,2022-05-15,71,70,1,69,3213,3203,10,completed,not_run,False,0.3635743276392668,0.125629504947807,70,3203,case_rate_100k >= 200,0.8074260737701262,0.0145922979815118,70,3203,complete_cov >= 10,-0.022854550452752656,0.5439719770767173,0.15286187607689972,-0.2737656207037597,-0.19970542102227842,-0.10130230512414931,0.08952218923419011,-0.0437363625654365,0.15281584946840068,2.6013788356662806,2.2830323835129636,-0.1514981112417306,-0.19317398794350743,-0.11533504084935692,-0.022586764424486747,-0.08128663362387278,-0.23353528834920567,-0.23464386099892548,-0.33130417291473824,-0.3679704229574491,-0.5381676976054557,-0.39350219472391096,-0.7725922284373813,-0.22553882477215934,-0.4842613225848003,-0.6670826767516795,-0.5615491178901377,-0.5588615496085964,-0.2872421786066953,-0.17291088913141048,0.07835950076531115,0.24534800226394424,0.2385924007975928,0.26421197422152204,-0.2436442756015111,0.23472486497999648,0.21998371937345595,0.1937388694906712,0.038077977282435255,0.17572135045690224,-0.05606888897183514,-0.11001116204378489,-0.12134387787353496,-0.16799471208919206,-0.19233648123497932,-0.37712708425568703,-0.014739775841749512,-0.04104501601095968,0.04936363955142411,0.0847699997369565,-0.31567734409938597,0.35448222448241856,-0.004313830135886741,-0.041869908234906036,-0.02334862140800262,0.5152867931495044,-0.006794617841048583,0.8267163559109199,0.8951213398886753,1.213023850449214,1.2046821581586404,0.3553318909482673,-0.204178775572996,-0.343464548233786,-0.4010177608760528,-0.20733970245578046,-0.21898019251472803,-0.22916088064413404,-0.22166129799074588,-0.34309412645390025,-0.39147098067620306,-0.335685836261661,-0.18570065601568714,-0.06720424176227442,-0.14171992394616256,0.012842127952391275,-0.002012449019449546,,-0.045217258595619675,-0.10681041855650357,-0.029546679949830283,-0.5392288631717853
outcome_case_rate_100k_ge_200__intervention_complete_cov_ge_10__lag_2w__contiguity,case_rate_100k_ge_200,case_rate_100k >= 200,complete_cov_ge_10,complete_cov >= 10,2w,contiguity,acs_2021,False,0.0,2021-01-18,2022-05-15,71,69,2,68,3213,3203,10,completed,not_run,False,0.3571968308696104,0.1252639988246313,69,3203,case_rate_100k >= 200,0.8046351473030267,0.014806890598887,69,3203,complete_cov >= 10,-0.027621691449094654,0.5443827586964405,0.1535468454020154,-0.2744581710976631,-0.21667761026485322,-0.10655357241056944,0.083384277742965,-0.04117946137954929,0.15268841259126315,2.5992133037775504,2.279003945606888,-0.19853792089660383,-0.22999396039465778,-0.02347203990022313,-0.08036594733120403,-0.23146890981795512,-0.23192555504900572,-0.3295102232378583,-0.3693605731482608,-0.5386691892763052,-0.3931082191047605,-0.771112067393163,-0.48225050911371253,-0.24940362295293472,-0.6654811272921995,-0.5609264649476627,-0.5590696302037136,-0.28574202180433783,-0.17015518916335481,0.08175945466773396,0.2489960893529035,0.24206699206433205,0.26773836387532735,0.2386144602337627,-0.38279754384554804,0.22402969960608893,0.19792592587604707,0.04209081019103681,0.17960082796689494,-0.0521352553707333,-0.1065732606877985,-0.11686349142512438,-0.1640426154048734,-0.18897737935801598,-0.014037218625678862,-0.012907913551914115,-0.03686748744467711,0.05362823051455735,0.08916868388884881,-0.3121111020396557,0.3596132242904016,0.0005076706915135268,-0.037090202512814766,-0.01865308906710453,0.5205563749003244,0.8376132736156929,-0.23757751006346078,0.9023045765509827,1.22391921998421,1.222536737396202,0.3628057390018094,-0.19897532683096797,-0.33741344690735037,-0.3974517580722685,-0.2033308378731249,-0.215234500685255,-0.2184673069592115,-0.055781112685774056,-0.34133848027433056,-0.3903746990105485,-0.33386978561136754,-0.18138177986952675,-0.06357058917316304,-0.13735823356668575,0.017110008068887367,0.0029509501033971,,,-0.12028458109747604,-0.03577790997950382,-0.11935942739491329,-0.5277863447679466
outcome_case_rate_100k_ge_200__intervention_complete_cov_ge_10__lag_3w__contiguity,case_rate_100k_ge_200,case_rate_100k >= 200,complete_cov_ge_10,complete_cov >= 10,3w,contiguity,acs_2021,False,0.0,2021-01-25,2022-05-15,71,68,3,67,3213,3203,10,completed,not_run,False,0.3517612165065839,0.1244169412071705,68,3203,case_rate_100k >= 200,0.8017621347633652,0.0150278889660346,68,3203,complete_cov >= 10,-0.02685386760749605,0.5445487226605716,0.1528890491632507,-0.2731265250119552,-0.23147698625623214,-0.1137118051600213,0.07416711267064373,-0.0351987893785764,0.152033392353787,2.6112592703667588,2.2746362918652294,-0.22987902556760473,-0.24754685656218184,-0.08154311550040928,-0.23178176160290412,-0.2310512261875936,-0.3284602821152194,-0.365209234312368,-0.5337963910976015,-0.3890614574334602,-0.7653841427561665,-0.4772643451859621,-0.6594798180530602,-0.3791571621615565,-0.5565041772354252,-0.5552997897077953,-0.28245542236748306,-0.16776271277640187,0.08276558290627663,0.25042251086710376,0.24241577176264917,0.2674175404957511,0.23744542856332734,0.2224993954469753,-0.009822875997502449,0.19572128947029802,0.04008377462927322,0.17711275972001683,-0.05540102938489445,-0.10774422337217805,-0.11939872557768663,-0.16524538098441657,-0.19012695928405096,-0.014833344402060302,-0.041364404375388596,-0.23450668096993338,0.05226649292849107,0.08734057492664551,-0.3141807855388773,0.35853078065266536,-0.0008398999832290388,-0.03814070988814953,-0.0194601677465562,0.5185958855858083,0.8327045139756335,0.8940038829104221,-0.05802849761306074,1.2192989636129552,1.2126664220259016,0.35864530749431345,-0.20205672672776498,-0.33926346194314694,-0.3964205713602031,-0.2023590377637591,-0.2137537397514936,-0.2164059343819511,-0.3377588010589762,-0.12457074884597438,-0.38829460296643126,-0.33148724369317306,-0.17914823673004157,-0.06206759920727358,-0.13550086082807009,0.01905080412295463,0.004000179320672626,,,,-0.04542272871600773,-0.12313933372250595,-0.026256254621867172,-0.5184345405756926
outcome_case_rate_100k_ge_200__intervention_complete_cov_ge_10__lag_4w__contiguity,case_rate_100k_ge_200,case_rate_100k >= 200,complete_cov_ge_10,complete_cov >= 10,4w,contiguity,acs_2021,False,0.0,2021-02-01,2022-05-15,71,67,4,66,3213,3203,10,completed,not_run,False,0.3476777834213261,0.1228441139462057,67,3203,case_rate_100k >= 200,0.7988033606553557,0.0152555842533988,67,3203,complete_cov >= 10,-0.026235580417942092,0.5461304167653852,0.1572994910026435,-0.28321353307133595,-0.2274650970038999,-0.12064546162597364,0.06841749489132899,-0.03712470197859779,0.15101951759346735,2.6309075219714173,2.2635433332178194,-0.24682117936464212,-0.37588431694771246,-0.23023735962952854,-0.2278830220177835,-0.32374982346564374,-0.36015373440241194,-0.5282489666018392,-0.3827098620153217,-0.7628034509551525,-0.470796866998516,-0.6536175363431438,-0.5501336804847642,-0.004816769572424707,-0.5499200268162289,-0.2759197531473126,-0.16232791032508118,0.08679047029055137,0.2520697469553572,0.24270745232323937,0.2680971858836536,0.23738933836533804,0.2213896335985721,0.19386247831887932,-0.2284854031470449,0.0370383233109646,0.17407799044127795,-0.0586183850126879,-0.11178307886140768,-0.12183189186301457,-0.16829798586942263,-0.1909223280034916,-0.014901447638688798,-0.04158673826122821,0.048488916987233066,-0.053086783384086476,0.08711304749659865,-0.314334851214179,0.35847192518213905,-0.0023538742788180135,-0.039570660425441474,-0.020740458424926368,0.516630401692395,0.8247864078203313,0.8898370103114258,1.213736325360512,-0.12232770919091321,1.2064906415063401,0.3498734589379894,-0.2076349777605068,-0.342139948697622,-0.3956877814794829,-0.19990442173396342,-0.20909899975662052,-0.21168261505691835,-0.33271760027794883,-0.38060779132949596,-0.047327877517658976,-0.32563906943813825,-0.1736777470943385,-0.05562109989499187,-0.1315245991937718,0.023176677392410514,0.00803869683228882,,,,,-0.1300741699275337,-0.0273608547371022,-0.08244760792005373,-0.5005439432420283
