experiment_name,descriptor,variant_name,variant_slug,optimizer_mode,field_mode,latent_rank,lambda_nuclear,lambda_frobenius,lambda_uv_ridge,fixed_scalar_params,ranking_mode,rank_in_experiment,is_best,total_recovery_rmse,final_loss,field_rmse,interaction_fro_error,optimizer_status,beta_abs_error,xi_abs_error,eta_abs_error,estimated_field_max_abs_entry,estimated_field_rank,true_field_max_abs_entry,true_field_rank
outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_40__lag_2w__contiguity__start_2020_09_06,outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_40__lag_2w__contiguity__start_2020_09_06,nuclear_lambda_6e_2,nuclear_lambda_6e_2,nuclear_norm,,0,0.06,0.0,0.0,{},final_loss_only,1,True,,0.28768238333467405,,,CONVERGED: proximal objective tolerance reached,,,,1.6048273758015883,83,,
outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_40__lag_2w__contiguity__start_2020_09_06,outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_40__lag_2w__contiguity__start_2020_09_06,alternating_rank_20_lambda_15,alternating_rank_20_lambda_15,alternating_latent_rank,,20,0.0,0.0,15.0,{},final_loss_only,2,False,,0.39267423657413486,,,CONVERGED: alternating objective tolerance reached,,,,2.0248993430329234,20,,
outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_40__lag_2w__contiguity__start_2020_09_06,outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_40__lag_2w__contiguity__start_2020_09_06,nuclear_lambda_8e_2,nuclear_lambda_8e_2,nuclear_norm,,0,0.08,0.0,0.0,{},final_loss_only,3,False,,0.4000457337534954,,,CONVERGED: proximal objective tolerance reached,,,,1.2880004715374114,72,,
outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_40__lag_2w__contiguity__start_2020_09_06,outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_40__lag_2w__contiguity__start_2020_09_06,alternating_rank_10_lambda_10,alternating_rank_10_lambda_10,alternating_latent_rank,,10,0.0,0.0,10.0,{},final_loss_only,4,False,,0.4162349405568628,,,CONVERGED: alternating objective tolerance reached,,,,2.245986228961208,10,,
outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_40__lag_2w__contiguity__start_2020_09_06,outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_40__lag_2w__contiguity__start_2020_09_06,alternating_rank_5_lambda_10,alternating_rank_5_lambda_10,alternating_latent_rank,,5,0.0,0.0,10.0,{},final_loss_only,5,False,,0.44913339965144594,,,CONVERGED: alternating objective tolerance reached,,,,1.8952821530120743,5,,
outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_40__lag_2w__contiguity__start_2020_09_06,outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_40__lag_2w__contiguity__start_2020_09_06,alternating_rank_10_lambda_18,alternating_rank_10_lambda_18,alternating_latent_rank,,10,0.0,0.0,18.0,{},final_loss_only,6,False,,0.4511396831111703,,,CONVERGED: alternating objective tolerance reached,,,,1.2087645665060283,10,,
outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_40__lag_2w__contiguity__start_2020_09_06,outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_40__lag_2w__contiguity__start_2020_09_06,alternating_rank_5_lambda_14,alternating_rank_5_lambda_14,alternating_latent_rank,,5,0.0,0.0,14.0,{},final_loss_only,7,False,,0.4605513450237955,,,CONVERGED: alternating objective tolerance reached,,,,1.451948088616565,5,,
outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_40__lag_2w__contiguity__start_2020_09_06,outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_40__lag_2w__contiguity__start_2020_09_06,alternating_rank_2_lambda_5,alternating_rank_2_lambda_5,alternating_latent_rank,,2,0.0,0.0,5.0,{},final_loss_only,8,False,,0.47337816823580514,,,CONVERGED: alternating objective tolerance reached,,,,2.6096100100309445,2,,
outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_40__lag_2w__contiguity__start_2020_09_06,outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_40__lag_2w__contiguity__start_2020_09_06,alternating_rank_2_lambda_10,alternating_rank_2_lambda_10,alternating_latent_rank,,2,0.0,0.0,10.0,{},final_loss_only,9,False,,0.4773569144249098,,,CONVERGED: alternating objective tolerance reached,,,,1.6532692502129565,2,,
outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_40__lag_2w__contiguity__start_2020_09_06,outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_40__lag_2w__contiguity__start_2020_09_06,alternating_rank_20_lambda_25,alternating_rank_20_lambda_25,alternating_latent_rank,,20,0.0,0.0,25.0,{},final_loss_only,10,False,,0.48020708446540983,,,CONVERGED: alternating objective tolerance reached,,,,0.8285041965964364,20,,
