descriptor,folder,N,T,temperature_regime,fro_regime,graph_family,gamma_fro_norm,field_complexity,interaction_complexity,final_loss,parameter_rmse,field_rmse,interaction_fro_error,beta_abs_error,eta_abs_error,zeta_abs_error,psi_abs_error,avg_field_coef_abs_error,max_field_coef_abs_error,avg_interaction_coef_abs_error,max_interaction_coef_abs_error,n_field_params,n_interaction_params
N100_T10_high_temp_fro_small_uniform_known_graph,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\n100_t10_high_temp_fro_small_uniform_known_graph_20260331_225758,100,10,high_temp,fro_small,complete,1.0050378152592128,uniform,known_graph,0.6790871085392585,0.03798821301837587,0.001331661151369262,0.06046081220260006,0.028325390370748202,0.04907881991122633,0.04274125795762608,0.00015652202613759825,0.0013316611513692622,0.0013316611513692622,0.06015774857884962,0.06015774857884962,1,1
N100_T10_high_temp_fro_small_uniform_shared_feature_interactions,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\n100_t10_high_temp_fro_small_uniform_shared_feature_interactions_20260331_225800,100,10,high_temp,fro_small,complete,1.0050378152592128,uniform,shared_feature_interactions,0.6567596367879623,1.2005492045871695,0.0511668054213321,2.31194569623351,0.07923853235224168,0.005249350574966014,0.04258317367003783,0.031003911361128095,0.05116680542133209,0.05116680542133209,1.0276685967242896,3.914056452591288,1,11
N100_T10_high_temp_fro_small_shared_feature_field_known_graph,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\n100_t10_high_temp_fro_small_shared_feature_field_known_graph_20260331_225803,100,10,high_temp,fro_small,complete,1.0050378152592128,shared_feature_field,known_graph,0.6797292708994548,0.0967882251089505,0.09066629827427597,0.2440710827693977,0.010051141354561588,0.01777573267658899,0.08162554842207778,0.014823225170506521,0.07267587458223336,0.18341351562008443,0.2428476611165609,0.2428476611165609,11,1
N100_T10_high_temp_fro_small_shared_feature_field_shared_feature_interactions,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\n100_t10_high_temp_fro_small_shared_feature_field_shared_feature_interactions_20260331_225805,100,10,high_temp,fro_small,complete,1.0050378152592128,shared_feature_field,shared_feature_interactions,0.6686475486711382,0.48988275542362597,0.11163989596378678,1.5290991446689866,0.02714259142419459,0.025944985944939665,0.04027179258659777,0.04823616925718133,0.0601574279020414,0.14095843275632342,0.6145693000037048,1.3966072129665819,11,11
N100_T10_high_temp_fro_medium_uniform_known_graph,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\n100_t10_high_temp_fro_medium_uniform_known_graph_20260331_225808,100,10,high_temp,fro_medium,erdos_renyi,1.7760408181273089,uniform,known_graph,0.6845444725899028,0.13498611739076533,0.08373138727212516,0.5290163430744718,0.08707205583043798,0.037833875445186065,0.04562261885530346,0.04999999720328969,0.08373138727212515,0.08373138727212515,0.2978627167095611,0.2978627167095611,1,1
N100_T10_high_temp_fro_medium_uniform_shared_feature_interactions,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\n100_t10_high_temp_fro_medium_uniform_shared_feature_interactions_20260331_225810,100,10,high_temp,fro_medium,erdos_renyi,1.8414677461762974,uniform,shared_feature_interactions,0.66178589939899,0.49709128262097485,0.2043161382299472,1.5891818476690172,0.01860999950955944,0.02284741255102496,0.03242167879037802,0.027184502451140652,0.2043161382299472,0.2043161382299472,0.523585810246436,1.2779474953951566,1,11
N100_T10_high_temp_fro_medium_shared_feature_field_known_graph,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\n100_t10_high_temp_fro_medium_shared_feature_field_known_graph_20260331_225813,100,10,high_temp,fro_medium,erdos_renyi,1.7533037597843888,shared_feature_field,known_graph,0.6676288046559369,0.1563788295765388,0.10873415186402736,0.8576731602536949,0.04461591829585393,0.015629132542286008,0.001225363247089023,0.08584494164923842,0.09957789813988054,0.16602987208939363,0.4891754526090598,0.4891754526090598,11,1
N100_T10_high_temp_fro_medium_shared_feature_field_shared_feature_interactions,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\n100_t10_high_temp_fro_medium_shared_feature_field_shared_feature_interactions_20260331_225815,100,10,high_temp,fro_medium,erdos_renyi,1.7550632221034794,shared_feature_field,shared_feature_interactions,0.6723129249139945,0.38110787835379945,0.19325047986868202,1.3051450020511342,0.004040975396281343,0.04475185032414561,0.05361402451092977,0.10287000598345855,0.12346349553756415,0.5565881765118547,0.4209952815967444,1.2154088385876072,11,11
N100_T10_high_temp_fro_large_uniform_known_graph,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\n100_t10_high_temp_fro_large_uniform_known_graph_20260331_225817,100,10,high_temp,fro_large,cycle,7.0710678118654755,uniform,known_graph,0.6739267745205866,0.03647583139945297,0.02810196569811571,0.278893762106535,0.059438637400898026,0.03329911064284775,0.009890289723713863,0.02996601999352036,0.02810196569811571,0.02810196569811571,0.03944153408323174,0.03944153408323174,1,1
N100_T10_high_temp_fro_large_uniform_shared_feature_interactions,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\n100_t10_high_temp_fro_large_uniform_shared_feature_interactions_20260331_225820,100,10,high_temp,fro_large,cycle,7.0710678118654755,uniform,shared_feature_interactions,0.64978006910839,0.3756626154586876,0.0786344428063131,0.9305450365163063,0.08090988124898754,0.04926922007567116,0.06670737862808182,0.013098079239665841,0.0786344428063131,0.0786344428063131,0.34444421553901966,0.859097156468046,1,11
N100_T10_high_temp_fro_large_shared_feature_field_known_graph,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\n100_t10_high_temp_fro_large_shared_feature_field_known_graph_20260331_225822,100,10,high_temp,fro_large,cycle,7.0710678118654755,shared_feature_field,known_graph,0.663185004886234,0.10776388232887836,0.10242731361600842,0.23277381307326814,0.03569860977155978,0.006867806716299061,0.018502799163854028,0.023229529452589735,0.09909932255518089,0.3202224898466531,0.032919188341351546,0.032919188341351546,11,1
N100_T10_high_temp_fro_large_shared_feature_field_shared_feature_interactions,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\n100_t10_high_temp_fro_large_shared_feature_field_shared_feature_interactions_20260331_225824,100,10,high_temp,fro_large,cycle,7.0710678118654755,shared_feature_field,shared_feature_interactions,0.6511507687389266,1.2682094136483597,0.20036226650832176,3.1382249131664746,0.0495212482323647,0.000684832444744236,0.015854905267409097,0.02748004747942824,0.17532659455465385,0.5016525669144738,1.3693384939698447,4.2400723361235375,11,11
N100_T10_baseline_temp_fro_small_uniform_known_graph,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\n100_t10_baseline_temp_fro_small_uniform_known_graph_20260331_225827,100,10,baseline_temp,fro_small,complete,1.0050378152592128,uniform,known_graph,0.5694682228001399,0.06336895267058582,0.05797127732346363,0.05372410006668759,0.08715329058261906,0.010762356495599895,0.08003886632633705,0.06130183800401068,0.05797127732346363,0.05797127732346363,0.053454804636213105,0.053454804636213105,1,1
N100_T10_baseline_temp_fro_small_uniform_shared_feature_interactions,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\n100_t10_baseline_temp_fro_small_uniform_shared_feature_interactions_20260331_225829,100,10,baseline_temp,fro_small,complete,1.0050378152592128,uniform,shared_feature_interactions,0.522120236569934,0.9764952363940281,0.18591729787471248,1.6885431485284417,0.10065287921996025,0.0624211682064905,0.07833948685676073,0.044555154050317514,0.18591729787471245,0.18591729787471245,0.9421369111133511,2.8706892508654382,1,11
N100_T10_baseline_temp_fro_small_shared_feature_field_known_graph,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\n100_t10_baseline_temp_fro_small_shared_feature_field_known_graph_20260331_225832,100,10,baseline_temp,fro_small,complete,1.0050378152592128,shared_feature_field,known_graph,0.561564299217628,0.16123486527328013,0.18156089430864547,0.15889623003140027,0.0058451106063937,0.033316828925482794,0.04623620261112715,0.06272514399091528,0.1353912336206137,0.44408031545866744,0.158099752684847,0.158099752684847,11,1
