descriptor,folder,N,T,temperature_regime,fro_regime,graph_family,field_complexity,tau_mode,interaction_complexity,gamma_fro_norm,final_loss,parameter_rmse,field_rmse,field_l2_error,static_field_rmse,tau_rmse,interaction_fro_error,avg_alpha_coef_abs_error,avg_tau_abs_error,avg_interaction_coef_abs_error,beta_abs_error,eta_abs_error,zeta_abs_error,psi_abs_error
tau_uniform_field,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\tau_uniform_field_20260405_125945,1000,20,,,,uniform,uniform_random,,3.14907656270504,0.6452116840745387,0.04533090684980466,0.03985569303195866,5.636446162357475,0.024616246943425017,0.042682786591046074,0.39794187033473244,0.024616246943425013,0.036208932610432426,0.12636779780066773,7.585485106098577e-06,0.000516001463130189,0.018325804493925957,0.008937685828134284
tau_shared_field,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\tau_shared_field_20260405_130001,1000,20,,,,shared_feature_field,uniform_random,,3.142202700329549,0.6405341846044781,0.07991647288471507,0.056397238191840844,7.975773913128721,0.10522967382470999,0.0890922614092775,0.5967304893833552,0.042004804531925344,0.07756422544185919,0.1899083370149137,0.021589788933964127,0.0031805019915416566,0.007383264815791629,0.004909032006104652
tau_shared_field_alt_seed,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\tau_shared_field_alt_seed_20260405_130020,1000,20,,,,shared_feature_field,uniform_random,,2.5195979291327113,0.6372380866823142,0.054697196795561835,0.04682992858961819,6.6227520136401585,0.05017180695559371,0.06897422668641962,0.09116019809254206,0.02547459306004867,0.056787886796243754,0.036180454444142585,0.007870328738833643,0.0019514306720548324,0.0042759208593518006,0.0014008162601361063
