descriptor,folder,N,T,temperature_regime,fro_regime,graph_family,field_complexity,interaction_complexity,gamma_fro_norm,parameter_block,name,true,estimate,abs_error,squared_error,parameter_rmse,field_rmse,interaction_fro_error
N100_T10_high_temp_fro_small_uniform_shared_feature_interactions,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\n100_t10_high_temp_fro_small_uniform_shared_feature_interactions_20260331_225800,100,10,high_temp,fro_small,complete,uniform,shared_feature_interactions,1.0050378152592128,interaction,interaction::distance_kernel::feature_3,0.04,-0.44439047388006886,0.48439047388006884,0.23463413118575766,1.2005492045871695,0.0511668054213321,2.31194569623351
N100_T10_high_temp_fro_small_uniform_shared_feature_interactions,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\n100_t10_high_temp_fro_small_uniform_shared_feature_interactions_20260331_225800,100,10,high_temp,fro_small,complete,uniform,shared_feature_interactions,1.0050378152592128,interaction,interaction::cross_similarity::feature_3,0.02,-0.6764753463608224,0.6964753463608224,0.48507790808842755,1.2005492045871695,0.0511668054213321,2.31194569623351
N100_T10_high_temp_fro_small_uniform_shared_feature_interactions,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\n100_t10_high_temp_fro_small_uniform_shared_feature_interactions_20260331_225800,100,10,high_temp,fro_small,complete,uniform,shared_feature_interactions,1.0050378152592128,interaction,interaction::distance_kernel::feature_4,0.04,0.7230476071001164,0.6830476071001164,0.4665540335651949,1.2005492045871695,0.0511668054213321,2.31194569623351
N100_T10_high_temp_fro_small_uniform_shared_feature_interactions,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\n100_t10_high_temp_fro_small_uniform_shared_feature_interactions_20260331_225800,100,10,high_temp,fro_small,complete,uniform,shared_feature_interactions,1.0050378152592128,interaction,interaction::cross_similarity::feature_4,0.02,-1.9323562767097853,1.9523562767097853,3.8116950312080955,1.2005492045871695,0.0511668054213321,2.31194569623351
N100_T10_high_temp_fro_small_uniform_shared_feature_interactions,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\n100_t10_high_temp_fro_small_uniform_shared_feature_interactions_20260331_225800,100,10,high_temp,fro_small,complete,uniform,shared_feature_interactions,1.0050378152592128,interaction,interaction::distance_kernel::feature_5,0.065,0.496284894352261,0.431284894352261,0.1860066600964409,1.2005492045871695,0.0511668054213321,2.31194569623351
N100_T10_high_temp_fro_small_uniform_shared_feature_interactions,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\n100_t10_high_temp_fro_small_uniform_shared_feature_interactions_20260331_225800,100,10,high_temp,fro_small,complete,uniform,shared_feature_interactions,1.0050378152592128,interaction,interaction::cross_similarity::feature_5,0.07,-0.6049432083773246,0.6749432083773246,0.4555483345346766,1.2005492045871695,0.0511668054213321,2.31194569623351
N100_T10_high_temp_fro_small_uniform_shared_feature_interactions,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\n100_t10_high_temp_fro_small_uniform_shared_feature_interactions_20260331_225800,100,10,high_temp,fro_small,complete,uniform,shared_feature_interactions,1.0050378152592128,eta,eta,0.01,0.004750649425033986,0.005249350574966014,2.755568145889602e-05,1.2005492045871695,0.0511668054213321,2.31194569623351
N100_T10_high_temp_fro_small_uniform_shared_feature_interactions,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\n100_t10_high_temp_fro_small_uniform_shared_feature_interactions_20260331_225800,100,10,high_temp,fro_small,complete,uniform,shared_feature_interactions,1.0050378152592128,zeta,zeta,-0.15,-0.19258317367003783,0.04258317367003783,0.0018133266798126034,1.2005492045871695,0.0511668054213321,2.31194569623351
N100_T10_high_temp_fro_small_uniform_shared_feature_interactions,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\n100_t10_high_temp_fro_small_uniform_shared_feature_interactions_20260331_225800,100,10,high_temp,fro_small,complete,uniform,shared_feature_interactions,1.0050378152592128,psi,psi,0.05,0.0810039113611281,0.031003911361128095,0.0009612425196886878,1.2005492045871695,0.0511668054213321,2.31194569623351
N100_T10_high_temp_fro_small_shared_feature_field_known_graph,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\n100_t10_high_temp_fro_small_shared_feature_field_known_graph_20260331_225803,100,10,high_temp,fro_small,complete,shared_feature_field,known_graph,1.0050378152592128,field,field::intercept,0.175,0.14817241584187058,0.026827584158129414,0.0007197192717615162,0.0967882251089505,0.09066629827427597,0.2440710827693977
