subset,lever,value,n_experiments,mean_final_loss,mean_parameter_rmse,mean_field_rmse,mean_field_l2_error,mean_static_field_rmse,mean_tau_rmse,mean_interaction_fro_error,mean_alpha_coef_abs_error,mean_tau_abs_error,mean_interaction_coef_abs_error,mean_beta_abs_error,mean_eta_abs_error,mean_zeta_abs_error,mean_psi_abs_error
all,field_complexity,shared_feature_field,2,0.6388861356433961,0.06730683484013845,0.051613583390729516,7.2992629633844395,0.07770074039015185,0.07903324404784856,0.3439453437379486,0.03373969879598701,0.06717605611905147,0.11304439572952814,0.014730058836398885,0.0025659663317982445,0.005829592837571715,0.0031549241331203792
all,field_complexity,uniform,1,0.6452116840745387,0.04533090684980466,0.03985569303195866,5.636446162357475,0.024616246943425017,0.042682786591046074,0.39794187033473244,0.024616246943425013,0.036208932610432426,0.12636779780066773,7.585485106098577e-06,0.000516001463130189,0.018325804493925957,0.008937685828134284
all,tau_mode,uniform_random,3,0.6409946517871103,0.05998152551002719,0.047694286604472565,6.744990696375452,0.060005909241242904,0.06691642489558107,0.36194418593687655,0.03069854817846634,0.05685368161617846,0.11748552975324134,0.00982256771930129,0.0018826447089088927,0.009994996723023128,0.005082511364791681
all,N,1000,3,0.6409946517871103,0.05998152551002719,0.047694286604472565,6.744990696375452,0.060005909241242904,0.06691642489558107,0.36194418593687655,0.03069854817846634,0.05685368161617846,0.11748552975324134,0.00982256771930129,0.0018826447089088927,0.009994996723023128,0.005082511364791681
all,T,20,3,0.6409946517871103,0.05998152551002719,0.047694286604472565,6.744990696375452,0.060005909241242904,0.06691642489558107,0.36194418593687655,0.03069854817846634,0.05685368161617846,0.11748552975324134,0.00982256771930129,0.0018826447089088927,0.009994996723023128,0.005082511364791681
