statistic,sample_mean,sample_std,q025,q500,q975,num_finite_samples
overall_mean_magnetization,-0.11366,0.0027850314181351718,-0.116966,-0.11376,-0.108668,8
post_intervention_mean_magnetization,,,,,,0
