experiment_name,experiment_slug,descriptor,experiment_path,intervention_source,graph_source,N,T,has_truth,field_mode,latent_rank
partial_confounding_1,partial_confounding_1,partial_confounding_1,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/Hybrid/partial_confounding_1,fixed_artifact,fixed_artifact,3014,115,True,confounded_low_rank,5
partial_confounding_2,partial_confounding_2,partial_confounding_2,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/Hybrid/partial_confounding_2,fixed_artifact,fixed_artifact,3014,115,True,confounded_low_rank,5
partial_confounding_3,partial_confounding_3,partial_confounding_3,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/Hybrid/partial_confounding_3,fixed_artifact,fixed_artifact,3014,115,True,confounded_low_rank,5
partial_confounding_4,partial_confounding_4,partial_confounding_4,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/Hybrid/partial_confounding_4,fixed_artifact,fixed_artifact,3014,115,True,confounded_low_rank,5
partial_confounding_5,partial_confounding_5,partial_confounding_5,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/Hybrid/partial_confounding_5,fixed_artifact,fixed_artifact,3014,115,True,confounded_low_rank,5
partial_confounding_6,partial_confounding_6,partial_confounding_6,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/Hybrid/partial_confounding_6,fixed_artifact,fixed_artifact,3014,115,True,confounded_low_rank,5
partial_confounding_7,partial_confounding_7,partial_confounding_7,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/Hybrid/partial_confounding_7,fixed_artifact,fixed_artifact,3014,115,True,confounded_low_rank,5
partial_confounding_8,partial_confounding_8,partial_confounding_8,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/Hybrid/partial_confounding_8,fixed_artifact,fixed_artifact,3014,115,True,confounded_low_rank,5
partial_confounding_9,partial_confounding_9,partial_confounding_9,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/Hybrid/partial_confounding_9,fixed_artifact,fixed_artifact,3014,115,True,confounded_low_rank,5
partial_confounding_10,partial_confounding_10,partial_confounding_10,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/Hybrid/partial_confounding_10,fixed_artifact,fixed_artifact,3014,115,True,confounded_low_rank,5
