2026-05-03 03:04:48 | INFO | Loading data...
2026-05-03 03:04:48 | INFO | Using panel artifact: /orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/HybridExperiments_r8_c2/r5_c1_hybrid_us_county_intervention_uscounty_graph_contiguous_confounding/panel_data.npz
2026-05-03 03:04:48 | INFO | Using x_0 artifact: /orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/HybridExperiments_r8_c2/r5_c1_hybrid_us_county_intervention_uscounty_graph_contiguous_confounding/x_0.npy
2026-05-03 03:04:48 | INFO | Using fit config: /orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/HybridExperiments_r8_c2/r5_c1_hybrid_us_county_intervention_uscounty_graph_contiguous_confounding/fits/alternating_rank_8_uv_1_e2_beta_mask/fit_realized_config.yaml
2026-05-03 03:04:48 | INFO | Using model artifact directory: /orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/HybridExperiments_r8_c2/r5_c1_hybrid_us_county_intervention_uscounty_graph_contiguous_confounding
2026-05-03 03:04:48 | INFO | Using truth artifact directory: /orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/HybridExperiments_r8_c2/r5_c1_hybrid_us_county_intervention_uscounty_graph_contiguous_confounding
2026-05-03 03:04:48 | INFO | Configured optimizer mode: alternating_latent_rank
2026-05-03 03:04:48 | INFO | Configured latent rank: 8
2026-05-03 03:04:48 | INFO | Using a fixed known graph with scalar xi.
2026-05-03 03:04:48 | INFO | Fit-time hard bounds active: False
2026-05-03 03:04:48 | INFO | Fixed scalar parameters: {}
2026-05-03 03:04:48 | INFO | Warm-start fixed scalars: {} for 0 steps
2026-05-03 03:04:48 | INFO | Beta mask before s: True with s=50
2026-05-03 03:04:48 | INFO | Beta mask after e: True with e=115
2026-05-03 03:04:48 | INFO | Alternating V-column L2-ball constraint active with radius 1.0
2026-05-03 03:04:48 | INFO | Optimizer settings: steps=20000, tol=1e-09, n_starts=5, seed=0, lambda_nuclear=0.0, lambda_frobenius=0.0, lambda_uv_ridge=0.01, v_column_l2_max=1.0, proximal_lr=1.0
2026-05-03 03:04:49 | INFO | Alternating low-rank start 1/5 | seed=0 | initial_loss=0.737091 | initial_penalized=0.737091
2026-05-03 03:04:49 | INFO | Alternating low-rank iter 0 | Loss: 0.575095 | Penalized: 0.576009
2026-05-03 03:05:01 | INFO | Alternating low-rank iter 100 | Loss: 0.535652 | Penalized: 0.541737
2026-05-03 03:05:14 | INFO | Alternating low-rank iter 200 | Loss: 0.535234 | Penalized: 0.541496
2026-05-03 03:05:26 | INFO | Alternating low-rank iter 300 | Loss: 0.535140 | Penalized: 0.541460
2026-05-03 03:05:39 | INFO | Alternating low-rank iter 400 | Loss: 0.535128 | Penalized: 0.541455
2026-05-03 03:05:51 | INFO | Alternating low-rank iter 500 | Loss: 0.535123 | Penalized: 0.541453
2026-05-03 03:06:03 | INFO | Alternating low-rank iter 600 | Loss: 0.535120 | Penalized: 0.541451
2026-05-03 03:06:16 | INFO | Alternating low-rank iter 700 | Loss: 0.535117 | Penalized: 0.541450
2026-05-03 03:06:26 | INFO | Alternating low-rank iter 800 | Loss: 0.535113 | Penalized: 0.541448
2026-05-03 03:06:36 | INFO | Alternating low-rank iter 900 | Loss: 0.535104 | Penalized: 0.541446
2026-05-03 03:06:47 | INFO | Alternating low-rank iter 1000 | Loss: 0.535066 | Penalized: 0.541438
2026-05-03 03:06:57 | INFO | Alternating low-rank iter 1100 | Loss: 0.535009 | Penalized: 0.541424
2026-05-03 03:07:06 | INFO | Alternating low-rank iter 1200 | Loss: 0.535001 | Penalized: 0.541423
2026-05-03 03:07:16 | INFO | Alternating low-rank iter 1300 | Loss: 0.535000 | Penalized: 0.541422
2026-05-03 03:07:25 | INFO | Alternating low-rank iter 1400 | Loss: 0.535000 | Penalized: 0.541421
2026-05-03 03:07:37 | INFO | Alternating low-rank iter 1500 | Loss: 0.535000 | Penalized: 0.541421
2026-05-03 03:07:46 | INFO | Alternating low-rank iter 1600 | Loss: 0.535000 | Penalized: 0.541421
2026-05-03 03:07:56 | INFO | Alternating low-rank iter 1700 | Loss: 0.535000 | Penalized: 0.541420
2026-05-03 03:08:07 | INFO | Alternating low-rank iter 1800 | Loss: 0.535000 | Penalized: 0.541420
2026-05-03 03:08:20 | INFO | Alternating low-rank iter 1900 | Loss: 0.535001 | Penalized: 0.541420
2026-05-03 03:08:32 | INFO | Alternating low-rank iter 2000 | Loss: 0.535001 | Penalized: 0.541420
2026-05-03 03:08:36 | INFO | Alternating low-rank start 2/5 | seed=1 | initial_loss=0.778069 | initial_penalized=0.778069
2026-05-03 03:08:36 | INFO | Alternating low-rank iter 0 | Loss: 0.593841 | Penalized: 0.594533
2026-05-03 03:08:46 | INFO | Alternating low-rank iter 100 | Loss: 0.535594 | Penalized: 0.541731
2026-05-03 03:08:56 | INFO | Alternating low-rank iter 200 | Loss: 0.535225 | Penalized: 0.541460
2026-05-03 03:09:08 | INFO | Alternating low-rank iter 300 | Loss: 0.535195 | Penalized: 0.541447
2026-05-03 03:09:20 | INFO | Alternating low-rank iter 400 | Loss: 0.535172 | Penalized: 0.541442
2026-05-03 03:09:32 | INFO | Alternating low-rank iter 500 | Loss: 0.535142 | Penalized: 0.541436
2026-05-03 03:09:44 | INFO | Alternating low-rank iter 600 | Loss: 0.535102 | Penalized: 0.541429
2026-05-03 03:09:55 | INFO | Alternating low-rank iter 700 | Loss: 0.535072 | Penalized: 0.541424
2026-05-03 03:10:06 | INFO | Alternating low-rank iter 800 | Loss: 0.535060 | Penalized: 0.541422
2026-05-03 03:10:18 | INFO | Alternating low-rank iter 900 | Loss: 0.535055 | Penalized: 0.541421
2026-05-03 03:10:30 | INFO | Alternating low-rank iter 1000 | Loss: 0.535053 | Penalized: 0.541420
2026-05-03 03:10:42 | INFO | Alternating low-rank iter 1100 | Loss: 0.535051 | Penalized: 0.541419
2026-05-03 03:10:53 | INFO | Alternating low-rank iter 1200 | Loss: 0.535050 | Penalized: 0.541418
2026-05-03 03:11:02 | INFO | Alternating low-rank iter 1300 | Loss: 0.535050 | Penalized: 0.541417
2026-05-03 03:11:11 | INFO | Alternating low-rank iter 1400 | Loss: 0.535049 | Penalized: 0.541417
2026-05-03 03:11:21 | INFO | Alternating low-rank iter 1500 | Loss: 0.535049 | Penalized: 0.541416
2026-05-03 03:11:32 | INFO | Alternating low-rank iter 1600 | Loss: 0.535048 | Penalized: 0.541416
2026-05-03 03:11:42 | INFO | Alternating low-rank iter 1700 | Loss: 0.535048 | Penalized: 0.541415
2026-05-03 03:11:51 | INFO | Alternating low-rank iter 1800 | Loss: 0.535048 | Penalized: 0.541415
2026-05-03 03:12:00 | INFO | Alternating low-rank iter 1900 | Loss: 0.535048 | Penalized: 0.541415
2026-05-03 03:12:11 | INFO | Alternating low-rank iter 2000 | Loss: 0.535048 | Penalized: 0.541415
2026-05-03 03:12:23 | INFO | Alternating low-rank iter 2100 | Loss: 0.535048 | Penalized: 0.541414
2026-05-03 03:12:36 | INFO | Alternating low-rank iter 2200 | Loss: 0.535048 | Penalized: 0.541414
2026-05-03 03:12:47 | INFO | Alternating low-rank iter 2300 | Loss: 0.535048 | Penalized: 0.541414
2026-05-03 03:12:59 | INFO | Alternating low-rank iter 2400 | Loss: 0.535048 | Penalized: 0.541414
2026-05-03 03:13:01 | INFO | Alternating low-rank start 3/5 | seed=2 | initial_loss=0.681769 | initial_penalized=0.681769
2026-05-03 03:13:01 | INFO | Alternating low-rank iter 0 | Loss: 0.580525 | Penalized: 0.581166
2026-05-03 03:13:11 | INFO | Alternating low-rank iter 100 | Loss: 0.535575 | Penalized: 0.541677
2026-05-03 03:13:22 | INFO | Alternating low-rank iter 200 | Loss: 0.534921 | Penalized: 0.541236
2026-05-03 03:13:35 | INFO | Alternating low-rank iter 300 | Loss: 0.534642 | Penalized: 0.541036
2026-05-03 03:13:47 | INFO | Alternating low-rank iter 400 | Loss: 0.534629 | Penalized: 0.541012
2026-05-03 03:13:59 | INFO | Alternating low-rank iter 500 | Loss: 0.534478 | Penalized: 0.540861
2026-05-03 03:14:12 | INFO | Alternating low-rank iter 600 | Loss: 0.534388 | Penalized: 0.540839
2026-05-03 03:14:24 | INFO | Alternating low-rank iter 700 | Loss: 0.534253 | Penalized: 0.540813
2026-05-03 03:14:36 | INFO | Alternating low-rank iter 800 | Loss: 0.534238 | Penalized: 0.540811
2026-05-03 03:14:49 | INFO | Alternating low-rank iter 900 | Loss: 0.534236 | Penalized: 0.540810
2026-05-03 03:14:59 | INFO | Alternating low-rank iter 1000 | Loss: 0.534234 | Penalized: 0.540810
2026-05-03 03:15:09 | INFO | Alternating low-rank iter 1100 | Loss: 0.534233 | Penalized: 0.540809
2026-05-03 03:15:18 | INFO | Alternating low-rank iter 1200 | Loss: 0.534232 | Penalized: 0.540808
2026-05-03 03:15:29 | INFO | Alternating low-rank iter 1300 | Loss: 0.534232 | Penalized: 0.540808
2026-05-03 03:15:42 | INFO | Alternating low-rank iter 1400 | Loss: 0.534231 | Penalized: 0.540807
2026-05-03 03:15:54 | INFO | Alternating low-rank iter 1500 | Loss: 0.534230 | Penalized: 0.540807
