statistic,sample_mean,sample_std,q025,q500,q975,num_finite_samples
overall_mean_magnetization,-0.12258000000000001,0.004995477955111003,-0.12931800000000002,-0.12188,-0.115816,8
post_intervention_mean_magnetization,,,,,,0
