variable,rule,positive_share,variance,transition_rate,weeks,counties
outcome,death_rate_100k >= 2,0.39609412503231045,0.9568142765887953,0.29393509612009044,72,3009
intervention,complete_cov >= 20,0.6971169823861748,0.8445795810198737,0.014178122908270493,72,3009
