experiment_name,source_type,variant_name,intervention_source,intervention_name
partial_confounding_1,truth,,saved_intervention,all_intervention_from_s
partial_confounding_1,fit,base,saved_intervention,all_intervention_from_s
partial_confounding_1,fit,alternating_rank_8_uv_5_e3_beta_mask,saved_intervention,all_intervention_from_s
partial_confounding_1,fit,alternating_rank_8_uv_1_e2_beta_mask_xi_zero,saved_intervention,all_intervention_from_s
partial_confounding_1,truth,,saved_intervention,no_intervention
partial_confounding_1,fit,base,saved_intervention,no_intervention
partial_confounding_1,fit,alternating_rank_8_uv_5_e3_beta_mask,saved_intervention,no_intervention
partial_confounding_1,fit,alternating_rank_8_uv_1_e2_beta_mask_xi_zero,saved_intervention,no_intervention
partial_confounding_2,truth,,saved_intervention,all_intervention_from_s
partial_confounding_2,fit,base,saved_intervention,all_intervention_from_s
partial_confounding_2,fit,alternating_rank_8_uv_5_e3_beta_mask,saved_intervention,all_intervention_from_s
partial_confounding_2,fit,alternating_rank_8_uv_1_e2_beta_mask_xi_zero,saved_intervention,all_intervention_from_s
partial_confounding_2,truth,,saved_intervention,no_intervention
partial_confounding_2,fit,base,saved_intervention,no_intervention
partial_confounding_2,fit,alternating_rank_8_uv_5_e3_beta_mask,saved_intervention,no_intervention
partial_confounding_2,fit,alternating_rank_8_uv_1_e2_beta_mask_xi_zero,saved_intervention,no_intervention
partial_confounding_3,truth,,saved_intervention,all_intervention_from_s
partial_confounding_3,fit,base,saved_intervention,all_intervention_from_s
partial_confounding_3,fit,alternating_rank_8_uv_5_e3_beta_mask,saved_intervention,all_intervention_from_s
partial_confounding_3,fit,alternating_rank_8_uv_1_e2_beta_mask_xi_zero,saved_intervention,all_intervention_from_s
partial_confounding_3,truth,,saved_intervention,no_intervention
partial_confounding_3,fit,base,saved_intervention,no_intervention
partial_confounding_3,fit,alternating_rank_8_uv_5_e3_beta_mask,saved_intervention,no_intervention
partial_confounding_3,fit,alternating_rank_8_uv_1_e2_beta_mask_xi_zero,saved_intervention,no_intervention
partial_confounding_4,truth,,saved_intervention,all_intervention_from_s
partial_confounding_4,fit,base,saved_intervention,all_intervention_from_s
partial_confounding_4,fit,alternating_rank_8_uv_5_e3_beta_mask,saved_intervention,all_intervention_from_s
partial_confounding_4,fit,alternating_rank_8_uv_1_e2_beta_mask_xi_zero,saved_intervention,all_intervention_from_s
partial_confounding_4,truth,,saved_intervention,no_intervention
partial_confounding_4,fit,base,saved_intervention,no_intervention
partial_confounding_4,fit,alternating_rank_8_uv_5_e3_beta_mask,saved_intervention,no_intervention
partial_confounding_4,fit,alternating_rank_8_uv_1_e2_beta_mask_xi_zero,saved_intervention,no_intervention
partial_confounding_5,truth,,saved_intervention,all_intervention_from_s
partial_confounding_5,fit,base,saved_intervention,all_intervention_from_s
partial_confounding_5,fit,alternating_rank_8_uv_5_e3_beta_mask,saved_intervention,all_intervention_from_s
partial_confounding_5,fit,alternating_rank_8_uv_1_e2_beta_mask_xi_zero,saved_intervention,all_intervention_from_s
partial_confounding_5,truth,,saved_intervention,no_intervention
partial_confounding_5,fit,base,saved_intervention,no_intervention
partial_confounding_5,fit,alternating_rank_8_uv_5_e3_beta_mask,saved_intervention,no_intervention
