source_type,source_name,source_slug,run_name,run_slug,treated_intervention_slug,control_intervention_slug,s,gte,gte_post_s
fit,alternating_rank_3_uv_1_e2_xi_zero,fit_alternating_rank_3_uv_1_e2_xi_zero,default,default,all_intervention_from_s,no_intervention,50,-0.011953636652145105,-0.02015211066305958
fit,alternating_rank_5_uv_5_e2,fit_alternating_rank_5_uv_5_e2,default,default,all_intervention_from_s,no_intervention,50,-0.06099290268601598,-0.1060665611760502
