source_type,source_name,source_slug,run_name,run_slug,num_samples,gibbs_sweeps,s,overall_mean_magnetization_mean,overall_mean_magnetization_std,overall_mean_magnetization_q025,overall_mean_magnetization_q500,overall_mean_magnetization_q975,post_intervention_mean_magnetization_mean,post_intervention_mean_magnetization_std,post_intervention_mean_magnetization_q025,post_intervention_mean_magnetization_q500,post_intervention_mean_magnetization_q975,truth_overall_mean_magnetization_abs_error,truth_post_intervention_mean_magnetization_abs_error,truth_overall_mean_in_95_interval,truth_post_intervention_mean_in_95_interval,truth_unit_mean_abs_error_mean,truth_unit_mean_squared_error_mean,truth_unit_mean_rmse,truth_unit_mean_max_abs_error,truth_unit_mean_correlation,truth_unit_mean_95_interval_coverage_rate,truth_time_mean_abs_error_mean,truth_time_mean_squared_error_mean,truth_time_mean_rmse,truth_time_mean_max_abs_error,truth_time_mean_correlation,truth_time_mean_95_interval_coverage_rate,truth_rank_in_run,truth_is_best
fit,alternating_rank_3_uv_1_e2_xi_zero,fit_alternating_rank_3_uv_1_e2_xi_zero,default,default,8,100,115,-0.2946330169354606,0.0012110801275758776,-0.29701393497013934,-0.29441735668330404,-0.2932328842214593,,,,,,,,,,,,,,,,,,,,,,,
fit,alternating_rank_5_uv_5_e2,fit_alternating_rank_5_uv_5_e2,default,default,8,100,115,-0.25411341276939503,0.002318609337148957,-0.25830053951126625,-0.25308560053085605,-0.251678110845042,,,,,,,,,,,,,,,,,,,,,,,
