start_index,seed,initialization_kind,initial_mple_loss,initial_penalized_objective,final_mple_loss,final_penalized_objective,iterations,cost_evaluations,success,message,is_best
0,0,random,0.7229258552369205,0.7229753124317904,0.5829521685452645,0.601866507168071,237,1660,True,CONVERGED: alternating objective tolerance reached,True
1,1,random,0.7658076533067308,0.7658572741673692,0.5829591786782139,0.6018665336069672,285,1996,True,CONVERGED: alternating objective tolerance reached,False
2,2,random,0.6719332331967908,0.6719862485488619,0.5829517837501589,0.601866508169177,234,1639,True,CONVERGED: alternating objective tolerance reached,False
3,3,random,0.7113514778139213,0.7114002783198539,0.582959278824147,0.6018665436736214,320,2241,True,CONVERGED: alternating objective tolerance reached,False
4,4,random,0.7159734666501368,0.7160233486802652,0.5829536224107854,0.6018665106952545,245,1716,True,CONVERGED: alternating objective tolerance reached,False
