time_index,sample_mean,sample_std,q025,q500,q975,num_finite_samples
0,-0.1125,0.04653761919135959,-0.1673,-0.112,-0.03379999999999999,8
1,-0.1305,0.049312777248903754,-0.1958,-0.13,-0.03749999999999998,8
2,-0.153,0.04475488800120049,-0.2158,-0.156,-0.0868,8
3,-0.14600000000000002,0.04024922359499621,-0.1833,-0.158,-0.06339999999999998,8
4,-0.1175,0.019280819484658842,-0.1466,-0.11599999999999999,-0.092,8
5,-0.127,0.031096623610932426,-0.1652,-0.132,-0.0696,8
6,-0.078,0.029120439557122072,-0.1106,-0.08399999999999999,-0.023699999999999992,8
7,-0.1175,0.03322273318076043,-0.1572,-0.126,-0.05239999999999999,8
8,-0.14250000000000002,0.03161882350752475,-0.18259999999999998,-0.14400000000000002,-0.0948,8
9,-0.15449999999999997,0.02279802623035599,-0.17859999999999998,-0.164,-0.1129,8
10,-0.0655,0.05067297109899912,-0.1497,-0.057999999999999996,0.014700000000000015,8
11,-0.1545,0.04390614991091795,-0.1986,-0.178,-0.0783,8
12,-0.124,0.032557641192199414,-0.1732,-0.128,-0.0767,8
13,-0.15549999999999997,0.030947536250887562,-0.1925,-0.16399999999999998,-0.1047,8
14,-0.08049999999999999,0.030294388919402223,-0.1285,-0.074,-0.0421,8
15,-0.1305,0.029047375096555632,-0.1673,-0.132,-0.0875,8
16,-0.068,0.048414873747640814,-0.1608,-0.052000000000000005,-0.014099999999999998,8
17,-0.1285,0.02693974758604839,-0.1612,-0.136,-0.07759999999999999,8
18,-0.195,0.03750999866702211,-0.2313,-0.214,-0.1315,8
19,-0.14650000000000002,0.025450933185248825,-0.1739,-0.156,-0.0995,8
20,-0.14100000000000001,0.04174925149029621,-0.2019,-0.14200000000000002,-0.0835,8
21,-0.10450000000000001,0.025411611519146123,-0.1464,-0.106,-0.06609999999999999,8
22,-0.14400000000000002,0.039849717690342554,-0.2076,-0.14400000000000002,-0.08039999999999999,8
23,-0.1815,0.02374342014116753,-0.2125,-0.188,-0.1383,8
24,-0.1135,0.025763346055976504,-0.1393,-0.124,-0.06889999999999999,8
25,-0.08650000000000001,0.041421612716068895,-0.1393,-0.076,-0.028199999999999996,8
26,-0.174,0.04512205669071392,-0.2445,-0.16399999999999998,-0.11099999999999999,8
27,-0.1365,0.018486481547336144,-0.1711,-0.132,-0.116,8
28,-0.1315,0.04797655677515843,-0.2189,-0.12,-0.06509999999999999,8
29,-0.131,0.021424285285628553,-0.16590000000000002,-0.126,-0.09759999999999999,8
30,-0.1495,0.03959482289390874,-0.2026,-0.14800000000000002,-0.0889,8
31,-0.11449999999999999,0.03815429202593071,-0.1744,-0.11599999999999999,-0.0581,8
32,-0.1265,0.019280819484658842,-0.1598,-0.124,-0.0988,8
33,-0.1555,0.0244489263567953,-0.1866,-0.162,-0.1167,8
34,-0.14600000000000002,0.04498888751680797,-0.208,-0.128,-0.0915,8
35,-0.14250000000000002,0.04808066139312145,-0.2241,-0.14800000000000002,-0.0795,8
36,-0.0755,0.01605459435800232,-0.092,-0.082,-0.0494,8
37,-0.112,0.052076866265166145,-0.2053,-0.112,-0.03899999999999999,8
38,-0.14350000000000002,0.041445747670901055,-0.2144,-0.132,-0.0889,8
39,-0.144,0.028,-0.17859999999999998,-0.15,-0.0943,8
40,-0.14750000000000002,0.02982867747654931,-0.2043,-0.144,-0.1108,8
41,-0.1815,0.04175823272122516,-0.2417,-0.19,-0.1148,8
42,-0.1205,0.017022044530549202,-0.14329999999999998,-0.12,-0.0934,8
43,-0.15249999999999997,0.030947536250887565,-0.20379999999999998,-0.15,-0.1141,8
44,-0.1255,0.026452788132822595,-0.1664,-0.126,-0.0823,8
45,-0.1965,0.015548311805466208,-0.216,-0.198,-0.1708,8
46,-0.113,0.03609709129556009,-0.1612,-0.112,-0.054299999999999994,8
47,-0.12350000000000001,0.03062270399556512,-0.1553,-0.13,-0.0741,8
48,-0.0895,0.02849122671981675,-0.12329999999999999,-0.096,-0.045399999999999996,8
49,-0.1475,0.037386494887860236,-0.2031,-0.15,-0.0849,8
