statistic,sample_mean,sample_std,q025,q500,q975,num_finite_samples
overall_mean_magnetization,-0.02674,0.004690031982833379,-0.036112,-0.02548,-0.022606,8
post_intervention_mean_magnetization,-0.02674,0.004690031982833379,-0.036112,-0.02548,-0.022606,8
