experiment_name,experiment_slug,execution_mode,search_name,search_slug,candidate_name,candidate_slug,candidate_index,status,num_completed_folds,weighted_mean_validation_loss,mean_fold_validation_loss,weighted_mean_validation_brier_score,mean_fold_validation_brier_score,standard_error_fold_validation_brier_score,weighted_mean_validation_ece,mean_fold_validation_ece,weighted_mean_validation_mean_magnetization_abs_diff,mean_fold_validation_mean_magnetization_abs_diff,standard_error_fold_validation_mean_magnetization_abs_diff,total_validation_slots,weighted_mean_post_s_validation_loss,mean_fold_post_s_validation_loss,weighted_mean_post_s_validation_brier_score,mean_fold_post_s_validation_brier_score,standard_error_fold_post_s_validation_brier_score,weighted_mean_post_s_validation_ece,mean_fold_post_s_validation_ece,weighted_mean_post_s_validation_mean_magnetization_abs_diff,mean_fold_post_s_validation_mean_magnetization_abs_diff,standard_error_fold_post_s_validation_mean_magnetization_abs_diff,total_post_s_validation_slots,rank
outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2020_03_01,outcome_death_rate_100k_ge_2_intervention_complete_cov_ge_30_lag_2w_distance_kernel_8_start_2020_03_01,cv,default,default,default__candidate_0001,default_candidate_0001,1,completed,7,0.5742191589640384,0.574204597971703,0.17232281559728105,0.172319171534997,0.005104609907352164,0.0570459404241817,0.05704169896716176,0.05858935061456324,0.058587101710396765,0.024342358717575,328526,0.5048503635436933,0.5047879295531466,0.16489049689128607,0.16486703885556708,0.0025949917610469443,0.02632373835147113,0.026324449340436522,0.059127079095369135,0.059049078779189135,0.01702438532399412,183854,9
outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2020_03_01,outcome_death_rate_100k_ge_2_intervention_complete_cov_ge_30_lag_2w_distance_kernel_8_start_2020_03_01,cv,default,default,default__candidate_0002,default_candidate_0002,2,completed,7,0.5084097723200683,0.5084028025694514,0.16232787177157115,0.16232594255955962,0.0036738977549051308,0.040657615544081004,0.04065559681037183,0.07044571814711771,0.07043422377740848,0.02141922966648452,328526,0.5021909716248745,0.5021586563646689,0.164615467371384,0.16459967076869195,0.0020533846478534776,0.028622107711750267,0.028648838353725652,0.08212902629260174,0.08218335660248895,0.02143962922357927,183854,17
outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2020_03_01,outcome_death_rate_100k_ge_2_intervention_complete_cov_ge_30_lag_2w_distance_kernel_8_start_2020_03_01,cv,default,default,default__candidate_0003,default_candidate_0003,3,completed,7,0.49008833045751,0.4900820809212152,0.1587574656279533,0.1587555292138207,0.003458936039280592,0.03403628769745448,0.03403421908866959,0.08672677352781823,0.08671668956159453,0.02107073841506561,328526,0.4982848496137446,0.4982490943269323,0.16356593747635756,0.1635492894472745,0.0021002830427164854,0.02672737351905556,0.026749046127660454,0.08637628226745132,0.08642816424274703,0.01963952333830295,183854,18
outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2020_03_01,outcome_death_rate_100k_ge_2_intervention_complete_cov_ge_30_lag_2w_distance_kernel_8_start_2020_03_01,cv,default,default,default__candidate_0004,default_candidate_0004,4,completed,7,0.465594435738316,0.46558960911398956,0.15130880039451453,0.15130700382803539,0.003243643515318537,0.0168955415084178,0.016895128554338525,0.0739899581768262,0.07398080166057366,0.019401705295839282,328526,0.4911012525115104,0.4910595734620733,0.16120914789431115,0.16119116993162172,0.002367931355670433,0.01822115111534124,0.018223715981802883,0.07935236655172039,0.07939784927783619,0.015657311262383213,183854,15
outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2020_03_01,outcome_death_rate_100k_ge_2_intervention_complete_cov_ge_30_lag_2w_distance_kernel_8_start_2020_03_01,cv,default,default,default__candidate_0005,default_candidate_0005,5,completed,7,0.462245865971152,0.4622411580946454,0.1499056284552518,0.1499038581291023,0.003321456366055387,0.01515031230602907,0.01515048103112381,0.0705579619269099,0.07055219362961063,0.01935205408291599,328526,0.4911351832081603,0.4910985433075439,0.1611094043450221,0.16109302338435486,0.0024519235616752262,0.01542945156106431,0.015427467827174992,0.07596652778835379,0.07600277254385701,0.013700590504101898,183854,14
outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2020_03_01,outcome_death_rate_100k_ge_2_intervention_complete_cov_ge_30_lag_2w_distance_kernel_8_start_2020_03_01,cv,default,default,default__candidate_0006,default_candidate_0006,6,completed,7,0.463038429432347,0.46303462841064047,0.15001146522140224,0.15001000492233676,0.003213872787232607,0.01721718216337238,0.01721783588678822,0.08059978510072263,0.08060325815550547,0.019900986199027804,328526,0.4965255477153947,0.49648939163253464,0.16301739061512094,0.16300103859205325,0.002556570056895524,0.015617513055658979,0.01561048969597739,0.07977117712967899,0.07972523748474557,0.02478200198052888,183854,16
outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2020_03_01,outcome_death_rate_100k_ge_2_intervention_complete_cov_ge_30_lag_2w_distance_kernel_8_start_2020_03_01,cv,default,default,default__candidate_0007,default_candidate_0007,7,completed,7,0.6387794844742452,0.6387720938446282,0.1809961524613052,0.18099453846240005,0.0036582023914128537,0.08295182292720797,0.08295009693539557,0.036685072109970004,0.036689981775687656,0.009467029055931577,328526,0.5535853498670666,0.5535183023065582,0.1752764371549898,0.1752372540384099,0.0030482080002822145,0.048402505946816464,0.048393951239834365,0.046706217977308104,0.04679563650301288,0.009832433474882683,183854,3
outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2020_03_01,outcome_death_rate_100k_ge_2_intervention_complete_cov_ge_30_lag_2w_distance_kernel_8_start_2020_03_01,cv,default,default,default__candidate_0008,default_candidate_0008,8,completed,7,0.5513231732871007,0.551317595319736,0.17294152457442316,0.1729400677655139,0.0032230139005792772,0.06799567885514994,0.06799403105375935,0.03967532250111102,0.03967856357205852,0.006082078753557942,328526,0.5250137655994294,0.5249260055091882,0.17185168117722352,0.17181545437861345,0.0027506445997488196,0.04373412440269909,0.043729259157182024,0.04762474572214911,0.04767458906657025,0.005994040667872995,183854,5
outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2020_03_01,outcome_death_rate_100k_ge_2_intervention_complete_cov_ge_30_lag_2w_distance_kernel_8_start_2020_03_01,cv,default,default,default__candidate_0009,default_candidate_0009,9,completed,7,0.5224153279775917,0.5224102618447225,0.1676519946362663,0.16765049496594814,0.0031037912957441395,0.05605952655307458,0.05605793005216707,0.04136050114754997,0.041362862057979045,0.005307968624445198,328526,0.5161341700362699,0.5160568794343413,0.1695053829718068,0.169473111362793,0.0025753368386423254,0.03880185230811541,0.03879943064207377,0.047541799471319646,0.04758507164552829,0.005798352883682871,183854,4
outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2020_03_01,outcome_death_rate_100k_ge_2_intervention_complete_cov_ge_30_lag_2w_distance_kernel_8_start_2020_03_01,cv,default,default,default__candidate_0010,default_candidate_0010,10,completed,7,0.47643531539204037,0.47643080099789525,0.1551273278565027,0.15512569600775558,0.003134009084168322,0.021690216243291188,0.021688945876100613,0.05310348343814494,0.05310252692057116,0.009065198219142666,328526,0.497601596017744,0.49755086297627654,0.1635874375154673,0.16356582201862874,0.002423875762528091,0.023230915352406484,0.023231938477375254,0.05100922471091193,0.05109165063507607,0.009490226224597558,183854,6
outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2020_03_01,outcome_death_rate_100k_ge_2_intervention_complete_cov_ge_30_lag_2w_distance_kernel_8_start_2020_03_01,cv,default,default,default__candidate_0011,default_candidate_0011,11,completed,7,0.4682577541516919,0.4682532858354058,0.1521140284464071,0.15211234010835134,0.003228867700400228,0.016487928353163737,0.016487648493093806,0.06823280349196106,0.06822778892012517,0.015897359340642386,328526,0.49575678954769964,0.4957200918993882,0.1628353919591106,0.1628192998033761,0.0024045684538585442,0.019646087641952917,0.019650426633200168,0.06413308929911778,0.06421790288168733,0.013756771894467413,183854,11
outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2020_03_01,outcome_death_rate_100k_ge_2_intervention_complete_cov_ge_30_lag_2w_distance_kernel_8_start_2020_03_01,cv,default,default,default__candidate_0012,default_candidate_0012,12,completed,7,0.46254709689408013,0.46254323979166895,0.1498461576004796,0.14984467749639133,0.0032173591566713637,0.01657841645166632,0.016579026087909423,0.07610014123691887,0.076101276896702,0.020099514900504104,328526,0.49577832252803716,0.4957407966767372,0.162740803671925,0.16272398896426205,0.002552213117362572,0.015630911994427673,0.015623163306494794,0.06934578524263818,0.06935033540832813,0.024713175265063697,183854,13
outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2020_03_01,outcome_death_rate_100k_ge_2_intervention_complete_cov_ge_30_lag_2w_distance_kernel_8_start_2020_03_01,cv,default,default,default__candidate_0013,default_candidate_0013,13,completed,7,0.9049787717392587,0.9049719107003872,0.20908078488938658,0.2090797184284591,0.003336046547468656,0.1314243448545338,0.1314228819866906,0.03782767573951529,0.03783290100365366,0.009997194539530439,328526,0.839786448712996,0.8399393674642891,0.20417555871679194,0.20416083658305378,0.0022750763862920843,0.10449714901508894,0.10451664717220643,0.052899311410140655,0.05300383473514699,0.010062109115873767,183854,7
