experiment_name,source_type,variant_name,intervention_source,intervention_name
r5_c1_hybrid_us_county_intervention_uscounty_graph_kernel_confounding,truth,,saved_intervention,observed_experiment
r5_c1_hybrid_us_county_intervention_uscounty_graph_kernel_confounding,fit,base,saved_intervention,observed_experiment
r5_c1_hybrid_us_county_intervention_uscounty_graph_kernel_confounding,fit,alternating_rank_5_uv_5_e3_beta_mask,saved_intervention,observed_experiment
r5_c1_hybrid_us_county_intervention_uscounty_graph_kernel_confounding,fit,alternating_rank_5_uv_1_e1_beta_mask,saved_intervention,observed_experiment
r5_c1_hybrid_us_county_intervention_uscounty_graph_kernel_confounding,truth,,saved_intervention,all_ones
r5_c1_hybrid_us_county_intervention_uscounty_graph_kernel_confounding,fit,base,saved_intervention,all_ones
r5_c1_hybrid_us_county_intervention_uscounty_graph_kernel_confounding,fit,alternating_rank_5_uv_5_e3_beta_mask,saved_intervention,all_ones
r5_c1_hybrid_us_county_intervention_uscounty_graph_kernel_confounding,fit,alternating_rank_5_uv_1_e1_beta_mask,saved_intervention,all_ones
r5_c1_hybrid_us_county_intervention_uscounty_graph_kernel_confounding,truth,,saved_intervention,all_zeros
r5_c1_hybrid_us_county_intervention_uscounty_graph_kernel_confounding,fit,base,saved_intervention,all_zeros
r5_c1_hybrid_us_county_intervention_uscounty_graph_kernel_confounding,fit,alternating_rank_5_uv_5_e3_beta_mask,saved_intervention,all_zeros
r5_c1_hybrid_us_county_intervention_uscounty_graph_kernel_confounding,fit,alternating_rank_5_uv_1_e1_beta_mask,saved_intervention,all_zeros
r5_c1_hybrid_us_county_intervention_uscounty_graph_kernel_confounding,truth,,saved_intervention,single_unit_0_all_ones
r5_c1_hybrid_us_county_intervention_uscounty_graph_kernel_confounding,fit,base,saved_intervention,single_unit_0_all_ones
r5_c1_hybrid_us_county_intervention_uscounty_graph_kernel_confounding,fit,alternating_rank_5_uv_5_e3_beta_mask,saved_intervention,single_unit_0_all_ones
r5_c1_hybrid_us_county_intervention_uscounty_graph_kernel_confounding,fit,alternating_rank_5_uv_1_e1_beta_mask,saved_intervention,single_unit_0_all_ones
