statistic,observed_value,sample_mean,sample_std,abs_error,q025,q500,q975,in_95_interval,num_finite_samples
overall_mean_magnetization,-0.3063904676726003,-0.2836231643634055,0.001638302327102014,0.022767303309194797,-0.28608811055653327,-0.2839185251435331,-0.2809742938749603,False,16
post_intervention_mean_magnetization,-0.26451942218365576,-0.25296437139502836,0.002154198118476037,0.011555050788627397,-0.25713082537900056,-0.25307539176152316,-0.24876601500689094,False,16
