experiment_name,experiment_path,intervention_name,intervention_slug,source_kind,N,T,s,e,output_path,activation_scope,unit_index,start_step
partial_confounding_1,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/HybridAlt2/partial_confounding_1,no_intervention,no_intervention,full_on,3014,115,115,0,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/HybridAlt2/partial_confounding_1/intervention_library/no_intervention,no_time,,
partial_confounding_1,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/HybridAlt2/partial_confounding_1,all_intervention_from_s,all_intervention_from_s,full_on,3014,115,50,51,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/HybridAlt2/partial_confounding_1/intervention_library/all_intervention_from_s,from_s,,
partial_confounding_2,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/HybridAlt2/partial_confounding_2,no_intervention,no_intervention,full_on,3014,115,115,0,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/HybridAlt2/partial_confounding_2/intervention_library/no_intervention,no_time,,
partial_confounding_2,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/HybridAlt2/partial_confounding_2,all_intervention_from_s,all_intervention_from_s,full_on,3014,115,50,51,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/HybridAlt2/partial_confounding_2/intervention_library/all_intervention_from_s,from_s,,
partial_confounding_3,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/HybridAlt2/partial_confounding_3,no_intervention,no_intervention,full_on,3014,115,115,0,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/HybridAlt2/partial_confounding_3/intervention_library/no_intervention,no_time,,
partial_confounding_3,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/HybridAlt2/partial_confounding_3,all_intervention_from_s,all_intervention_from_s,full_on,3014,115,50,51,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/HybridAlt2/partial_confounding_3/intervention_library/all_intervention_from_s,from_s,,
partial_confounding_4,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/HybridAlt2/partial_confounding_4,no_intervention,no_intervention,full_on,3014,115,115,0,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/HybridAlt2/partial_confounding_4/intervention_library/no_intervention,no_time,,
partial_confounding_4,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/HybridAlt2/partial_confounding_4,all_intervention_from_s,all_intervention_from_s,full_on,3014,115,50,51,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/HybridAlt2/partial_confounding_4/intervention_library/all_intervention_from_s,from_s,,
partial_confounding_5,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/HybridAlt2/partial_confounding_5,no_intervention,no_intervention,full_on,3014,115,115,0,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/HybridAlt2/partial_confounding_5/intervention_library/no_intervention,no_time,,
partial_confounding_5,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/HybridAlt2/partial_confounding_5,all_intervention_from_s,all_intervention_from_s,full_on,3014,115,50,51,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/HybridAlt2/partial_confounding_5/intervention_library/all_intervention_from_s,from_s,,
partial_confounding_6,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/HybridAlt2/partial_confounding_6,no_intervention,no_intervention,full_on,3014,115,115,0,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/HybridAlt2/partial_confounding_6/intervention_library/no_intervention,no_time,,
partial_confounding_6,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/HybridAlt2/partial_confounding_6,all_intervention_from_s,all_intervention_from_s,full_on,3014,115,50,51,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/HybridAlt2/partial_confounding_6/intervention_library/all_intervention_from_s,from_s,,
partial_confounding_7,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/HybridAlt2/partial_confounding_7,no_intervention,no_intervention,full_on,3014,115,115,0,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/HybridAlt2/partial_confounding_7/intervention_library/no_intervention,no_time,,
partial_confounding_7,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/HybridAlt2/partial_confounding_7,all_intervention_from_s,all_intervention_from_s,full_on,3014,115,50,51,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/HybridAlt2/partial_confounding_7/intervention_library/all_intervention_from_s,from_s,,
partial_confounding_8,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/HybridAlt2/partial_confounding_8,no_intervention,no_intervention,full_on,3014,115,115,0,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/HybridAlt2/partial_confounding_8/intervention_library/no_intervention,no_time,,
partial_confounding_8,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/HybridAlt2/partial_confounding_8,all_intervention_from_s,all_intervention_from_s,full_on,3014,115,50,51,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/HybridAlt2/partial_confounding_8/intervention_library/all_intervention_from_s,from_s,,
