experiment_name,source_type,variant_name,intervention_source,intervention_name
no_interference_confounding_beta_010,truth,,saved_intervention,no_intervention
no_interference_confounding_beta_010,truth,,saved_intervention,all_intervention_from_s
no_interference_confounding_beta_010,fit,alternating_rank_3_uv_1_e2,saved_intervention,no_intervention
no_interference_confounding_beta_010,fit,alternating_rank_3_uv_1_e2,saved_intervention,all_intervention_from_s
no_interference_confounding_beta_010,fit,snn_8nn_u_mr1,saved_intervention,no_intervention
no_interference_confounding_beta_010,fit,snn_8nn_u_mr1,saved_intervention,all_intervention_from_s
interference_confounding_beta_010_xi_080,truth,,saved_intervention,no_intervention
interference_confounding_beta_010_xi_080,truth,,saved_intervention,all_intervention_from_s
interference_confounding_beta_010_xi_080,fit,alternating_rank_3_uv_1_e2,saved_intervention,no_intervention
interference_confounding_beta_010_xi_080,fit,alternating_rank_3_uv_1_e2,saved_intervention,all_intervention_from_s
interference_confounding_beta_010_xi_080,fit,snn_8nn_u_mr1,saved_intervention,no_intervention
interference_confounding_beta_010_xi_080,fit,snn_8nn_u_mr1,saved_intervention,all_intervention_from_s
no_interference_confounding_beta_015,truth,,saved_intervention,no_intervention
no_interference_confounding_beta_015,truth,,saved_intervention,all_intervention_from_s
no_interference_confounding_beta_015,fit,alternating_rank_3_uv_1_e2,saved_intervention,no_intervention
no_interference_confounding_beta_015,fit,alternating_rank_3_uv_1_e2,saved_intervention,all_intervention_from_s
no_interference_confounding_beta_015,fit,snn_8nn_u_mr1,saved_intervention,no_intervention
no_interference_confounding_beta_015,fit,snn_8nn_u_mr1,saved_intervention,all_intervention_from_s
interference_confounding_beta_015_xi_080,truth,,saved_intervention,no_intervention
interference_confounding_beta_015_xi_080,truth,,saved_intervention,all_intervention_from_s
interference_confounding_beta_015_xi_080,fit,alternating_rank_3_uv_1_e2,saved_intervention,no_intervention
interference_confounding_beta_015_xi_080,fit,alternating_rank_3_uv_1_e2,saved_intervention,all_intervention_from_s
interference_confounding_beta_015_xi_080,fit,snn_8nn_u_mr1,saved_intervention,no_intervention
interference_confounding_beta_015_xi_080,fit,snn_8nn_u_mr1,saved_intervention,all_intervention_from_s
no_interference_confounding_beta_020,truth,,saved_intervention,no_intervention
no_interference_confounding_beta_020,truth,,saved_intervention,all_intervention_from_s
no_interference_confounding_beta_020,fit,alternating_rank_3_uv_1_e2,saved_intervention,no_intervention
no_interference_confounding_beta_020,fit,alternating_rank_3_uv_1_e2,saved_intervention,all_intervention_from_s
no_interference_confounding_beta_020,fit,snn_8nn_u_mr1,saved_intervention,no_intervention
no_interference_confounding_beta_020,fit,snn_8nn_u_mr1,saved_intervention,all_intervention_from_s
interference_confounding_beta_020_xi_080,truth,,saved_intervention,no_intervention
interference_confounding_beta_020_xi_080,truth,,saved_intervention,all_intervention_from_s
interference_confounding_beta_020_xi_080,fit,alternating_rank_3_uv_1_e2,saved_intervention,no_intervention
interference_confounding_beta_020_xi_080,fit,alternating_rank_3_uv_1_e2,saved_intervention,all_intervention_from_s
interference_confounding_beta_020_xi_080,fit,snn_8nn_u_mr1,saved_intervention,no_intervention
interference_confounding_beta_020_xi_080,fit,snn_8nn_u_mr1,saved_intervention,all_intervention_from_s
no_interference_confounding_beta_025,truth,,saved_intervention,no_intervention
no_interference_confounding_beta_025,truth,,saved_intervention,all_intervention_from_s
no_interference_confounding_beta_025,fit,alternating_rank_3_uv_1_e2,saved_intervention,no_intervention
no_interference_confounding_beta_025,fit,alternating_rank_3_uv_1_e2,saved_intervention,all_intervention_from_s
no_interference_confounding_beta_025,fit,snn_8nn_u_mr1,saved_intervention,no_intervention
no_interference_confounding_beta_025,fit,snn_8nn_u_mr1,saved_intervention,all_intervention_from_s
interference_confounding_beta_025_xi_080,truth,,saved_intervention,no_intervention
interference_confounding_beta_025_xi_080,truth,,saved_intervention,all_intervention_from_s
interference_confounding_beta_025_xi_080,fit,alternating_rank_3_uv_1_e2,saved_intervention,no_intervention
interference_confounding_beta_025_xi_080,fit,alternating_rank_3_uv_1_e2,saved_intervention,all_intervention_from_s
interference_confounding_beta_025_xi_080,fit,snn_8nn_u_mr1,saved_intervention,no_intervention
interference_confounding_beta_025_xi_080,fit,snn_8nn_u_mr1,saved_intervention,all_intervention_from_s
