experiment_name,experiment_slug,descriptor,experiment_path,intervention_source,graph_source,field_mode,variant_name,variant_slug,fit_path,N,T,s,latent_rank,optimizer_mode,lambda_nuclear,lambda_frobenius,lambda_uv_ridge,fixed_scalar_params,status,fits_spec_path
interference_confounding_beta_015_xi_080,interference_confounding_beta_015_xi_080,interference_confounding_beta_015_xi_080,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/interference_confounding_beta_015_xi_080,generated,generated,confounded_low_rank,alternating_rank_3_uv_5_e2,alternating_rank_3_uv_5_e2,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/interference_confounding_beta_015_xi_080/fits/alternating_rank_3_uv_5_e2,500,50,0,3,alternating_latent_rank,0.0,0.0,0.05,{},completed,/orcd/home/002/phevosp/MPLE-Causal-Inference/data/configs/REVISIONSsnn_synth/fits_spec.yaml
interference_confounding_beta_015_xi_080,interference_confounding_beta_015_xi_080,interference_confounding_beta_015_xi_080,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/interference_confounding_beta_015_xi_080,generated,generated,confounded_low_rank,alternating_rank_3_uv_1_e2,alternating_rank_3_uv_1_e2,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/interference_confounding_beta_015_xi_080/fits/alternating_rank_3_uv_1_e2,500,50,0,3,alternating_latent_rank,0.0,0.0,0.01,{},completed,/orcd/home/002/phevosp/MPLE-Causal-Inference/data/configs/REVISIONSsnn_synth/fits_spec.yaml
interference_confounding_beta_015_xi_080,interference_confounding_beta_015_xi_080,interference_confounding_beta_015_xi_080,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/interference_confounding_beta_015_xi_080,generated,generated,confounded_low_rank,snn_8nn_u_mr1,snn_8nn_u_mr1,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/interference_confounding_beta_015_xi_080/fits/snn_8nn_u_mr1,500,50,0,0,snn_treatment_split,0.0,0.0,0.0,{},completed,/orcd/home/002/phevosp/MPLE-Causal-Inference/data/configs/REVISIONSsnn_synth/fits_spec.yaml
interference_confounding_beta_015_xi_080,interference_confounding_beta_015_xi_080,interference_confounding_beta_015_xi_080,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/interference_confounding_beta_015_xi_080,generated,generated,confounded_low_rank,snn_8nn_u_mr2,snn_8nn_u_mr2,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/interference_confounding_beta_015_xi_080/fits/snn_8nn_u_mr2,500,50,0,0,snn_treatment_split,0.0,0.0,0.0,{},completed,/orcd/home/002/phevosp/MPLE-Causal-Inference/data/configs/REVISIONSsnn_synth/fits_spec.yaml
interference_confounding_beta_015_xi_080,interference_confounding_beta_015_xi_080,interference_confounding_beta_015_xi_080,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/interference_confounding_beta_015_xi_080,generated,generated,confounded_low_rank,snn_8nn_u_mr4,snn_8nn_u_mr4,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/interference_confounding_beta_015_xi_080/fits/snn_8nn_u_mr4,500,50,0,0,snn_treatment_split,0.0,0.0,0.0,{},completed,/orcd/home/002/phevosp/MPLE-Causal-Inference/data/configs/REVISIONSsnn_synth/fits_spec.yaml
no_interference_confounding_beta_020,no_interference_confounding_beta_020,no_interference_confounding_beta_020,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/no_interference_confounding_beta_020,generated,generated,confounded_low_rank,alternating_rank_3_uv_1_e1,alternating_rank_3_uv_1_e1,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/no_interference_confounding_beta_020/fits/alternating_rank_3_uv_1_e1,500,50,0,3,alternating_latent_rank,0.0,0.0,0.1,{},completed,/orcd/home/002/phevosp/MPLE-Causal-Inference/data/configs/REVISIONSsnn_synth/fits_spec.yaml
no_interference_confounding_beta_020,no_interference_confounding_beta_020,no_interference_confounding_beta_020,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/no_interference_confounding_beta_020,generated,generated,confounded_low_rank,alternating_rank_3_uv_5_e2,alternating_rank_3_uv_5_e2,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/no_interference_confounding_beta_020/fits/alternating_rank_3_uv_5_e2,500,50,0,3,alternating_latent_rank,0.0,0.0,0.05,{},completed,/orcd/home/002/phevosp/MPLE-Causal-Inference/data/configs/REVISIONSsnn_synth/fits_spec.yaml
no_interference_confounding_beta_020,no_interference_confounding_beta_020,no_interference_confounding_beta_020,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/no_interference_confounding_beta_020,generated,generated,confounded_low_rank,alternating_rank_3_uv_1_e2,alternating_rank_3_uv_1_e2,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/no_interference_confounding_beta_020/fits/alternating_rank_3_uv_1_e2,500,50,0,3,alternating_latent_rank,0.0,0.0,0.01,{},completed,/orcd/home/002/phevosp/MPLE-Causal-Inference/data/configs/REVISIONSsnn_synth/fits_spec.yaml
no_interference_confounding_beta_020,no_interference_confounding_beta_020,no_interference_confounding_beta_020,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/no_interference_confounding_beta_020,generated,generated,confounded_low_rank,snn_8nn_u_mr1,snn_8nn_u_mr1,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/no_interference_confounding_beta_020/fits/snn_8nn_u_mr1,500,50,0,0,snn_treatment_split,0.0,0.0,0.0,{},completed,/orcd/home/002/phevosp/MPLE-Causal-Inference/data/configs/REVISIONSsnn_synth/fits_spec.yaml
no_interference_confounding_beta_020,no_interference_confounding_beta_020,no_interference_confounding_beta_020,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/no_interference_confounding_beta_020,generated,generated,confounded_low_rank,snn_8nn_u_mr2,snn_8nn_u_mr2,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/no_interference_confounding_beta_020/fits/snn_8nn_u_mr2,500,50,0,0,snn_treatment_split,0.0,0.0,0.0,{},completed,/orcd/home/002/phevosp/MPLE-Causal-Inference/data/configs/REVISIONSsnn_synth/fits_spec.yaml
no_interference_confounding_beta_020,no_interference_confounding_beta_020,no_interference_confounding_beta_020,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/no_interference_confounding_beta_020,generated,generated,confounded_low_rank,snn_8nn_u_mr4,snn_8nn_u_mr4,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/no_interference_confounding_beta_020/fits/snn_8nn_u_mr4,500,50,0,0,snn_treatment_split,0.0,0.0,0.0,{},completed,/orcd/home/002/phevosp/MPLE-Causal-Inference/data/configs/REVISIONSsnn_synth/fits_spec.yaml
interference_confounding_beta_020_xi_080,interference_confounding_beta_020_xi_080,interference_confounding_beta_020_xi_080,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/interference_confounding_beta_020_xi_080,generated,generated,confounded_low_rank,alternating_rank_3_uv_1_e1,alternating_rank_3_uv_1_e1,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/interference_confounding_beta_020_xi_080/fits/alternating_rank_3_uv_1_e1,500,50,0,3,alternating_latent_rank,0.0,0.0,0.1,{},completed,/orcd/home/002/phevosp/MPLE-Causal-Inference/data/configs/REVISIONSsnn_synth/fits_spec.yaml
interference_confounding_beta_020_xi_080,interference_confounding_beta_020_xi_080,interference_confounding_beta_020_xi_080,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/interference_confounding_beta_020_xi_080,generated,generated,confounded_low_rank,alternating_rank_3_uv_5_e2,alternating_rank_3_uv_5_e2,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/interference_confounding_beta_020_xi_080/fits/alternating_rank_3_uv_5_e2,500,50,0,3,alternating_latent_rank,0.0,0.0,0.05,{},completed,/orcd/home/002/phevosp/MPLE-Causal-Inference/data/configs/REVISIONSsnn_synth/fits_spec.yaml
interference_confounding_beta_020_xi_080,interference_confounding_beta_020_xi_080,interference_confounding_beta_020_xi_080,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/interference_confounding_beta_020_xi_080,generated,generated,confounded_low_rank,alternating_rank_3_uv_1_e2,alternating_rank_3_uv_1_e2,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/interference_confounding_beta_020_xi_080/fits/alternating_rank_3_uv_1_e2,500,50,0,3,alternating_latent_rank,0.0,0.0,0.01,{},completed,/orcd/home/002/phevosp/MPLE-Causal-Inference/data/configs/REVISIONSsnn_synth/fits_spec.yaml
interference_confounding_beta_020_xi_080,interference_confounding_beta_020_xi_080,interference_confounding_beta_020_xi_080,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/interference_confounding_beta_020_xi_080,generated,generated,confounded_low_rank,snn_8nn_u_mr1,snn_8nn_u_mr1,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/interference_confounding_beta_020_xi_080/fits/snn_8nn_u_mr1,500,50,0,0,snn_treatment_split,0.0,0.0,0.0,{},completed,/orcd/home/002/phevosp/MPLE-Causal-Inference/data/configs/REVISIONSsnn_synth/fits_spec.yaml
interference_confounding_beta_020_xi_080,interference_confounding_beta_020_xi_080,interference_confounding_beta_020_xi_080,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/interference_confounding_beta_020_xi_080,generated,generated,confounded_low_rank,snn_8nn_u_mr2,snn_8nn_u_mr2,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/interference_confounding_beta_020_xi_080/fits/snn_8nn_u_mr2,500,50,0,0,snn_treatment_split,0.0,0.0,0.0,{},completed,/orcd/home/002/phevosp/MPLE-Causal-Inference/data/configs/REVISIONSsnn_synth/fits_spec.yaml
interference_confounding_beta_020_xi_080,interference_confounding_beta_020_xi_080,interference_confounding_beta_020_xi_080,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/interference_confounding_beta_020_xi_080,generated,generated,confounded_low_rank,snn_8nn_u_mr4,snn_8nn_u_mr4,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/interference_confounding_beta_020_xi_080/fits/snn_8nn_u_mr4,500,50,0,0,snn_treatment_split,0.0,0.0,0.0,{},completed,/orcd/home/002/phevosp/MPLE-Causal-Inference/data/configs/REVISIONSsnn_synth/fits_spec.yaml
