experiment_name,experiment_slug,descriptor,experiment_path,intervention_source,graph_source,N,T,s,run_name,run_slug,source_type,source_name,source_slug,target_intervention_source,target_intervention_name,target_intervention_slug,latent_rank,mean_abs_zscore,max_abs_zscore,coverage_rate,num_statistics,num_samples,gibbs_sweeps,seed,output_path
interference_confounding_beta_010_xi_080,interference_confounding_beta_010_xi_080,interference_confounding_beta_010_xi_080,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/interference_confounding_beta_010_xi_080,generated,generated,500,50,0,default,default,fit,alternating_rank_3_uv_1_e2,fit_alternating_rank_3_uv_1_e2,saved_intervention,all_intervention_from_s,all_intervention_from_s,3,,,,,8,100,0,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/interference_confounding_beta_010_xi_080/counterfactual/fit_alternating_rank_3_uv_1_e2/all_intervention_from_s/default
interference_confounding_beta_010_xi_080,interference_confounding_beta_010_xi_080,interference_confounding_beta_010_xi_080,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/interference_confounding_beta_010_xi_080,generated,generated,500,50,0,default,default,fit,snn_8nn_u_mr1,fit_snn_8nn_u_mr1,saved_intervention,all_intervention_from_s,all_intervention_from_s,0,,,,,1,0,0,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/interference_confounding_beta_010_xi_080/counterfactual/fit_snn_8nn_u_mr1/all_intervention_from_s/default
interference_confounding_beta_010_xi_080,interference_confounding_beta_010_xi_080,interference_confounding_beta_010_xi_080,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/interference_confounding_beta_010_xi_080,generated,generated,500,50,0,default,default,truth,truth,truth,saved_intervention,all_intervention_from_s,all_intervention_from_s,3,,,,,8,100,0,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/interference_confounding_beta_010_xi_080/counterfactual/truth/all_intervention_from_s/default
interference_confounding_beta_010_xi_080,interference_confounding_beta_010_xi_080,interference_confounding_beta_010_xi_080,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/interference_confounding_beta_010_xi_080,generated,generated,500,50,50,default,default,fit,alternating_rank_3_uv_1_e2,fit_alternating_rank_3_uv_1_e2,saved_intervention,no_intervention,no_intervention,3,,,,,8,100,0,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/interference_confounding_beta_010_xi_080/counterfactual/fit_alternating_rank_3_uv_1_e2/no_intervention/default
interference_confounding_beta_010_xi_080,interference_confounding_beta_010_xi_080,interference_confounding_beta_010_xi_080,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/interference_confounding_beta_010_xi_080,generated,generated,500,50,50,default,default,fit,snn_8nn_u_mr1,fit_snn_8nn_u_mr1,saved_intervention,no_intervention,no_intervention,0,,,,,1,0,0,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/interference_confounding_beta_010_xi_080/counterfactual/fit_snn_8nn_u_mr1/no_intervention/default
interference_confounding_beta_010_xi_080,interference_confounding_beta_010_xi_080,interference_confounding_beta_010_xi_080,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/interference_confounding_beta_010_xi_080,generated,generated,500,50,50,default,default,truth,truth,truth,saved_intervention,no_intervention,no_intervention,3,,,,,8,100,0,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/interference_confounding_beta_010_xi_080/counterfactual/truth/no_intervention/default
interference_confounding_beta_015_xi_080,interference_confounding_beta_015_xi_080,interference_confounding_beta_015_xi_080,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/interference_confounding_beta_015_xi_080,generated,generated,500,50,0,default,default,fit,alternating_rank_3_uv_1_e2,fit_alternating_rank_3_uv_1_e2,saved_intervention,all_intervention_from_s,all_intervention_from_s,3,,,,,8,100,0,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/interference_confounding_beta_015_xi_080/counterfactual/fit_alternating_rank_3_uv_1_e2/all_intervention_from_s/default
interference_confounding_beta_015_xi_080,interference_confounding_beta_015_xi_080,interference_confounding_beta_015_xi_080,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/interference_confounding_beta_015_xi_080,generated,generated,500,50,0,default,default,fit,snn_8nn_u_mr1,fit_snn_8nn_u_mr1,saved_intervention,all_intervention_from_s,all_intervention_from_s,0,,,,,1,0,0,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/interference_confounding_beta_015_xi_080/counterfactual/fit_snn_8nn_u_mr1/all_intervention_from_s/default
interference_confounding_beta_015_xi_080,interference_confounding_beta_015_xi_080,interference_confounding_beta_015_xi_080,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/interference_confounding_beta_015_xi_080,generated,generated,500,50,0,default,default,truth,truth,truth,saved_intervention,all_intervention_from_s,all_intervention_from_s,3,,,,,8,100,0,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/interference_confounding_beta_015_xi_080/counterfactual/truth/all_intervention_from_s/default
interference_confounding_beta_015_xi_080,interference_confounding_beta_015_xi_080,interference_confounding_beta_015_xi_080,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/interference_confounding_beta_015_xi_080,generated,generated,500,50,50,default,default,fit,alternating_rank_3_uv_1_e2,fit_alternating_rank_3_uv_1_e2,saved_intervention,no_intervention,no_intervention,3,,,,,8,100,0,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/interference_confounding_beta_015_xi_080/counterfactual/fit_alternating_rank_3_uv_1_e2/no_intervention/default
