variable,rule,positive_share,variance,transition_rate,weeks,counties
outcome,death_rate_100k >= 2,0.37606135840843485,0.9385568524817502,0.2817093274631551,102,3009
intervention,complete_cov >= 30,0.418584116930255,0.9734858159358944,0.00988453780572474,102,3009
