experiment_name,source_type,variant_name,intervention_source,intervention_name
synth_no_interference_1,fit,treatment_split_rank_1_uv_1_e1,saved_intervention,all_intervention
synth_no_interference_1,fit,treatment_shared_unit_rank_3_uv_1_e1,saved_intervention,all_intervention
synth_no_interference_1,fit,treatment_split_rank_1_uv_1_e1,saved_intervention,no_intervention
synth_no_interference_1,fit,treatment_shared_unit_rank_3_uv_1_e1,saved_intervention,no_intervention
synth_no_interference_2,fit,treatment_split_rank_1_uv_1_e1,saved_intervention,all_intervention
synth_no_interference_2,fit,treatment_shared_unit_rank_3_uv_1_e1,saved_intervention,all_intervention
synth_no_interference_2,fit,treatment_split_rank_1_uv_1_e1,saved_intervention,no_intervention
synth_no_interference_2,fit,treatment_shared_unit_rank_3_uv_1_e1,saved_intervention,no_intervention
synth_no_interference_3,fit,treatment_split_rank_1_uv_1_e1,saved_intervention,all_intervention
synth_no_interference_3,fit,treatment_shared_unit_rank_3_uv_1_e1,saved_intervention,all_intervention
synth_no_interference_3,fit,treatment_split_rank_1_uv_1_e1,saved_intervention,no_intervention
synth_no_interference_3,fit,treatment_shared_unit_rank_3_uv_1_e1,saved_intervention,no_intervention
synth_no_interference_4,fit,treatment_split_rank_1_uv_1_e1,saved_intervention,all_intervention
synth_no_interference_4,fit,treatment_shared_unit_rank_3_uv_1_e1,saved_intervention,all_intervention
synth_no_interference_4,fit,treatment_split_rank_1_uv_1_e1,saved_intervention,no_intervention
synth_no_interference_4,fit,treatment_shared_unit_rank_3_uv_1_e1,saved_intervention,no_intervention
synth_no_interference_5,fit,treatment_split_rank_1_uv_1_e1,saved_intervention,all_intervention
synth_no_interference_5,fit,treatment_shared_unit_rank_3_uv_1_e1,saved_intervention,all_intervention
synth_no_interference_5,fit,treatment_split_rank_1_uv_1_e1,saved_intervention,no_intervention
synth_no_interference_5,fit,treatment_shared_unit_rank_3_uv_1_e1,saved_intervention,no_intervention
synth_no_interference_6,fit,treatment_split_rank_1_uv_1_e1,saved_intervention,all_intervention
synth_no_interference_6,fit,treatment_shared_unit_rank_3_uv_1_e1,saved_intervention,all_intervention
synth_no_interference_6,fit,treatment_split_rank_1_uv_1_e1,saved_intervention,no_intervention
synth_no_interference_6,fit,treatment_shared_unit_rank_3_uv_1_e1,saved_intervention,no_intervention
synth_no_interference_7,fit,treatment_split_rank_1_uv_1_e1,saved_intervention,all_intervention
synth_no_interference_7,fit,treatment_shared_unit_rank_3_uv_1_e1,saved_intervention,all_intervention
synth_no_interference_7,fit,treatment_split_rank_1_uv_1_e1,saved_intervention,no_intervention
synth_no_interference_7,fit,treatment_shared_unit_rank_3_uv_1_e1,saved_intervention,no_intervention
synth_no_interference_8,fit,treatment_split_rank_1_uv_1_e1,saved_intervention,all_intervention
synth_no_interference_8,fit,treatment_shared_unit_rank_3_uv_1_e1,saved_intervention,all_intervention
synth_no_interference_8,fit,treatment_split_rank_1_uv_1_e1,saved_intervention,no_intervention
synth_no_interference_8,fit,treatment_shared_unit_rank_3_uv_1_e1,saved_intervention,no_intervention
synth_no_interference_9,fit,treatment_split_rank_1_uv_1_e1,saved_intervention,all_intervention
synth_no_interference_9,fit,treatment_shared_unit_rank_3_uv_1_e1,saved_intervention,all_intervention
synth_no_interference_9,fit,treatment_split_rank_1_uv_1_e1,saved_intervention,no_intervention
synth_no_interference_9,fit,treatment_shared_unit_rank_3_uv_1_e1,saved_intervention,no_intervention
synth_no_interference_10,fit,treatment_split_rank_1_uv_1_e1,saved_intervention,all_intervention
synth_no_interference_10,fit,treatment_shared_unit_rank_3_uv_1_e1,saved_intervention,all_intervention
synth_no_interference_10,fit,treatment_split_rank_1_uv_1_e1,saved_intervention,no_intervention
synth_no_interference_10,fit,treatment_shared_unit_rank_3_uv_1_e1,saved_intervention,no_intervention
