experiment_name,source_type,variant_name,intervention_source,intervention_name
synth_no_interference_1,truth,,saved_intervention,all_intervention
synth_no_interference_1,fit,base,saved_intervention,all_intervention
synth_no_interference_1,fit,alternating_rank_3_uv_5_e2,saved_intervention,all_intervention
synth_no_interference_1,fit,alternating_rank_3_uv_5_e2_xi_zero,saved_intervention,all_intervention
synth_no_interference_1,truth,,saved_intervention,no_intervention
synth_no_interference_1,fit,base,saved_intervention,no_intervention
synth_no_interference_1,fit,alternating_rank_3_uv_5_e2,saved_intervention,no_intervention
synth_no_interference_1,fit,alternating_rank_3_uv_5_e2_xi_zero,saved_intervention,no_intervention
synth_no_interference_2,truth,,saved_intervention,all_intervention
synth_no_interference_2,fit,base,saved_intervention,all_intervention
synth_no_interference_2,fit,alternating_rank_3_uv_5_e2,saved_intervention,all_intervention
synth_no_interference_2,fit,alternating_rank_3_uv_5_e2_xi_zero,saved_intervention,all_intervention
synth_no_interference_2,truth,,saved_intervention,no_intervention
synth_no_interference_2,fit,base,saved_intervention,no_intervention
synth_no_interference_2,fit,alternating_rank_3_uv_5_e2,saved_intervention,no_intervention
synth_no_interference_2,fit,alternating_rank_3_uv_5_e2_xi_zero,saved_intervention,no_intervention
synth_no_interference_3,truth,,saved_intervention,all_intervention
synth_no_interference_3,fit,base,saved_intervention,all_intervention
synth_no_interference_3,fit,alternating_rank_3_uv_5_e2,saved_intervention,all_intervention
synth_no_interference_3,fit,alternating_rank_3_uv_5_e2_xi_zero,saved_intervention,all_intervention
synth_no_interference_3,truth,,saved_intervention,no_intervention
synth_no_interference_3,fit,base,saved_intervention,no_intervention
synth_no_interference_3,fit,alternating_rank_3_uv_5_e2,saved_intervention,no_intervention
synth_no_interference_3,fit,alternating_rank_3_uv_5_e2_xi_zero,saved_intervention,no_intervention
synth_no_interference_4,truth,,saved_intervention,all_intervention
synth_no_interference_4,fit,base,saved_intervention,all_intervention
synth_no_interference_4,fit,alternating_rank_3_uv_5_e2,saved_intervention,all_intervention
synth_no_interference_4,fit,alternating_rank_3_uv_5_e2_xi_zero,saved_intervention,all_intervention
synth_no_interference_4,truth,,saved_intervention,no_intervention
synth_no_interference_4,fit,base,saved_intervention,no_intervention
synth_no_interference_4,fit,alternating_rank_3_uv_5_e2,saved_intervention,no_intervention
synth_no_interference_4,fit,alternating_rank_3_uv_5_e2_xi_zero,saved_intervention,no_intervention
synth_no_interference_5,truth,,saved_intervention,all_intervention
synth_no_interference_5,fit,base,saved_intervention,all_intervention
synth_no_interference_5,fit,alternating_rank_3_uv_5_e2,saved_intervention,all_intervention
synth_no_interference_5,fit,alternating_rank_3_uv_5_e2_xi_zero,saved_intervention,all_intervention
synth_no_interference_5,truth,,saved_intervention,no_intervention
synth_no_interference_5,fit,base,saved_intervention,no_intervention
synth_no_interference_5,fit,alternating_rank_3_uv_5_e2,saved_intervention,no_intervention
synth_no_interference_5,fit,alternating_rank_3_uv_5_e2_xi_zero,saved_intervention,no_intervention
synth_no_interference_6,truth,,saved_intervention,all_intervention
synth_no_interference_6,fit,base,saved_intervention,all_intervention
synth_no_interference_6,fit,alternating_rank_3_uv_5_e2,saved_intervention,all_intervention
synth_no_interference_6,fit,alternating_rank_3_uv_5_e2_xi_zero,saved_intervention,all_intervention
synth_no_interference_6,truth,,saved_intervention,no_intervention
synth_no_interference_6,fit,base,saved_intervention,no_intervention
synth_no_interference_6,fit,alternating_rank_3_uv_5_e2,saved_intervention,no_intervention
synth_no_interference_6,fit,alternating_rank_3_uv_5_e2_xi_zero,saved_intervention,no_intervention
synth_no_interference_7,truth,,saved_intervention,all_intervention
synth_no_interference_7,fit,base,saved_intervention,all_intervention
synth_no_interference_7,fit,alternating_rank_3_uv_5_e2,saved_intervention,all_intervention
synth_no_interference_7,fit,alternating_rank_3_uv_5_e2_xi_zero,saved_intervention,all_intervention
synth_no_interference_7,truth,,saved_intervention,no_intervention
synth_no_interference_7,fit,base,saved_intervention,no_intervention
synth_no_interference_7,fit,alternating_rank_3_uv_5_e2,saved_intervention,no_intervention
synth_no_interference_7,fit,alternating_rank_3_uv_5_e2_xi_zero,saved_intervention,no_intervention
synth_no_interference_8,truth,,saved_intervention,all_intervention
synth_no_interference_8,fit,base,saved_intervention,all_intervention
synth_no_interference_8,fit,alternating_rank_3_uv_5_e2,saved_intervention,all_intervention
synth_no_interference_8,fit,alternating_rank_3_uv_5_e2_xi_zero,saved_intervention,all_intervention
synth_no_interference_8,truth,,saved_intervention,no_intervention
synth_no_interference_8,fit,base,saved_intervention,no_intervention
synth_no_interference_8,fit,alternating_rank_3_uv_5_e2,saved_intervention,no_intervention
synth_no_interference_8,fit,alternating_rank_3_uv_5_e2_xi_zero,saved_intervention,no_intervention
synth_no_interference_9,truth,,saved_intervention,all_intervention
synth_no_interference_9,fit,base,saved_intervention,all_intervention
synth_no_interference_9,fit,alternating_rank_3_uv_5_e2,saved_intervention,all_intervention
synth_no_interference_9,fit,alternating_rank_3_uv_5_e2_xi_zero,saved_intervention,all_intervention
synth_no_interference_9,truth,,saved_intervention,no_intervention
synth_no_interference_9,fit,base,saved_intervention,no_intervention
synth_no_interference_9,fit,alternating_rank_3_uv_5_e2,saved_intervention,no_intervention
synth_no_interference_9,fit,alternating_rank_3_uv_5_e2_xi_zero,saved_intervention,no_intervention
synth_no_interference_10,truth,,saved_intervention,all_intervention
synth_no_interference_10,fit,base,saved_intervention,all_intervention
synth_no_interference_10,fit,alternating_rank_3_uv_5_e2,saved_intervention,all_intervention
synth_no_interference_10,fit,alternating_rank_3_uv_5_e2_xi_zero,saved_intervention,all_intervention
synth_no_interference_10,truth,,saved_intervention,no_intervention
synth_no_interference_10,fit,base,saved_intervention,no_intervention
synth_no_interference_10,fit,alternating_rank_3_uv_5_e2,saved_intervention,no_intervention
synth_no_interference_10,fit,alternating_rank_3_uv_5_e2_xi_zero,saved_intervention,no_intervention
