experiment_name,source_type,variant_name,intervention_source,intervention_name
confounding_strong,truth,,saved_intervention,observed_experiment
confounding_strong,fit,base,saved_intervention,observed_experiment
confounding_strong,fit,alternating_rank_3_uv_5_e2,saved_intervention,observed_experiment
confounding_strong,truth,,saved_intervention,all_ones
confounding_strong,fit,base,saved_intervention,all_ones
confounding_strong,fit,alternating_rank_3_uv_5_e2,saved_intervention,all_ones
confounding_strong,truth,,saved_intervention,all_zeros
confounding_strong,fit,base,saved_intervention,all_zeros
confounding_strong,fit,alternating_rank_3_uv_5_e2,saved_intervention,all_zeros
confounding_strong,truth,,saved_intervention,single_unit_0_all_ones
confounding_strong,fit,base,saved_intervention,single_unit_0_all_ones
confounding_strong,fit,alternating_rank_3_uv_5_e2,saved_intervention,single_unit_0_all_ones
spectral_low_rank,truth,,saved_intervention,observed_experiment
spectral_low_rank,fit,base,saved_intervention,observed_experiment
spectral_low_rank,fit,alternating_rank_3_uv_5_e1,saved_intervention,observed_experiment
spectral_low_rank,truth,,saved_intervention,all_ones
spectral_low_rank,fit,base,saved_intervention,all_ones
spectral_low_rank,fit,alternating_rank_3_uv_5_e1,saved_intervention,all_ones
spectral_low_rank,truth,,saved_intervention,all_zeros
spectral_low_rank,fit,base,saved_intervention,all_zeros
spectral_low_rank,fit,alternating_rank_3_uv_5_e1,saved_intervention,all_zeros
spectral_low_rank,truth,,saved_intervention,single_unit_0_all_ones
spectral_low_rank,fit,base,saved_intervention,single_unit_0_all_ones
spectral_low_rank,fit,alternating_rank_3_uv_5_e1,saved_intervention,single_unit_0_all_ones
confounding_moderate,truth,,saved_intervention,observed_experiment
confounding_moderate,fit,base,saved_intervention,observed_experiment
confounding_moderate,fit,alternating_rank_3_uv_1_e1,saved_intervention,observed_experiment
confounding_moderate,truth,,saved_intervention,all_ones
confounding_moderate,fit,base,saved_intervention,all_ones
confounding_moderate,fit,alternating_rank_3_uv_1_e1,saved_intervention,all_ones
confounding_moderate,truth,,saved_intervention,all_zeros
confounding_moderate,fit,base,saved_intervention,all_zeros
confounding_moderate,fit,alternating_rank_3_uv_1_e1,saved_intervention,all_zeros
confounding_moderate,truth,,saved_intervention,single_unit_0_all_ones
confounding_moderate,fit,base,saved_intervention,single_unit_0_all_ones
confounding_moderate,fit,alternating_rank_3_uv_1_e1,saved_intervention,single_unit_0_all_ones
confounding_weak,truth,,saved_intervention,observed_experiment
confounding_weak,fit,base,saved_intervention,observed_experiment
confounding_weak,fit,alternating_rank_3_uv_5_e1,saved_intervention,observed_experiment
confounding_weak,truth,,saved_intervention,all_ones
confounding_weak,fit,base,saved_intervention,all_ones
confounding_weak,fit,alternating_rank_3_uv_5_e1,saved_intervention,all_ones
confounding_weak,truth,,saved_intervention,all_zeros
confounding_weak,fit,base,saved_intervention,all_zeros
confounding_weak,fit,alternating_rank_3_uv_5_e1,saved_intervention,all_zeros
confounding_weak,truth,,saved_intervention,single_unit_0_all_ones
confounding_weak,fit,base,saved_intervention,single_unit_0_all_ones
confounding_weak,fit,alternating_rank_3_uv_5_e1,saved_intervention,single_unit_0_all_ones
