experiment_name,experiment_slug,experiment_path,execution_mode,search_name,search_slug,split_source,outer_num_folds,test_fold_id,output_path,best_candidate_name,best_candidate_slug,weighted_mean_validation_loss,mean_fold_validation_loss,weighted_mean_validation_brier_score,mean_fold_validation_brier_score,standard_error_fold_validation_brier_score,weighted_mean_validation_ece,mean_fold_validation_ece,weighted_mean_validation_mean_magnetization_abs_diff,mean_fold_validation_mean_magnetization_abs_diff,standard_error_fold_validation_mean_magnetization_abs_diff,total_validation_slots,weighted_mean_post_s_validation_loss,mean_fold_post_s_validation_loss,weighted_mean_post_s_validation_brier_score,mean_fold_post_s_validation_brier_score,standard_error_fold_post_s_validation_brier_score,weighted_mean_post_s_validation_ece,mean_fold_post_s_validation_ece,weighted_mean_post_s_validation_mean_magnetization_abs_diff,mean_fold_post_s_validation_mean_magnetization_abs_diff,standard_error_fold_post_s_validation_mean_magnetization_abs_diff,total_post_s_validation_slots,status
r5_c1_hybrid_us_county_intervention_generated_graph_confounding,r5_c1_hybrid_us_county_intervention_generated_graph_confounding,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/HybridExperiments_r5_c1_v2/r5_c1_hybrid_us_county_intervention_generated_graph_confounding,cv,alternating_uv_grid,alternating_uv_grid,cv_folds,5,1,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/HybridExperiments_r5_c1_v2/r5_c1_hybrid_us_county_intervention_generated_graph_confounding/cv_runs/alternating_uv_grid,alternating_uv_grid__candidate_0003,alternating_uv_grid_candidate_0003,0.7474543655725403,0.74745447320109,0.24655021076097522,0.2465502316866388,0.00042977062934259106,0.11052570552153673,0.11052574231245602,0.02831549101136592,0.028315442320770795,0.0022205037033415508,328526,0.7487913822568607,0.7487926309365474,0.24544632648660647,0.24544661016902944,0.00044997423058216454,0.1101820971999896,0.11018332758184646,0.060978412218390676,0.06097746623417951,0.0051547489587736,183854,completed
r5_c1_hybrid_us_county_intervention_uscounty_graph_contiguous_confounding,r5_c1_hybrid_us_county_intervention_uscounty_graph_contiguous_confounding,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/HybridExperiments_r5_c1_v2/r5_c1_hybrid_us_county_intervention_uscounty_graph_contiguous_confounding,cv,alternating_uv_grid,alternating_uv_grid,cv_folds,5,1,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/HybridExperiments_r5_c1_v2/r5_c1_hybrid_us_county_intervention_uscounty_graph_contiguous_confounding/cv_runs/alternating_uv_grid,alternating_uv_grid__candidate_0005,alternating_uv_grid_candidate_0005,0.5981580224297984,0.5981580077181974,0.2060188734879201,0.2060188608665451,0.0006315780047643768,0.02267677175882527,0.022676745274833245,0.030270435216695177,0.030269798658654624,0.005226233875953311,328526,0.5937451074554014,0.5937349969237058,0.20345995072422488,0.20345582822339384,0.0009955732725488848,0.024781104532008994,0.024790225286462415,0.057632006918533187,0.05766555697816021,0.010292780542487842,183854,completed
r5_c1_hybrid_us_county_intervention_uscounty_graph_kernel_confounding,r5_c1_hybrid_us_county_intervention_uscounty_graph_kernel_confounding,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/HybridExperiments_r5_c1_v2/r5_c1_hybrid_us_county_intervention_uscounty_graph_kernel_confounding,cv,alternating_uv_grid,alternating_uv_grid,cv_folds,5,1,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/HybridExperiments_r5_c1_v2/r5_c1_hybrid_us_county_intervention_uscounty_graph_kernel_confounding/cv_runs/alternating_uv_grid,alternating_uv_grid__candidate_0005,alternating_uv_grid_candidate_0005,0.5886447893322695,0.5886444599510302,0.20315460265968635,0.20315472270355048,0.0006292330309624145,0.030958671954845526,0.030959517614793455,0.09868130680676719,0.09868621992099678,0.01856443955717764,328526,0.5822461241041527,0.5822661578097624,0.19846243855438858,0.19846953078010948,0.0011718041281631917,0.023743199778444492,0.023726674932942865,0.06101988534380541,0.06090954980452624,0.011074087874186,183854,completed
