experiment_name,experiment_group,outcome_code,outcome_label,outcome_definition,intervention_definition,network_code,network_label,interaction_matrix_label,beta,eta,field::black_share,field::family_household_share,field::female_household_share,field::hispanic_share,field::male_1521_share,field::renter_share,field::total_pop,field::vacant_share,interaction::centroid_distance_kernel_16,interaction::centroid_distance_kernel_8,interaction::contiguity,interaction::knn_16,interaction::knn_8,psi,tau::t_0,tau::t_1,tau::t_10,tau::t_11,tau::t_12,tau::t_13,tau::t_14,tau::t_2,tau::t_3,tau::t_4,tau::t_5,tau::t_6,tau::t_7,tau::t_8,tau::t_9,zeta,final_loss
any_crime_gt_0_pm1__centroid_distance_kernel_16,outcome_only,any_crime_gt_0_pm1,Any-crime indicator: at least one total crime vs zero total crimes,+1 means at least one recorded crime in the period; -1 means zero recorded crimes in the period.,z = +1 means the block is under intervention in that quarter; z = -1 means no intervention in that quarter.,centroid_distance_kernel_16,Centroid-distance kernel with 16-nearest-neighbor support,Centroid-distance-kernel interaction matrix (16-neighbor support),0.1297642583230643,0.23516029353812196,0.20129198235818566,-0.14536441870454447,0.08263872259070405,0.07601585346180163,-0.0098118894573151,0.11469769876527507,6.118106529436284,1.2107448279284767,0.8637469201494734,,,,,,0.1004886023807725,0.18104097091662782,0.16252255030212542,0.15829569808104213,0.16511543159747316,0.16467096934279388,0.06798176971320079,0.14333084519132447,0.0831771068984571,0.11861746073478203,0.12804657236549505,0.13749029821370926,0.11760008848495233,0.14713096848046406,0.18294148540757188,,0.6092434072248245
any_crime_gt_0_pm1__centroid_distance_kernel_8,outcome_only,any_crime_gt_0_pm1,Any-crime indicator: at least one total crime vs zero total crimes,+1 means at least one recorded crime in the period; -1 means zero recorded crimes in the period.,z = +1 means the block is under intervention in that quarter; z = -1 means no intervention in that quarter.,centroid_distance_kernel_8,Centroid-distance kernel with 8-nearest-neighbor support,Centroid-distance-kernel interaction matrix (8-neighbor support),0.1500632415117793,0.2400219254221375,0.23015863437775647,-0.1771568414497774,0.10526884758554603,0.10738560757812629,0.029211795287076358,0.11838915966623521,6.2401567058821295,1.3096173421868242,,0.7492653131775568,,,,,0.11364394002560589,0.20520038221304107,0.189496440273744,0.18448239416848472,0.19112192637172828,0.19175460321904442,0.07976888207235434,0.16564450875183778,0.09520260502129337,0.13348106525032843,0.14414362920791943,0.15662136558536333,0.1341738262156409,0.1681858223181097,0.21058057840940456,,0.6114984406717602
any_crime_gt_0_pm1__contiguity,outcome_only,any_crime_gt_0_pm1,Any-crime indicator: at least one total crime vs zero total crimes,+1 means at least one recorded crime in the period; -1 means zero recorded crimes in the period.,z = +1 means the block is under intervention in that quarter; z = -1 means no intervention in that quarter.,contiguity,Geographic contiguity network,Contiguity interaction matrix,0.17964248030758317,0.24244928225166815,0.23146512485929516,-0.1844388733205261,0.09191832324963577,0.10842093274221352,0.040912846328938386,0.11823881516223819,6.414942622584221,1.3382932522533484,,,1.9389468417616855,,,,0.12318421327966435,0.2169253508356495,0.20145002044643484,0.1981111780792812,0.2035801763601609,0.20501543222478902,0.09197167155297425,0.17568549888310275,0.10306629942925759,0.14365082096149634,0.1540946248690551,0.1666986875219061,0.14301489033952952,0.17700405164817518,0.22300177213906827,,0.6121856886468622
any_crime_gt_0_pm1__knn_16,outcome_only,any_crime_gt_0_pm1,Any-crime indicator: at least one total crime vs zero total crimes,+1 means at least one recorded crime in the period; -1 means zero recorded crimes in the period.,z = +1 means the block is under intervention in that quarter; z = -1 means no intervention in that quarter.,knn_16,16-nearest-neighbor centroid graph,16-nearest-neighbor interaction matrix,0.1394406952745464,0.23645950106471753,0.19245353821030833,-0.1539358951749233,0.05695945472812276,0.048992027030477635,-0.00643464168651742,0.11296779283866144,6.305699849219036,1.269850539331067,,,,0.8104825678840855,,,0.11524320308446816,0.19323760160908493,0.17518953091742295,0.1711197664516303,0.17668624063337163,0.17793404124669426,0.08485939335190719,0.15400116802041633,0.09628395380863397,0.13292658919138867,0.14074974239831914,0.15078750195570167,0.1312865499126298,0.1595338164211283,0.19430806195716852,,0.6099074745694605
any_crime_gt_0_pm1__knn_8,outcome_only,any_crime_gt_0_pm1,Any-crime indicator: at least one total crime vs zero total crimes,+1 means at least one recorded crime in the period; -1 means zero recorded crimes in the period.,z = +1 means the block is under intervention in that quarter; z = -1 means no intervention in that quarter.,knn_8,8-nearest-neighbor centroid graph,8-nearest-neighbor interaction matrix,0.16178496707432394,0.24064485526635176,0.22114736161083823,-0.181371356748157,0.08662418304088532,0.08226627231344562,0.029851160194883455,0.1150750980665103,6.392143167913841,1.3782539107399674,,,,,0.6006436133972969,,0.1276670102208064,0.21636598576257546,0.20183944898417475,0.1966365959526421,0.20214564399300752,0.20422650108577775,0.09480288290192772,0.17623450809039598,0.1080926514022094,0.147338716886809,0.1563083729409617,0.1694410657142756,0.14719964880960162,0.1798227123361054,0.22174532394923663,,0.6117530010014003
any_crime_gt_1_pm1__centroid_distance_kernel_16,outcome_only,any_crime_gt_1_pm1,Any-crime indicator: more than one total crime vs at most one total crime,+1 means more than one recorded crime in the period; -1 means at most one recorded crime in the period.,z = +1 means the block is under intervention in that quarter; z = -1 means no intervention in that quarter.,centroid_distance_kernel_16,Centroid-distance kernel with 16-nearest-neighbor support,Centroid-distance-kernel interaction matrix (16-neighbor support),0.06374883589392842,0.38295308893874197,0.2543566009550568,-0.22005222449137707,0.19219903560680884,0.1811996978377014,-0.19976905997918837,0.1485240729510591,4.421597686686599,1.21747660800986,1.1108677700167384,,,,,,-0.174409142700163,-0.05907851018228388,-0.0937592907905794,-0.10163860442719974,-0.0675450167900894,-0.055018255216857326,-0.2396357517657317,-0.1106338825569872,-0.1822616624492697,-0.14477615228252344,-0.10821842298023382,-0.10939234193174178,-0.14924914978801132,-0.10763850180481009,-0.05900208451287062,,0.4485034784932145
any_crime_gt_1_pm1__centroid_distance_kernel_8,outcome_only,any_crime_gt_1_pm1,Any-crime indicator: more than one total crime vs at most one total crime,+1 means more than one recorded crime in the period; -1 means at most one recorded crime in the period.,z = +1 means the block is under intervention in that quarter; z = -1 means no intervention in that quarter.,centroid_distance_kernel_8,Centroid-distance kernel with 8-nearest-neighbor support,Centroid-distance-kernel interaction matrix (8-neighbor support),0.09199592616465814,0.3877160424801463,0.277569074939068,-0.25320849228260744,0.2185652013392953,0.2123636022299734,-0.14106744082930445,0.14034350649302796,4.453710451140236,1.371752973573122,,1.0704294860662675,,,,,-0.19248690343182373,-0.07031955223160853,-0.10226231785592217,-0.11048573065826975,-0.07603067250355351,-0.06118950386468355,-0.26082216887093057,-0.12348161067347485,-0.20261751423088992,-0.16315041674852773,-0.1232974704866972,-0.12273000811669689,-0.1655521065787528,-0.12259291976193286,-0.06784491689111743,,0.4498775090475946
any_crime_gt_1_pm1__contiguity,outcome_only,any_crime_gt_1_pm1,Any-crime indicator: more than one total crime vs at most one total crime,+1 means more than one recorded crime in the period; -1 means at most one recorded crime in the period.,z = +1 means the block is under intervention in that quarter; z = -1 means no intervention in that quarter.,contiguity,Geographic contiguity network,Contiguity interaction matrix,0.16446911735239475,0.405597153065528,0.2866375473180177,-0.28402035219247335,0.2058991714327944,0.2636158522691306,-0.11029767430147651,0.11776259629481996,5.698564513553762,1.5651011759361115,,,2.0517165477086547,,,,-0.19780951176627806,-0.06822120672243932,-0.09549567545816846,-0.10345374752695286,-0.07243390964867455,-0.05263618478605832,-0.26975466438988543,-0.12358672944478082,-0.21060775231214718,-0.17062018978288382,-0.12280935862071425,-0.12310399183759475,-0.16744172408559624,-0.12629212425470882,-0.061535875466424625,,0.45597400913621017
any_crime_gt_1_pm1__knn_16,outcome_only,any_crime_gt_1_pm1,Any-crime indicator: more than one total crime vs at most one total crime,+1 means more than one recorded crime in the period; -1 means at most one recorded crime in the period.,z = +1 means the block is under intervention in that quarter; z = -1 means no intervention in that quarter.,knn_16,16-nearest-neighbor centroid graph,16-nearest-neighbor interaction matrix,0.07107724380914326,0.38647394381685696,0.2336426586471618,-0.21514327951210946,0.1929144454484154,0.19224658687371798,-0.18666403055936404,0.10913126435920584,4.99639838497919,1.305930633780377,,,,1.0545295205470544,,,-0.13612609970549147,-0.025070679399582536,-0.05971750217845178,-0.06720227528045812,-0.03474624738883063,-0.023992437777416668,-0.20135375099868613,-0.07770063684876143,-0.14526366698024573,-0.10898513638076969,-0.07159215902877245,-0.07490329510999859,-0.11075998990495961,-0.07309018385298587,-0.0252291347396449,,0.44961293317520074
any_crime_gt_1_pm1__knn_8,outcome_only,any_crime_gt_1_pm1,Any-crime indicator: more than one total crime vs at most one total crime,+1 means more than one recorded crime in the period; -1 means at most one recorded crime in the period.,z = +1 means the block is under intervention in that quarter; z = -1 means no intervention in that quarter.,knn_8,8-nearest-neighbor centroid graph,8-nearest-neighbor interaction matrix,0.09943206610301761,0.39034261798135944,0.25367227474428733,-0.2426299950415669,0.20754568050089386,0.20899727719119535,-0.13506790857333856,0.10686665975701308,4.9713649845222845,1.4870764244060202,,,,,0.8578886826933184,,-0.16161444680965426,-0.04348580007528654,-0.0749943593010222,-0.08282322626979619,-0.050121255223807955,-0.03690413888028428,-0.23030048317294002,-0.09788546300476317,-0.1733607942580651,-0.13464949189126696,-0.094744294844973,-0.09623851517085819,-0.13497831408145683,-0.09591051776485515,-0.041406965254961854,,0.4507890807354769
