variable,rule,positive_share,variance,transition_rate,weeks,counties
outcome,death_rate_100k >= 2,0.3955752783307528,0.9563819100172011,0.29366711216202324,72,3014
intervention,complete_cov >= 20,0.6969236157192361,0.8448843582882506,0.014177967606568408,72,3014
