variable,rule,positive_share,variance,transition_rate,weeks,counties
outcome,death_rate_100k >= 2,0.34381506990366795,0.9024250704432155,0.2590346498946943,116,3014
intervention,complete_cov >= 30,0.36783229984211613,0.9301267961399028,0.008678341652000808,116,3014
