variable,rule,positive_share,variance,transition_rate,weeks,counties
outcome,death_rate_100k >= 2,0.34381506990366795,0.9024250704432155,0.2590346498946943,116,3014
intervention,complete_cov >= 20,0.4325732787222845,0.9818145490309494,0.008753353913620495,116,3014
