variable,rule,positive_share,variance,transition_rate,weeks,counties
outcome,death_rate_100k >= 2,0.344251727575893,0.9029699025476248,0.2592627913361365,116,3009
intervention,complete_cov >= 20,0.4326932994121085,0.9818792322238876,0.008753449795540914,116,3009
