variable,rule,positive_share,variance,transition_rate,weeks,counties
outcome,death_rate_100k >= 2,0.4009731106306548,0.960774700727326,0.29437445240037463,89,3009
intervention,complete_cov >= 20,0.5639598059753325,0.9836365728783912,0.011439167346445511,89,3009
