variable,rule,positive_share,variance,transition_rate,weeks,counties
outcome,death_rate_100k >= 2,0.344251727575893,0.9029699025476248,0.2592627913361365,116,3009
intervention,complete_cov >= 30,0.3680653441972932,0.9303729863928851,0.008681202768506075,116,3009
