variable,rule,positive_share,variance,transition_rate,weeks,counties
outcome,death_rate_100k >= 2,0.40047568276880174,0.9603796411186553,0.2941349460095313,89,3014
intervention,complete_cov >= 20,0.5638033745144383,0.9837165176022811,0.011439042046208603,89,3014
