source_type,source_name,source_slug,run_name,run_slug,num_samples,gibbs_sweeps,s,overall_mean_magnetization_mean,overall_mean_magnetization_std,overall_mean_magnetization_q025,overall_mean_magnetization_q500,overall_mean_magnetization_q975,post_intervention_mean_magnetization_mean,post_intervention_mean_magnetization_std,post_intervention_mean_magnetization_q025,post_intervention_mean_magnetization_q500,post_intervention_mean_magnetization_q975
fit,alternating_rank_10,fit_alternating_rank_10,default,default,16,10,55,-0.07075925002769469,0.0031844555860449752,-0.07654605627561759,-0.070618699457184,-0.06584413426387503,-0.3143486208042539,0.00392020846364825,-0.3212656901091597,-0.3131068333461155,-0.3087532274969962
fit,alternating_rank_10_xi_zero,fit_alternating_rank_10_xi_zero,default,default,16,10,55,-0.12072220837487538,0.0020821632686589524,-0.124218317270411,-0.1208762601085632,-0.11685983715520107,-0.3450775877495718,0.0027516129984106546,-0.3486003527877905,-0.3451798450801442,-0.3392885446225426
fit,alternating_rank_2,fit_alternating_rank_2,default,default,16,10,55,-0.1287498615265315,0.003360224132114468,-0.13450551124404564,-0.12888002658690595,-0.12329400686828404,-0.3713117059079173,0.003333879111367688,-0.37654600301659125,-0.3706521461257254,-0.3662857581102845
fit,alternating_rank_2_xi_zero,fit_alternating_rank_2_xi_zero,default,default,16,10,55,-0.15253475684058934,0.0020764482141848307,-0.15547870278054723,-0.15302703002104795,-0.14894206270078653,-0.38283035508858043,0.002457270911353236,-0.38656849962931716,-0.3833320551167012,-0.3783904696167907
fit,alternating_rank_5,fit_alternating_rank_5,default,default,16,10,55,-0.1011396366456187,0.003151296249302425,-0.10692990473025368,-0.1005677412207821,-0.09624598426941397,-0.34382621366669225,0.0036084757338168704,-0.3498734565534167,-0.3430886826699389,-0.33832604749853007
fit,alternating_rank_5_xi_zero,fit_alternating_rank_5_xi_zero,default,default,16,10,55,-0.13703161349285475,0.001938705428564697,-0.14020369447213915,-0.13688933200398803,-0.13392669214578487,-0.36412045913541424,0.00244226627877694,-0.36763811130710433,-0.363754889178618,-0.3593437635810517
fit,manifold_rank_2,fit_manifold_rank_2,default,default,16,10,55,-0.15075191093386506,0.0032808929489758615,-0.15666749750747758,-0.15035172260994795,-0.14622867508585355,-0.3941611064243168,0.0035112999420051734,-0.4003898560728072,-0.39337883784543803,-0.38887695886698875
fit,nuclear_lambda_8e_2,fit_nuclear_lambda_8e_2,default,default,16,10,55,-0.021345685166722056,0.003297017226623462,-0.027398360474133156,-0.021516007532956686,-0.015634346959122632,-0.2664768514967917,0.004506840992227535,-0.27409310529948616,-0.26692230999309763,-0.25906127770534554
fit,nuclear_lambda_8e_2_xi_zero,fit_nuclear_lambda_8e_2_xi_zero,default,default,16,10,55,-0.09828708319485986,0.0019909927948281447,-0.10127949484878697,-0.09839093829622245,-0.09459745762711864,-0.32011337781527216,0.00256866775817999,-0.32407137561673954,-0.32020349208783905,-0.31475573280159524
truth,truth,truth,default,default,16,10,55,-0.19245492688600863,0.002307405322445068,-0.19613105129057273,-0.19219009637753406,-0.18812728481222998,-0.42860521001099267,0.0019608655546250213,-0.43197842370324924,-0.4288621315540558,-0.4252856814172866
fit,zero_external_field,fit_zero_external_field,default,default,16,10,55,0.11760136257892988,0.003759416958381512,0.11248546028580923,0.11735903400908386,0.12435886784092168,-0.11526062837129637,0.005009325436710781,-0.12471943144924201,-0.1152798016207787,-0.1089142827926477
fit,zero_external_field_xi_zero,fit_zero_external_field_xi_zero,default,default,16,10,55,0.09344916638971973,0.002028737655134685,0.09063988589786197,0.09384070012185666,0.09667455965437022,-0.09406907482680164,0.0024980277607089874,-0.09948615691387376,-0.09381087506710638,-0.09049645933992893
