source_type,source_name,source_slug,run_name,run_slug,num_samples,gibbs_sweeps,s,overall_mean_magnetization_mean,overall_mean_magnetization_std,overall_mean_magnetization_q025,overall_mean_magnetization_q500,overall_mean_magnetization_q975,post_intervention_mean_magnetization_mean,post_intervention_mean_magnetization_std,post_intervention_mean_magnetization_q025,post_intervention_mean_magnetization_q500,post_intervention_mean_magnetization_q975
fit,alternating_rank_10,fit_alternating_rank_10,default,default,16,10,0,-0.5869575301872162,0.0021537594739276518,-0.5901496898194306,-0.587199512573391,-0.5827212806026365,-0.5869575301872162,0.0021537594739276518,-0.5901496898194306,-0.587199512573391,-0.5827212806026365
fit,alternating_rank_10_xi_zero,fit_alternating_rank_10_xi_zero,default,default,16,10,0,-0.5680673258003767,0.0017283573332598412,-0.5703569846017503,-0.5683643513902736,-0.5641526808463498,-0.5680673258003767,0.0017283573332598412,-0.5703569846017503,-0.5683643513902736,-0.5641526808463498
fit,alternating_rank_2,fit_alternating_rank_2,default,default,16,10,0,-0.6481641879915807,0.0019446575852133672,-0.6513618865625346,-0.648119530297995,-0.6445981499944611,-0.6481641879915807,0.0019446575852133672,-0.6513618865625346,-0.648119530297995,-0.6445981499944611
fit,alternating_rank_2_xi_zero,fit_alternating_rank_2_xi_zero,default,default,16,10,0,-0.6127146338761493,0.001383701287158278,-0.6151517669214578,-0.6125816993464053,-0.6101930320150659,-0.6127146338761493,0.001383701287158278,-0.6151517669214578,-0.6125816993464053,-0.6101930320150659
fit,alternating_rank_5,fit_alternating_rank_5,default,default,16,10,0,-0.6167989088290684,0.001977643419427016,-0.6203119807244931,-0.6167359034009083,-0.6131695192201174,-0.6167989088290684,0.001977643419427016,-0.6203119807244931,-0.6167359034009083,-0.6131695192201174
fit,alternating_rank_5_xi_zero,fit_alternating_rank_5_xi_zero,default,default,16,10,0,-0.589864780658026,0.001449811552741794,-0.5920010800930542,-0.5898858978619697,-0.5866400797607179,-0.589864780658026,0.001449811552741794,-0.5920010800930542,-0.5898858978619697,-0.5866400797607179
fit,nuclear_lambda_8e_2,fit_nuclear_lambda_8e_2,default,default,16,10,0,-0.5424144233964772,0.0023661481467751847,-0.5464689265536723,-0.542951700454193,-0.5385911709316495,-0.5424144233964772,0.0023661481467751847,-0.5464689265536723,-0.542951700454193,-0.5385911709316495
fit,nuclear_lambda_8e_2_xi_zero,fit_nuclear_lambda_8e_2_xi_zero,default,default,16,10,0,-0.5392904619474909,0.0018177700766643754,-0.5424130386617925,-0.5394123185997564,-0.5359968704996122,-0.5392904619474909,0.0018177700766643754,-0.5424130386617925,-0.5394123185997564,-0.5359968704996122
truth,truth,truth,default,default,16,10,0,-0.707868062479229,0.0017523050098405758,-0.7108348565414866,-0.7076714301539825,-0.7055451700454193,-0.707868062479229,0.0017523050098405758,-0.7108348565414866,-0.7076714301539825,-0.7055451700454193
fit,zero_external_field,fit_zero_external_field,default,default,16,10,0,-0.39661466987925115,0.003796190078319864,-0.4023353550459732,-0.3967154093275729,-0.3901780768804697,-0.39661466987925115,0.003796190078319864,-0.4023353550459732,-0.3967154093275729,-0.3901780768804697
fit,zero_external_field_xi_zero,fit_zero_external_field_xi_zero,default,default,16,10,0,-0.3150492965547801,0.002425580106736689,-0.31884485432591114,-0.31507145230973743,-0.31102456519330896,-0.3150492965547801,0.002425580106736689,-0.31884485432591114,-0.31507145230973743,-0.31102456519330896
