variable,rule,positive_share,variance,transition_rate,weeks,counties
outcome,death_rate_100k >= 2,0.3755871293441066,0.9380857504606398,0.2814653728146537,102,3014
intervention,complete_cov >= 20,0.4919460816841667,0.9997405375990476,0.009966690099666902,102,3014
