variable,rule,positive_share,variance,transition_rate,weeks,counties
outcome,death_rate_100k >= 2,0.39609412503231045,0.9568142765887953,0.29393509612009044,72,3009
intervention,complete_cov >= 30,0.5929941656511946,0.9654083406193524,0.014061103075749279,72,3009
