variable,rule,positive_share,variance,transition_rate,weeks,counties
outcome,death_rate_100k >= 2,0.4009731106306548,0.960774700727326,0.29437445240037463,89,3009
intervention,complete_cov >= 30,0.4797256171560226,0.9983557976011833,0.011344753617934076,89,3009
