experiment_name,outcome_code,outcome_label,intervention_code,intervention_label,lag_code,network_name,field_basis_mode,tau_zero_mean,tau_smoothness_lambda,realized_start_date,realized_end_date,requested_calendar_weeks,realized_calendar_weeks,weeks_dropped_due_to_missing_or_lag,time_steps,requested_node_count,node_count,dropped_node_count,full_fit_status,outcome_only_fit_status,fallback_run,outcome_positive_share,outcome_transition_rate,outcome_weeks,outcome_counties,outcome_rule,intervention_positive_share,intervention_transition_rate,intervention_weeks,intervention_counties,intervention_rule,beta,eta,field::log_population,field::median_household_income,field::pct_black,field::pct_hispanic,field::pct_in_labor_force,field::poverty_rate,final_loss,interaction::contiguity,psi,tau::t_0,tau::t_1,tau::t_10,tau::t_11,tau::t_12,tau::t_13,tau::t_14,tau::t_15,tau::t_16,tau::t_17,tau::t_18,tau::t_19,tau::t_2,tau::t_20,tau::t_21,tau::t_22,tau::t_23,tau::t_24,tau::t_25,tau::t_26,tau::t_27,tau::t_28,tau::t_29,tau::t_3,tau::t_30,tau::t_31,tau::t_32,tau::t_33,tau::t_34,tau::t_35,tau::t_36,tau::t_37,tau::t_38,tau::t_39,tau::t_4,tau::t_40,tau::t_41,tau::t_42,tau::t_43,tau::t_44,tau::t_45,tau::t_46,tau::t_47,tau::t_48,tau::t_49,tau::t_5,tau::t_50,tau::t_51,tau::t_52,tau::t_53,tau::t_54,tau::t_55,tau::t_56,tau::t_57,tau::t_58,tau::t_59,tau::t_6,tau::t_60,tau::t_61,tau::t_62,tau::t_63,tau::t_64,tau::t_65,tau::t_66,tau::t_67,tau::t_68,tau::t_69,tau::t_7,tau::t_8,tau::t_9,zeta
outcome_case_rate_100k_ge_100__intervention_complete_cov_ge_10__lag_0w__contiguity,case_rate_100k_ge_100,case_rate_100k >= 100,complete_cov_ge_10,complete_cov >= 10,0w,contiguity,acs_2021,True,0.0,2021-01-04,2022-05-15,71,71,0,70,3213,3203,10,completed,not_run,False,0.5558433334945672,0.1403416439944694,71,3203,case_rate_100k >= 100,0.8101383825902653,0.014383836581776,71,3203,complete_cov >= 10,0.07046591758387892,0.5144447354850149,0.2971401181519069,-0.19143598381129315,-0.11182296014261209,-0.06930076801059626,0.09434513027946238,-0.051965466298820255,0.1747668403774132,2.4905576405401217,2.1073372570223086,0.22444162321761305,0.1440700572252421,0.00519426978103161,-0.0928878459617768,0.03696539460674421,-0.042004214694981425,-0.14133846221605204,-0.10176086229870708,-0.19673176126029654,-0.26663682674747446,-0.29676362992409433,-0.25704597726129086,0.06564200905357319,-0.4857580039586343,-0.2706020383297616,-0.4778435025646147,-0.4208136747340696,-0.35760405292510355,-0.1399398595326205,-0.015253507243675656,0.1512402928783758,0.20329947663863523,0.23318085219385074,0.0054241757887297124,0.2734499803275863,0.17654915489912926,0.26210413590663467,0.23555114506886365,0.1302528039121486,0.2691207321920994,0.2147213947682869,0.05676738587666916,-0.04116517141825637,-0.15455090078316286,-0.08864766115864384,-0.1251175914383964,-0.16287553969669616,-0.11692351196893468,-0.029424927307008412,0.008191732914574808,-0.31675468788426697,0.33563157073276934,0.007684780620056203,-0.014880427617520014,0.021018869058272494,-0.2076973184088408,0.45546538843543966,0.7648835696063374,0.711293298265517,0.8906720468532292,0.8709075510375837,0.6465861264760482,0.1796776027777374,-0.17375890976887332,-0.4213544088946947,-0.3586391292667896,0.06118980730505263,-0.3352302147568143,-0.2677005864711886,-0.24350651856072558,-0.29657105724649985,-0.193109129976889,-0.22025189210351914,-0.002139127120409199,-0.07411998240593809,0.014953753855175856,0.03473765707564932,-0.15652397106815769,-0.0545790616123334,-0.07236269276094437,-0.022767503028476292
outcome_case_rate_100k_ge_100__intervention_complete_cov_ge_10__lag_1w__contiguity,case_rate_100k_ge_100,case_rate_100k >= 100,complete_cov_ge_10,complete_cov >= 10,1w,contiguity,acs_2021,True,0.0,2021-01-11,2022-05-15,71,70,1,69,3213,3203,10,completed,not_run,False,0.5500557513045805,0.1416606713814494,70,3203,case_rate_100k >= 100,0.8074260737701262,0.0145922979815118,70,3203,complete_cov >= 10,0.07215631066380927,0.5129745921015844,0.2847509661796153,-0.18566422093086893,-0.11645232357820791,-0.06882220421646494,0.09596780882654665,-0.0478306386370327,0.17600976638690133,2.483729605106331,2.106151981677702,0.14837239140683117,0.07001586674081119,-0.08511326203840033,0.039881728654880336,-0.04057051545957382,-0.14010595418693378,-0.10130035993881986,-0.19611933525231076,-0.2669615369248631,-0.29770876141832187,-0.2588218456177543,-0.4871921008981885,0.010023418789730383,-0.271879144918103,-0.47883866769925887,-0.42195230730020367,-0.35877258245176025,-0.141682163912579,-0.016627139261397937,0.14868839570167458,0.20146925254081127,0.23226691885324707,0.2733790895228492,-0.08299262733317594,0.17723825237711946,0.26395716948367426,0.23854297841715272,0.13172459920744556,0.2730046047776769,0.22214919949679035,0.05903929286869843,-0.03888063269544195,-0.1529651354784655,-0.10617652481753093,-0.20180275408756085,-0.1616376824678369,-0.11617714171728293,-0.029268543422836055,0.008657458307988813,-0.31619995045842325,0.33608793841688356,0.008280333293014884,-0.015472815038394315,0.02153257968580851,0.4565826703355642,0.07718886906474644,0.7737402862006965,0.7227944996585481,0.9085855685659935,0.8886018190906598,0.6586446618910607,0.18290289742332638,-0.1720711961183315,-0.42149712535761974,-0.35873103119914446,-0.33554126718110483,-0.13587809278101165,-0.2682483156833296,-0.2452511355923213,-0.2975840366877818,-0.19545220696310361,-0.22182303380458507,-0.004363787039785058,-0.07598084019997621,0.013441021122589809,0.032088810682912146,,-0.023793120573777568,-0.05435894729482242,0.016911048692926443,-0.06660553534520929
outcome_case_rate_100k_ge_100__intervention_complete_cov_ge_10__lag_2w__contiguity,case_rate_100k_ge_100,case_rate_100k >= 100,complete_cov_ge_10,complete_cov >= 10,2w,contiguity,acs_2021,True,0.0,2021-01-18,2022-05-15,71,69,2,68,3213,3203,10,completed,not_run,False,0.5444080956711779,0.1426420084112321,69,3203,case_rate_100k >= 100,0.8046351473030267,0.014806890598887,69,3203,complete_cov >= 10,0.06787821433484681,0.5122792062875374,0.2794919645557515,-0.18716407112434783,-0.12732140672177167,-0.0668712324936188,0.09030007373410281,-0.050566215595064856,0.17703441252089783,2.4773047791656113,2.101162704247963,0.06550840745155583,0.005143372684089361,0.048532021408544915,-0.03574752431035328,-0.13665464056156004,-0.09848298953173296,-0.19406461174826053,-0.2644657596002109,-0.29753137372509003,-0.25952038115707987,-0.4907522921392454,-0.27431729508492425,-0.08700540843693637,-0.48234221412099726,-0.4251620868414622,-0.360562120326415,-0.1417859908080633,-0.01639117155842543,0.15026875700568143,0.2027657233698248,0.23390785282896262,0.27603831386616545,0.17969574929006762,-0.2049304250686059,0.2653227205986038,0.24030748029159435,0.13424165961020665,0.2739319763586062,0.2255370882715107,0.06580409136704046,-0.03441579764345073,-0.14914268565700808,-0.10290227773779038,-0.14155633515189928,0.07607522725142456,-0.11216303150625496,-0.02556052697422963,0.012372101249806434,-0.3128579320939468,0.3397246108888078,0.012466272608514338,-0.011651884982357872,0.02426074191631841,0.45918675456838165,0.7668287068681289,-0.12726717671838272,0.7144588588492248,0.8942144371282266,0.8769159102927173,0.6512860320772623,0.1862353919220951,-0.16774767306418603,-0.4160603689611685,-0.35555574386845207,-0.33333168584329426,-0.2666812956678823,-0.007706594850396685,-0.24325019148477567,-0.2966284835566759,-0.1938773040110449,-0.22143914917590463,-0.0031254583173991736,-0.07438180323374607,0.01515308576215193,0.034342898127860365,,,-0.025241956342672414,0.0332773257176135,-0.07154192776870648,-0.07236584705624169
outcome_case_rate_100k_ge_100__intervention_complete_cov_ge_10__lag_3w__contiguity,case_rate_100k_ge_100,case_rate_100k >= 100,complete_cov_ge_10,complete_cov >= 10,3w,contiguity,acs_2021,True,0.0,2021-01-25,2022-05-15,71,68,3,67,3213,3203,10,completed,not_run,False,0.5390075480707425,0.1433171327253833,68,3203,case_rate_100k >= 100,0.8017621347633652,0.0150278889660346,68,3203,complete_cov >= 10,0.07037981642285032,0.5112976028072841,0.27298883687714726,-0.18930709034612125,-0.13807114362904085,-0.0670529715476255,0.09468162622064964,-0.04516046504554753,0.17761866225811007,2.4730181535522493,2.099247640402817,0.008377166761962306,-0.08350173016365682,-0.029567023191168097,-0.1337808146005969,-0.09805585056515674,-0.1946387364535235,-0.26553825299434225,-0.29853832016208365,-0.26224782841906896,-0.4932964918168727,-0.277793622554506,-0.4853720725474756,-0.20128413990278066,-0.4279094980393598,-0.36291559330108086,-0.14452704111812156,-0.01846820711934351,0.14773424652503087,0.20029195993198232,0.23124032435665756,0.27388962391398813,0.178640832735102,0.2635464751969397,0.08045097029278661,0.23991594052852058,0.13445317373127275,0.27397645641945784,0.22426513682116728,0.06782697212532166,-0.031297027335019094,-0.14956351033222645,-0.10349494626325728,-0.14245689859533897,-0.0997226233815137,-0.12083472625299031,-0.027517219095475755,0.01029154733023682,-0.3148136513774227,0.33820241904205567,0.011359176112885365,-0.012858403918546995,0.022633319770287506,0.45545876538475416,0.7662250558136973,0.7171683432286406,0.008172422604624755,0.9006515740658261,0.8817691446997208,0.6541476753514158,0.18618921039900413,-0.16926800751274854,-0.41807390603644773,-0.3586496289078258,-0.3360590722484404,-0.2700367684816559,-0.24687666289398877,-0.004441977040712082,-0.29889270454575245,-0.19734323932864659,-0.22449449156233575,-0.0060670136489452174,-0.07754438551417346,0.011896289308943505,0.03108809402082068,,,,0.06323609060228794,-0.055791675823625146,0.060435355970835936,-0.09094644259731437
outcome_case_rate_100k_ge_100__intervention_complete_cov_ge_10__lag_4w__contiguity,case_rate_100k_ge_100,case_rate_100k >= 100,complete_cov_ge_10,complete_cov >= 10,4w,contiguity,acs_2021,True,0.0,2021-02-01,2022-05-15,71,67,4,66,3213,3203,10,completed,not_run,False,0.5341074831897336,0.1435207523249983,67,3203,case_rate_100k >= 100,0.7988033606553557,0.0152555842533988,67,3203,complete_cov >= 10,0.0695626248551746,0.5109616915283747,0.26563048507078957,-0.19237119222920604,-0.14536990230490565,-0.06561884182349702,0.09570968534444368,-0.04782352395514976,0.1778531805306142,2.474939285047987,2.0886714101163126,-0.08730588911776205,-0.2018114127678467,-0.12617256951354056,-0.0942008389297713,-0.19260844880685798,-0.26453163975316873,-0.2979363616129929,-0.26131861617354124,-0.49353707698742133,-0.277843412740087,-0.4860166773794628,-0.4291115811384905,0.07909952172952957,-0.36389246802386666,-0.14426799589711178,-0.01964334680880137,0.1484804512467203,0.2002186842013598,0.23032524711882715,0.27097709042843726,0.1760651673043977,0.26103718216053884,0.23522799910673822,-0.12088600244013352,0.13179847707584819,0.269736095778892,0.22127485578965345,0.06387748149392737,-0.033354066590631545,-0.1461118339551904,-0.10322890320939904,-0.14286546352847998,-0.10029316688011057,-0.013237775840693154,0.010658043665703153,0.009963620219685821,-0.3162432883910139,0.336745297352655,0.010678480580835361,-0.013683329114167787,0.022184133745373424,0.4529616627688839,0.7612178170639156,0.7106096342599978,0.8782250290189056,0.008014668628368457,0.8598324318287498,0.6473174023592139,0.18171844204967394,-0.16953567572874126,-0.4173291600874834,-0.3579475533114097,-0.3369691212180128,-0.27005340861467464,-0.2471511313260295,-0.2992746012091608,0.08248712888342224,-0.19650916928706122,-0.22497671360262878,-0.007646889043221091,-0.078594464562527,0.011736622153275308,0.03070528871604592,,,,,-0.028140329343123577,0.0768969922300431,-0.015840566025001886,-0.0747846367030433
outcome_case_rate_100k_ge_200__intervention_complete_cov_ge_10__lag_0w__contiguity,case_rate_100k_ge_200,case_rate_100k >= 200,complete_cov_ge_10,complete_cov >= 10,0w,contiguity,acs_2021,True,0.0,2021-01-04,2022-05-15,71,71,0,70,3213,3203,10,completed,not_run,False,0.3710254031211936,0.125641140002676,71,3203,case_rate_100k >= 200,0.8101383825902653,0.014383836581776,71,3203,complete_cov >= 10,-0.06683681159716072,0.5470761030467155,0.1788609497464372,-0.27985223848386725,-0.1935771793192449,-0.13153594317490738,0.09271024767359523,-0.02029603643227427,0.15298254680966988,2.6257125302596647,2.265141102687047,-0.20358697503063536,-0.18715991352178132,0.019072864926093575,-0.061084788191899796,0.029291194808192682,-0.029371240627778347,-0.17747618723827457,-0.17430503180084828,-0.26306711375440994,-0.2944306532396377,-0.44782012529191767,-0.3108838955603444,-0.2281534357465545,-0.6298348455263278,-0.3895979010144324,-0.5479294530304301,-0.4626275866532441,-0.464558868147614,-0.21353437146937093,-0.10675472862939762,0.13074671741807317,0.29035628145723374,0.28376563191369514,-0.2611003553139022,0.31293139105241485,0.28364060927563045,0.26934383880850166,0.24335118912533826,0.08570068892134287,0.22403564434651616,-0.012272101711357342,-0.06782316190724808,-0.07904141722852243,-0.12433264123723428,-0.27714138317130516,-0.13600653758701498,0.040397265890723004,0.015372939813753915,0.10562134637420123,0.14103983595355596,-0.2604515476854081,0.41227877015501024,0.05367623003089536,0.01519862468655208,0.030672881842030483,-0.3990502661705758,0.5714389617085288,0.9170377422337254,1.0608316434095912,1.603713614817557,1.6084628495059212,0.4363545784510418,-0.15440481258036254,-0.29623949392669013,-0.3466069028148783,-0.14475031904950494,-0.016937590494985045,-0.1511101146339052,-0.14525365019153189,-0.2562660455558484,-0.30108082576862305,-0.24612141281454655,-0.10540320696933786,0.008100725266385047,-0.06703951746400422,0.08277483275568842,0.06433481758861341,-0.22131337985479294,-0.014578020635590662,-0.0630418932947379,-0.5217586493559917
outcome_case_rate_100k_ge_200__intervention_complete_cov_ge_10__lag_1w__contiguity,case_rate_100k_ge_200,case_rate_100k >= 200,complete_cov_ge_10,complete_cov >= 10,1w,contiguity,acs_2021,True,0.0,2021-01-11,2022-05-15,71,70,1,69,3213,3203,10,completed,not_run,False,0.3635743276392668,0.125629504947807,70,3203,case_rate_100k >= 200,0.8074260737701262,0.0145922979815118,70,3203,complete_cov >= 10,-0.06704935535413863,0.5460587787388526,0.16971990265703749,-0.28596317528763027,-0.20572759685870096,-0.1285612603246545,0.09533341755969096,-0.029800464319099364,0.15288700805888047,2.625512216472533,2.2834572564252777,-0.18753571162019567,-0.22797940958261598,-0.06990606608904966,0.02301603023494219,-0.03195996272392636,-0.17903939298006788,-0.17600711088772966,-0.26454135653030186,-0.29628667736478637,-0.4498403178645447,-0.31245230005852276,-0.6294808285502068,-0.2610426873719013,-0.39087250030433357,-0.5496563799849504,-0.46460150139269457,-0.4659947675326623,-0.21505363238367484,-0.10779872590992412,0.12837278951823353,0.28911311523107325,0.28253341109937014,0.3114649182677647,-0.27774989202742445,0.28265087909949344,0.26849157741330565,0.24236479910889455,0.0852661868220077,0.2232862086452564,-0.014506182842630992,-0.06670067658245553,-0.07837645343548016,-0.12401857718880015,-0.14562694300984574,-0.39993372453005027,0.04037698962280096,0.014661003262946861,0.10481967278996451,0.14010999891582285,-0.2618544060844518,0.4109401335560773,0.053553897064456,0.016231937205062205,0.03013644574895035,0.570539232189822,-0.02769038269751253,0.9157785325668533,1.0504000607552333,1.5893337276660986,1.5924507542116568,0.43717896142803236,-0.15382973261447047,-0.2940108541812351,-0.34636881155264665,-0.14453698565659695,-0.15130351971412256,-0.23665022894124774,-0.14781713260314233,-0.25712325224953136,-0.3009582289266295,-0.24807080015238123,-0.10665380291049713,0.006945362374516236,-0.06717131084431546,0.08107978727266443,0.06306029622427688,,-0.04372546577273695,-0.08337613747952827,0.003946122834245827,-0.5396429821814201
outcome_case_rate_100k_ge_200__intervention_complete_cov_ge_10__lag_2w__contiguity,case_rate_100k_ge_200,case_rate_100k >= 200,complete_cov_ge_10,complete_cov >= 10,2w,contiguity,acs_2021,True,0.0,2021-01-18,2022-05-15,71,69,2,68,3213,3203,10,completed,not_run,False,0.3571968308696104,0.1252639988246313,69,3203,case_rate_100k >= 200,0.8046351473030267,0.014806890598887,69,3203,complete_cov >= 10,-0.06834343758532113,0.5466384903801927,0.16898601238454405,-0.28601248531265355,-0.22198334076950124,-0.13429055556531497,0.08866530279753317,-0.026349232607548092,0.1527527262961489,2.624423857047715,2.279314598842733,-0.2313641736768367,-0.2628547901835059,0.016467708347085778,-0.03593517776633425,-0.18177872301619752,-0.17796732800827575,-0.2675947106148406,-0.2992209030223946,-0.4516591256689902,-0.3150480172174647,-0.6324849831917951,-0.39322371564101427,-0.2809264450658434,-0.552688990576589,-0.4668944299032292,-0.4681501170787299,-0.21528145214120953,-0.1086328716858935,0.13050314545867397,0.29001450140131235,0.2830208747225078,0.311399531801937,0.2827417197358335,-0.40498048633561573,0.26872474743382757,0.24260091997949973,0.08524706476205209,0.22375638195503525,-0.014054996185400636,-0.0685063647881313,-0.07757758792085848,-0.12357389322667792,-0.1457258718413533,0.030748146082113795,-0.03389559210969621,0.015137226213001806,0.10538850386502514,0.14073855235322139,-0.262317260838153,0.4119920813698323,0.05335343542552699,0.01631680158647235,0.03195056767908638,0.5717491301331586,0.9169147665188364,-0.25033155239582405,1.053485412153938,1.5656114868704523,1.5809898324415974,0.4369883325911295,-0.15336808665092352,-0.2938164014579796,-0.345760059322481,-0.1453592302141365,-0.15180803186668998,-0.14826887334187008,-0.06361067342682895,-0.2598010699763226,-0.3030644067341612,-0.24772297852675274,-0.10793626769538318,0.007321392300140923,-0.06673835430600288,0.08260747520876377,0.0640011812374176,,,-0.11443634327767262,-0.012147830742052858,-0.083262751987368,-0.5280972148455256
outcome_case_rate_100k_ge_200__intervention_complete_cov_ge_10__lag_3w__contiguity,case_rate_100k_ge_200,case_rate_100k >= 200,complete_cov_ge_10,complete_cov >= 10,3w,contiguity,acs_2021,True,0.0,2021-01-25,2022-05-15,71,68,3,67,3213,3203,10,completed,not_run,False,0.3517612165065839,0.1244169412071705,68,3203,case_rate_100k >= 200,0.8017621347633652,0.0150278889660346,68,3203,complete_cov >= 10,-0.06600467558065937,0.5470194755438251,0.16849444783478093,-0.28460542302994535,-0.23651781633585256,-0.14088079382511925,0.07950584523696738,-0.021293840885486387,0.15209438625060262,2.636867425990946,2.2745167465123832,-0.2613600877603895,-0.27711199908279016,-0.04285875610516913,-0.18615322732567025,-0.17981027562545643,-0.2676786440460713,-0.29883381872847625,-0.45189217385735647,-0.3128559144624365,-0.6307216662854337,-0.39126084019882706,-0.5495588768311844,-0.4014484610886164,-0.46446046814645914,-0.4659442283213754,-0.21473081036178096,-0.10774751220359305,0.13107077304181766,0.2893598474967555,0.28158022370774766,0.30944871658150375,0.27966515280594423,0.2656420004106144,-0.03042861345589762,0.23886627151811388,0.081492241442649,0.21969825214539407,-0.018439980516746193,-0.0726941547626185,-0.08355843163196038,-0.12626682831259742,-0.14796974440483696,0.02872631083528023,0.003124501660902092,-0.248514620450769,0.10270519472912325,0.13772229771638653,-0.2652713724705835,0.40905482683593797,0.0502506768582971,0.012721542944293335,0.02931200430843582,0.5681462332548352,0.9095899854813226,1.0340767010582612,-0.07157610057915295,1.5485095597278071,1.5515885336346946,0.42871678961566173,-0.15804586112386226,-0.2977022687731841,-0.347050848716725,-0.1465279643680054,-0.15250021400734934,-0.1487351262759929,-0.26060432051714194,-0.12804592546937424,-0.30416400730374105,-0.24706686310753373,-0.10595517505778011,0.007329302319832563,-0.0674138123575353,0.08242582719361116,0.06315468918480273,,,,-0.03985120708365356,-0.09709405214522188,0.005926796813324178,-0.5178266731134155
outcome_case_rate_100k_ge_200__intervention_complete_cov_ge_10__lag_4w__contiguity,case_rate_100k_ge_200,case_rate_100k >= 200,complete_cov_ge_10,complete_cov >= 10,4w,contiguity,acs_2021,True,0.0,2021-02-01,2022-05-15,71,67,4,66,3213,3203,10,completed,not_run,False,0.3476777834213261,0.1228441139462057,67,3203,case_rate_100k >= 200,0.7988033606553557,0.0152555842533988,67,3203,complete_cov >= 10,-0.061845296473082734,0.5487562353330186,0.1725324434972166,-0.2939096417097245,-0.23280877392633748,-0.14576865685342227,0.0735911789747337,-0.024234759338355265,0.1510731376358263,2.6552969601299803,2.2629102593490766,-0.2727895437931583,-0.3953074527592502,-0.191006157138808,-0.18184659778619408,-0.26925858311847717,-0.2985952792586427,-0.4498077207456294,-0.3127285166907896,-0.633512253311553,-0.3887891560803015,-0.5484730332598157,-0.46346064708740986,-0.023421092258270562,-0.4651580571876352,-0.212417538200947,-0.10652551145278776,0.13120886009861485,0.2899626507828818,0.2798758782181515,0.3077139351774072,0.2766656918805784,0.26097098181622996,0.2338348487236533,-0.24064494814612253,0.07524884320281228,0.2131970159790193,-0.02613812233524243,-0.07963158522356019,-0.09018397265918619,-0.13375536232622068,-0.15229370097440062,0.02528081509504113,-0.00021473828133508206,0.08954305475110208,-0.06640587419198951,0.13308812371894618,-0.2705551439723167,0.4051911951778224,0.04522012751118279,0.007989463639572786,0.024122227633313186,0.5626095333374541,0.8978748678715973,1.0210431469058663,1.5212537982215755,-0.13248091758553038,1.524432104387388,0.4136846247668331,-0.1676115545696189,-0.30324036233843843,-0.3505135020786408,-0.14844999313798443,-0.15325253416534612,-0.14851321253848826,-0.2608196270009692,-0.3040510385249891,-0.05055687423703933,-0.24890103783220244,-0.10515347506480177,0.00810106579109929,-0.06738899011135079,0.08311271302812784,0.06309389395737383,,,,,-0.12295950564247315,-0.004771527863787412,-0.05273472074194051,-0.5005431351903075
