variable,rule,positive_share,variance,transition_rate,weeks,counties
outcome,death_rate_100k >= 2,0.344251727575893,0.9029699025476248,0.2592627913361365,116,3009
intervention,complete_cov >= 40,0.2556267977676167,0.7611269521227626,0.007502131287297527,116,3009
