WeekEndDate,variable_code,county_count,eligible_count,have_count,do_not_have_count,missing_count,have_share,do_not_have_share,missing_share
2020-01-26,complete_cov_ge_20,3213,3213,0,3213,0,0.0,1.0,0.0
2020-02-02,complete_cov_ge_20,3213,3213,0,3213,0,0.0,1.0,0.0
2020-02-09,complete_cov_ge_20,3213,3213,0,3213,0,0.0,1.0,0.0
2020-02-16,complete_cov_ge_20,3213,3213,0,3213,0,0.0,1.0,0.0
2020-02-23,complete_cov_ge_20,3213,3213,0,3213,0,0.0,1.0,0.0
2020-03-01,complete_cov_ge_20,3213,3213,0,3213,0,0.0,1.0,0.0
2020-03-08,complete_cov_ge_20,3213,3213,0,3213,0,0.0,1.0,0.0
2020-03-15,complete_cov_ge_20,3213,3213,0,3213,0,0.0,1.0,0.0
2020-03-22,complete_cov_ge_20,3213,3213,0,3213,0,0.0,1.0,0.0
2020-03-29,complete_cov_ge_20,3213,3213,0,3213,0,0.0,1.0,0.0
2020-04-05,complete_cov_ge_20,3213,3213,0,3213,0,0.0,1.0,0.0
2020-04-12,complete_cov_ge_20,3213,3213,0,3213,0,0.0,1.0,0.0
2020-04-19,complete_cov_ge_20,3213,3213,0,3213,0,0.0,1.0,0.0
2020-04-26,complete_cov_ge_20,3213,3213,0,3213,0,0.0,1.0,0.0
2020-05-03,complete_cov_ge_20,3213,3213,0,3213,0,0.0,1.0,0.0
2020-05-10,complete_cov_ge_20,3213,3213,0,3213,0,0.0,1.0,0.0
2020-05-17,complete_cov_ge_20,3213,3213,0,3213,0,0.0,1.0,0.0
2020-05-24,complete_cov_ge_20,3213,3213,0,3213,0,0.0,1.0,0.0
2020-05-31,complete_cov_ge_20,3213,3213,0,3213,0,0.0,1.0,0.0
2020-06-07,complete_cov_ge_20,3213,3213,0,3213,0,0.0,1.0,0.0
2020-06-14,complete_cov_ge_20,3213,3213,0,3213,0,0.0,1.0,0.0
2020-06-21,complete_cov_ge_20,3213,3213,0,3213,0,0.0,1.0,0.0
2020-06-28,complete_cov_ge_20,3213,3213,0,3213,0,0.0,1.0,0.0
2020-07-05,complete_cov_ge_20,3213,3213,0,3213,0,0.0,1.0,0.0
2020-07-12,complete_cov_ge_20,3213,3213,0,3213,0,0.0,1.0,0.0
2020-07-19,complete_cov_ge_20,3213,3213,0,3213,0,0.0,1.0,0.0
2020-07-26,complete_cov_ge_20,3213,3213,0,3213,0,0.0,1.0,0.0
2020-08-02,complete_cov_ge_20,3213,3213,0,3213,0,0.0,1.0,0.0
2020-08-09,complete_cov_ge_20,3213,3213,0,3213,0,0.0,1.0,0.0
2020-08-16,complete_cov_ge_20,3213,3213,0,3213,0,0.0,1.0,0.0
2020-08-23,complete_cov_ge_20,3213,3213,0,3213,0,0.0,1.0,0.0
2020-08-30,complete_cov_ge_20,3213,3213,0,3213,0,0.0,1.0,0.0
2020-09-06,complete_cov_ge_20,3213,3213,0,3213,0,0.0,1.0,0.0
2020-09-13,complete_cov_ge_20,3213,3213,0,3213,0,0.0,1.0,0.0
2020-09-20,complete_cov_ge_20,3213,3213,0,3213,0,0.0,1.0,0.0
2020-09-27,complete_cov_ge_20,3213,3213,0,3213,0,0.0,1.0,0.0
2020-10-04,complete_cov_ge_20,3213,3213,0,3213,0,0.0,1.0,0.0
2020-10-11,complete_cov_ge_20,3213,3213,0,3213,0,0.0,1.0,0.0
2020-10-18,complete_cov_ge_20,3213,3213,0,3213,0,0.0,1.0,0.0
2020-10-25,complete_cov_ge_20,3213,3213,0,3213,0,0.0,1.0,0.0
2020-11-01,complete_cov_ge_20,3213,3213,0,3213,0,0.0,1.0,0.0
2020-11-08,complete_cov_ge_20,3213,3213,0,3213,0,0.0,1.0,0.0
2020-11-15,complete_cov_ge_20,3213,3213,0,3213,0,0.0,1.0,0.0
2020-11-22,complete_cov_ge_20,3213,3213,0,3213,0,0.0,1.0,0.0
2020-11-29,complete_cov_ge_20,3213,3213,0,3213,0,0.0,1.0,0.0
2020-12-06,complete_cov_ge_20,3213,3213,0,3213,0,0.0,1.0,0.0
2020-12-13,complete_cov_ge_20,3213,3213,0,3213,0,0.0,1.0,0.0
2020-12-20,complete_cov_ge_20,3213,3213,0,3213,0,0.0,1.0,0.0
2020-12-27,complete_cov_ge_20,3213,3213,0,3213,0,0.0,1.0,0.0
2021-01-03,complete_cov_ge_20,3213,3213,0,3213,0,0.0,1.0,0.0
2021-01-10,complete_cov_ge_20,3213,3213,0,3213,0,0.0,1.0,0.0
2021-01-17,complete_cov_ge_20,3213,3213,0,3213,0,0.0,1.0,0.0
2021-01-24,complete_cov_ge_20,3213,3213,0,3213,0,0.0,1.0,0.0
2021-01-31,complete_cov_ge_20,3213,3213,0,3213,0,0.0,1.0,0.0
2021-02-07,complete_cov_ge_20,3213,3213,2,3211,0,0.0006224712107065049,0.9993775287892935,0.0
2021-02-14,complete_cov_ge_20,3213,3213,7,3206,0,0.002178649237472767,0.9978213507625272,0.0
2021-02-21,complete_cov_ge_20,3213,3213,12,3201,0,0.003734827264239029,0.996265172735761,0.0
2021-02-28,complete_cov_ge_20,3213,3213,23,3190,0,0.0071584189231248055,0.9928415810768751,0.0
2021-03-07,complete_cov_ge_20,3213,3213,46,3167,0,0.014316837846249611,0.9856831621537504,0.0
2021-03-14,complete_cov_ge_20,3213,3213,88,3125,0,0.02738873327108621,0.9726112667289137,0.0
2021-03-21,complete_cov_ge_20,3213,3213,188,3025,0,0.05851229380641145,0.9414877061935886,0.0
2021-03-28,complete_cov_ge_20,3213,3213,417,2796,0,0.12978524743230627,0.8702147525676938,0.0
2021-04-04,complete_cov_ge_20,3213,3213,827,2386,0,0.25739184562713974,0.7426081543728602,0.0
2021-04-11,complete_cov_ge_20,3213,3213,1366,1847,0,0.4251478369125428,0.5748521630874572,0.0
2021-04-18,complete_cov_ge_20,3213,3213,1786,1427,0,0.5558667911609088,0.4441332088390912,0.0
2021-04-25,complete_cov_ge_20,3213,3213,2070,1143,0,0.6442577030812325,0.3557422969187675,0.0
2021-05-02,complete_cov_ge_20,3213,3213,2256,957,0,0.7021475256769374,0.29785247432306255,0.0
2021-05-09,complete_cov_ge_20,3213,3213,2365,848,0,0.7360722066604419,0.26392779333955807,0.0
2021-05-16,complete_cov_ge_20,3213,3213,2439,774,0,0.7591036414565826,0.24089635854341737,0.0
2021-05-23,complete_cov_ge_20,3213,3213,2483,730,0,0.7727980080921257,0.22720199190787427,0.0
2021-05-30,complete_cov_ge_20,3213,3213,2514,699,0,0.7824463118580766,0.21755368814192344,0.0
2021-06-06,complete_cov_ge_20,3213,3213,2540,673,0,0.7905384375972612,0.20946156240273886,0.0
2021-06-13,complete_cov_ge_20,3213,3213,2560,653,0,0.7967631497043262,0.20323685029567382,0.0
2021-06-20,complete_cov_ge_20,3213,3213,2586,627,0,0.8048552754435108,0.19514472455648926,0.0
2021-06-27,complete_cov_ge_20,3213,3213,2596,617,0,0.8079676314970433,0.19203236850295674,0.0
2021-07-04,complete_cov_ge_20,3213,3213,2610,603,0,0.8123249299719888,0.1876750700280112,0.0
2021-07-11,complete_cov_ge_20,3213,3213,2620,593,0,0.8154372860255213,0.18456271397447868,0.0
2021-07-18,complete_cov_ge_20,3213,3213,2629,584,0,0.8182384064737006,0.18176159352629942,0.0
2021-07-25,complete_cov_ge_20,3213,3213,2641,572,0,0.8219732337379396,0.17802676626206038,0.0
2021-08-01,complete_cov_ge_20,3213,3213,2648,565,0,0.8241518829754124,0.1758481170245876,0.0
2021-08-08,complete_cov_ge_20,3213,3213,2683,530,0,0.8350451291627762,0.16495487083722377,0.0
2021-08-15,complete_cov_ge_20,3213,3213,2692,521,0,0.8378462496109554,0.1621537503890445,0.0
2021-08-22,complete_cov_ge_20,3213,3213,2697,516,0,0.8394024276377218,0.16059757236227826,0.0
2021-08-29,complete_cov_ge_20,3213,3213,2702,511,0,0.840958605664488,0.15904139433551198,0.0
2021-09-05,complete_cov_ge_20,3213,3213,2709,504,0,0.8431372549019608,0.1568627450980392,0.0
2021-09-12,complete_cov_ge_20,3213,3213,2717,496,0,0.8456271397447868,0.15437286025521318,0.0
2021-09-19,complete_cov_ge_20,3213,3213,2729,484,0,0.8493619670090259,0.15063803299097417,0.0
2021-09-26,complete_cov_ge_20,3213,3213,2807,406,0,0.8736383442265795,0.12636165577342048,0.0
2021-10-03,complete_cov_ge_20,3213,3213,2815,398,0,0.8761282290694056,0.12387177093059445,0.0
2021-10-10,complete_cov_ge_20,3213,3213,2823,390,0,0.8786181139122315,0.12138188608776844,0.0
2021-10-17,complete_cov_ge_20,3213,3213,2827,386,0,0.8798630563336446,0.12013694366635543,0.0
2021-10-24,complete_cov_ge_20,3213,3213,3081,132,0,0.9589169000933707,0.04108309990662932,0.0
2021-10-31,complete_cov_ge_20,3213,3213,3084,129,0,0.9598506069094305,0.040149393090569564,0.0
2021-11-07,complete_cov_ge_20,3213,3213,3091,122,0,0.9620292561469032,0.037970743853096796,0.0
2021-11-14,complete_cov_ge_20,3213,3213,3092,121,0,0.9623404917522564,0.03765950824774354,0.0
2021-11-21,complete_cov_ge_20,3213,3213,3096,117,0,0.9635854341736695,0.036414565826330535,0.0
2021-11-28,complete_cov_ge_20,3213,3213,3098,115,0,0.964207905384376,0.03579209461562403,0.0
2021-12-05,complete_cov_ge_20,3213,3213,3115,98,0,0.9694989106753813,0.030501089324618737,0.0
2021-12-12,complete_cov_ge_20,3213,3213,3130,83,0,0.9741674447556801,0.02583255524431995,0.0
2021-12-19,complete_cov_ge_20,3213,3213,3119,94,0,0.9707438530967942,0.029256146903205726,0.0
2021-12-26,complete_cov_ge_20,3213,3213,3120,93,0,0.9710550887021475,0.028944911297852476,0.0
2022-01-02,complete_cov_ge_20,3213,3213,3127,86,0,0.9732337379396203,0.026766262060379707,0.0
2022-01-09,complete_cov_ge_20,3213,3213,3129,84,0,0.9738562091503268,0.026143790849673203,0.0
2022-01-16,complete_cov_ge_20,3213,3213,3131,82,0,0.9744786803610334,0.025521319638966696,0.0
2022-01-23,complete_cov_ge_20,3213,3213,3181,32,0,0.9900404606286959,0.009959539371304078,0.0
2022-01-30,complete_cov_ge_20,3213,3213,3183,30,0,0.9906629318394025,0.009337068160597572,0.0
2022-02-06,complete_cov_ge_20,3213,3213,3183,30,0,0.9906629318394025,0.009337068160597572,0.0
2022-02-13,complete_cov_ge_20,3213,3213,3183,30,0,0.9906629318394025,0.009337068160597572,0.0
2022-02-20,complete_cov_ge_20,3213,3213,3183,30,0,0.9906629318394025,0.009337068160597572,0.0
2022-02-27,complete_cov_ge_20,3213,3213,3183,30,0,0.9906629318394025,0.009337068160597572,0.0
2022-03-06,complete_cov_ge_20,3213,3213,3183,30,0,0.9906629318394025,0.009337068160597572,0.0
2022-03-13,complete_cov_ge_20,3213,3213,3183,30,0,0.9906629318394025,0.009337068160597572,0.0
2022-03-20,complete_cov_ge_20,3213,3208,3200,8,5,0.9975062344139651,0.0024937655860349127,0.001556178026766262
2022-03-27,complete_cov_ge_20,3213,3210,3202,8,3,0.9975077881619938,0.0024922118380062306,0.0009337068160597573
2022-04-03,complete_cov_ge_20,3213,3210,3202,8,3,0.9975077881619938,0.0024922118380062306,0.0009337068160597573
2022-04-10,complete_cov_ge_20,3213,3210,3202,8,3,0.9975077881619938,0.0024922118380062306,0.0009337068160597573
2022-04-17,complete_cov_ge_20,3213,3210,3202,8,3,0.9975077881619938,0.0024922118380062306,0.0009337068160597573
2022-04-24,complete_cov_ge_20,3213,3210,3202,8,3,0.9975077881619938,0.0024922118380062306,0.0009337068160597573
2022-05-01,complete_cov_ge_20,3213,3210,3202,8,3,0.9975077881619938,0.0024922118380062306,0.0009337068160597573
2022-05-08,complete_cov_ge_20,3213,3210,3202,8,3,0.9975077881619938,0.0024922118380062306,0.0009337068160597573
2022-05-15,complete_cov_ge_20,3213,3210,3202,8,3,0.9975077881619938,0.0024922118380062306,0.0009337068160597573
2020-01-26,complete_cov_ge_30,3213,3213,0,3213,0,0.0,1.0,0.0
2020-02-02,complete_cov_ge_30,3213,3213,0,3213,0,0.0,1.0,0.0
2020-02-09,complete_cov_ge_30,3213,3213,0,3213,0,0.0,1.0,0.0
2020-02-16,complete_cov_ge_30,3213,3213,0,3213,0,0.0,1.0,0.0
2020-02-23,complete_cov_ge_30,3213,3213,0,3213,0,0.0,1.0,0.0
2020-03-01,complete_cov_ge_30,3213,3213,0,3213,0,0.0,1.0,0.0
2020-03-08,complete_cov_ge_30,3213,3213,0,3213,0,0.0,1.0,0.0
2020-03-15,complete_cov_ge_30,3213,3213,0,3213,0,0.0,1.0,0.0
2020-03-22,complete_cov_ge_30,3213,3213,0,3213,0,0.0,1.0,0.0
2020-03-29,complete_cov_ge_30,3213,3213,0,3213,0,0.0,1.0,0.0
2020-04-05,complete_cov_ge_30,3213,3213,0,3213,0,0.0,1.0,0.0
2020-04-12,complete_cov_ge_30,3213,3213,0,3213,0,0.0,1.0,0.0
2020-04-19,complete_cov_ge_30,3213,3213,0,3213,0,0.0,1.0,0.0
2020-04-26,complete_cov_ge_30,3213,3213,0,3213,0,0.0,1.0,0.0
2020-05-03,complete_cov_ge_30,3213,3213,0,3213,0,0.0,1.0,0.0
2020-05-10,complete_cov_ge_30,3213,3213,0,3213,0,0.0,1.0,0.0
2020-05-17,complete_cov_ge_30,3213,3213,0,3213,0,0.0,1.0,0.0
2020-05-24,complete_cov_ge_30,3213,3213,0,3213,0,0.0,1.0,0.0
2020-05-31,complete_cov_ge_30,3213,3213,0,3213,0,0.0,1.0,0.0
2020-06-07,complete_cov_ge_30,3213,3213,0,3213,0,0.0,1.0,0.0
2020-06-14,complete_cov_ge_30,3213,3213,0,3213,0,0.0,1.0,0.0
2020-06-21,complete_cov_ge_30,3213,3213,0,3213,0,0.0,1.0,0.0
2020-06-28,complete_cov_ge_30,3213,3213,0,3213,0,0.0,1.0,0.0
2020-07-05,complete_cov_ge_30,3213,3213,0,3213,0,0.0,1.0,0.0
2020-07-12,complete_cov_ge_30,3213,3213,0,3213,0,0.0,1.0,0.0
2020-07-19,complete_cov_ge_30,3213,3213,0,3213,0,0.0,1.0,0.0
2020-07-26,complete_cov_ge_30,3213,3213,0,3213,0,0.0,1.0,0.0
2020-08-02,complete_cov_ge_30,3213,3213,0,3213,0,0.0,1.0,0.0
2020-08-09,complete_cov_ge_30,3213,3213,0,3213,0,0.0,1.0,0.0
2020-08-16,complete_cov_ge_30,3213,3213,0,3213,0,0.0,1.0,0.0
2020-08-23,complete_cov_ge_30,3213,3213,0,3213,0,0.0,1.0,0.0
2020-08-30,complete_cov_ge_30,3213,3213,0,3213,0,0.0,1.0,0.0
2020-09-06,complete_cov_ge_30,3213,3213,0,3213,0,0.0,1.0,0.0
2020-09-13,complete_cov_ge_30,3213,3213,0,3213,0,0.0,1.0,0.0
2020-09-20,complete_cov_ge_30,3213,3213,0,3213,0,0.0,1.0,0.0
2020-09-27,complete_cov_ge_30,3213,3213,0,3213,0,0.0,1.0,0.0
2020-10-04,complete_cov_ge_30,3213,3213,0,3213,0,0.0,1.0,0.0
2020-10-11,complete_cov_ge_30,3213,3213,0,3213,0,0.0,1.0,0.0
2020-10-18,complete_cov_ge_30,3213,3213,0,3213,0,0.0,1.0,0.0
2020-10-25,complete_cov_ge_30,3213,3213,0,3213,0,0.0,1.0,0.0
2020-11-01,complete_cov_ge_30,3213,3213,0,3213,0,0.0,1.0,0.0
2020-11-08,complete_cov_ge_30,3213,3213,0,3213,0,0.0,1.0,0.0
2020-11-15,complete_cov_ge_30,3213,3213,0,3213,0,0.0,1.0,0.0
2020-11-22,complete_cov_ge_30,3213,3213,0,3213,0,0.0,1.0,0.0
2020-11-29,complete_cov_ge_30,3213,3213,0,3213,0,0.0,1.0,0.0
2020-12-06,complete_cov_ge_30,3213,3213,0,3213,0,0.0,1.0,0.0
2020-12-13,complete_cov_ge_30,3213,3213,0,3213,0,0.0,1.0,0.0
2020-12-20,complete_cov_ge_30,3213,3213,0,3213,0,0.0,1.0,0.0
2020-12-27,complete_cov_ge_30,3213,3213,0,3213,0,0.0,1.0,0.0
2021-01-03,complete_cov_ge_30,3213,3213,0,3213,0,0.0,1.0,0.0
2021-01-10,complete_cov_ge_30,3213,3213,0,3213,0,0.0,1.0,0.0
2021-01-17,complete_cov_ge_30,3213,3213,0,3213,0,0.0,1.0,0.0
2021-01-24,complete_cov_ge_30,3213,3213,0,3213,0,0.0,1.0,0.0
2021-01-31,complete_cov_ge_30,3213,3213,0,3213,0,0.0,1.0,0.0
2021-02-07,complete_cov_ge_30,3213,3213,1,3212,0,0.0003112356053532524,0.9996887643946467,0.0
2021-02-14,complete_cov_ge_30,3213,3213,2,3211,0,0.0006224712107065049,0.9993775287892935,0.0
2021-02-21,complete_cov_ge_30,3213,3213,3,3210,0,0.0009337068160597573,0.9990662931839402,0.0
2021-02-28,complete_cov_ge_30,3213,3213,5,3208,0,0.001556178026766262,0.9984438219732338,0.0
2021-03-07,complete_cov_ge_30,3213,3213,10,3203,0,0.003112356053532524,0.9968876439464674,0.0
2021-03-14,complete_cov_ge_30,3213,3213,20,3193,0,0.006224712107065048,0.9937752878929349,0.0
2021-03-21,complete_cov_ge_30,3213,3213,25,3188,0,0.00778089013383131,0.9922191098661687,0.0
2021-03-28,complete_cov_ge_30,3213,3213,39,3174,0,0.012138188608776844,0.9878618113912232,0.0
2021-04-04,complete_cov_ge_30,3213,3213,77,3136,0,0.023965141612200435,0.9760348583877996,0.0
2021-04-11,complete_cov_ge_30,3213,3213,198,3015,0,0.06162464985994398,0.938375350140056,0.0
2021-04-18,complete_cov_ge_30,3213,3213,392,2821,0,0.12200435729847495,0.8779956427015251,0.0
2021-04-25,complete_cov_ge_30,3213,3213,664,2549,0,0.2066604419545596,0.7933395580454404,0.0
2021-05-02,complete_cov_ge_30,3213,3213,935,2278,0,0.291005291005291,0.708994708994709,0.0
2021-05-09,complete_cov_ge_30,3213,3213,1159,2054,0,0.3607220666044195,0.6392779333955805,0.0
2021-05-16,complete_cov_ge_30,3213,3213,1354,1859,0,0.42141300964830375,0.5785869903516963,0.0
2021-05-23,complete_cov_ge_30,3213,3213,1487,1726,0,0.4628073451602863,0.5371926548397137,0.0
2021-05-30,complete_cov_ge_30,3213,3213,1577,1636,0,0.49081854964207905,0.509181450357921,0.0
2021-06-06,complete_cov_ge_30,3213,3213,1649,1564,0,0.5132275132275133,0.48677248677248675,0.0
2021-06-13,complete_cov_ge_30,3213,3213,1723,1490,0,0.5362589480236539,0.4637410519763461,0.0
