experiment_name,source_type,variant_name,intervention_source,intervention_name
confounding_strong_1,fit,treatment_split_rank_1_uv_1_e2,saved_intervention,all_intervention
confounding_strong_1,fit,treatment_shared_unit_rank_3_uv_1_e1,saved_intervention,all_intervention
confounding_strong_1,fit,treatment_split_rank_1_uv_1_e2,saved_intervention,no_intervention
confounding_strong_1,fit,treatment_shared_unit_rank_3_uv_1_e1,saved_intervention,no_intervention
confounding_strong_2,fit,treatment_split_rank_1_uv_1_e2,saved_intervention,all_intervention
confounding_strong_2,fit,treatment_shared_unit_rank_3_uv_1_e1,saved_intervention,all_intervention
confounding_strong_2,fit,treatment_split_rank_1_uv_1_e2,saved_intervention,no_intervention
confounding_strong_2,fit,treatment_shared_unit_rank_3_uv_1_e1,saved_intervention,no_intervention
confounding_strong_3,fit,treatment_split_rank_1_uv_1_e2,saved_intervention,all_intervention
confounding_strong_3,fit,treatment_shared_unit_rank_3_uv_1_e1,saved_intervention,all_intervention
confounding_strong_3,fit,treatment_split_rank_1_uv_1_e2,saved_intervention,no_intervention
confounding_strong_3,fit,treatment_shared_unit_rank_3_uv_1_e1,saved_intervention,no_intervention
confounding_strong_4,fit,treatment_split_rank_1_uv_1_e2,saved_intervention,all_intervention
confounding_strong_4,fit,treatment_shared_unit_rank_3_uv_1_e1,saved_intervention,all_intervention
confounding_strong_4,fit,treatment_split_rank_1_uv_1_e2,saved_intervention,no_intervention
confounding_strong_4,fit,treatment_shared_unit_rank_3_uv_1_e1,saved_intervention,no_intervention
confounding_strong_5,fit,treatment_split_rank_1_uv_1_e2,saved_intervention,all_intervention
confounding_strong_5,fit,treatment_shared_unit_rank_3_uv_1_e1,saved_intervention,all_intervention
confounding_strong_5,fit,treatment_split_rank_1_uv_1_e2,saved_intervention,no_intervention
confounding_strong_5,fit,treatment_shared_unit_rank_3_uv_1_e1,saved_intervention,no_intervention
confounding_strong_6,fit,treatment_split_rank_1_uv_1_e2,saved_intervention,all_intervention
confounding_strong_6,fit,treatment_shared_unit_rank_3_uv_1_e1,saved_intervention,all_intervention
confounding_strong_6,fit,treatment_split_rank_1_uv_1_e2,saved_intervention,no_intervention
confounding_strong_6,fit,treatment_shared_unit_rank_3_uv_1_e1,saved_intervention,no_intervention
confounding_strong_7,fit,treatment_split_rank_1_uv_1_e2,saved_intervention,all_intervention
confounding_strong_7,fit,treatment_shared_unit_rank_3_uv_1_e1,saved_intervention,all_intervention
confounding_strong_7,fit,treatment_split_rank_1_uv_1_e2,saved_intervention,no_intervention
confounding_strong_7,fit,treatment_shared_unit_rank_3_uv_1_e1,saved_intervention,no_intervention
confounding_strong_8,fit,treatment_split_rank_1_uv_1_e2,saved_intervention,all_intervention
confounding_strong_8,fit,treatment_shared_unit_rank_3_uv_1_e1,saved_intervention,all_intervention
confounding_strong_8,fit,treatment_split_rank_1_uv_1_e2,saved_intervention,no_intervention
confounding_strong_8,fit,treatment_shared_unit_rank_3_uv_1_e1,saved_intervention,no_intervention
confounding_strong_9,fit,treatment_split_rank_1_uv_1_e2,saved_intervention,all_intervention
confounding_strong_9,fit,treatment_shared_unit_rank_3_uv_1_e1,saved_intervention,all_intervention
confounding_strong_9,fit,treatment_split_rank_1_uv_1_e2,saved_intervention,no_intervention
confounding_strong_9,fit,treatment_shared_unit_rank_3_uv_1_e1,saved_intervention,no_intervention
confounding_strong_10,fit,treatment_split_rank_1_uv_1_e2,saved_intervention,all_intervention
confounding_strong_10,fit,treatment_shared_unit_rank_3_uv_1_e1,saved_intervention,all_intervention
confounding_strong_10,fit,treatment_split_rank_1_uv_1_e2,saved_intervention,no_intervention
confounding_strong_10,fit,treatment_shared_unit_rank_3_uv_1_e1,saved_intervention,no_intervention
