experiment_name,experiment_slug,descriptor,experiment_path,intervention_source,graph_source,N,T,s,has_truth,field_mode,latent_rank
synthetic_base,synthetic_base,synthetic_base,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticHybridExperiments/synthetic_base,generated,generated,1000,100,0,True,random_low_rank,0
synthetic_latent_rank_2,synthetic_latent_rank_2,synthetic_latent_rank_2,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticHybridExperiments/synthetic_latent_rank_2,generated,generated,1000,100,0,True,random_low_rank,2
synthetic_latent_rank_10,synthetic_latent_rank_10,synthetic_latent_rank_10,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticHybridExperiments/synthetic_latent_rank_10,generated,generated,1000,100,0,True,random_low_rank,10
synthetic_node_bias_drift,synthetic_node_bias_drift,synthetic_node_bias_drift,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticHybridExperiments/synthetic_node_bias_drift,generated,generated,1000,100,0,True,random_low_rank,0
hybrid_us_county_intervention_uscounty_graph_base,hybrid_us_county_intervention_uscounty_graph_base,hybrid_us_county_intervention_uscounty_graph_base,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticHybridExperiments/hybrid_us_county_intervention_uscounty_graph_base,fixed_artifact,fixed_artifact,3009,120,55,True,random_low_rank,0
hybrid_us_county_intervention_uscounty_graph_rank_20,hybrid_us_county_intervention_uscounty_graph_rank_20,hybrid_us_county_intervention_uscounty_graph_rank_20,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticHybridExperiments/hybrid_us_county_intervention_uscounty_graph_rank_20,fixed_artifact,fixed_artifact,3009,120,55,True,random_low_rank,20
hybrid_us_county_intervention_uscounty_graph_node_bias_drift,hybrid_us_county_intervention_uscounty_graph_node_bias_drift,hybrid_us_county_intervention_uscounty_graph_node_bias_drift,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticHybridExperiments/hybrid_us_county_intervention_uscounty_graph_node_bias_drift,fixed_artifact,fixed_artifact,3009,120,55,True,node_bias_plus_smooth_time_drift,2
