matrix_code,matrix_display_name,view_code,view_label,component_rank,singular_value,energy_share,cumulative_energy_share,next_singular_ratio
continuous_death,Continuous death-rate matrix,raw,Raw,1,1680.638007485245,0.31505943745228265,0.31505943745228265,1.9480678002435319
continuous_death,Continuous death-rate matrix,raw,Raw,2,862.7204901570392,0.08302031127494536,0.398079748727228,1.104197756614864
continuous_death,Continuous death-rate matrix,raw,Raw,3,781.3097653828595,0.06809114488550505,0.46617089361273306,1.0692245890619347
continuous_death,Continuous death-rate matrix,raw,Raw,4,730.7255869118459,0.05955973558672228,0.5257306291994553,1.0810528146941012
continuous_death,Continuous death-rate matrix,raw,Raw,5,675.9388412661548,0.050963463749577,0.5766940929490323,1.0157916227752954
continuous_death,Continuous death-rate matrix,raw,Raw,6,665.4306120574103,0.04939121202148251,0.6260853049705148,1.0677677759953306
continuous_death,Continuous death-rate matrix,raw,Raw,7,623.1978778692046,0.0433207596036908,0.6694060645742056,1.1172324758152987
continuous_death,Continuous death-rate matrix,raw,Raw,8,557.8050149450112,0.03470635146309741,0.704112416037303,1.0272022855096734
continuous_death,Continuous death-rate matrix,raw,Raw,9,543.0332689225293,0.03289250931994631,0.7370049253572494,1.0332896387315347
continuous_death,Continuous death-rate matrix,raw,Raw,10,525.5382891375514,0.030807244641154766,0.7678121699984042,1.0860742851319911
continuous_death,Continuous death-rate matrix,raw,Raw,11,483.88797739896995,0.026117631811097063,0.7939298018095012,1.0948307816663922
continuous_death,Continuous death-rate matrix,raw,Raw,12,441.9751303141715,0.021789125313335364,0.8157189271228366,1.0385001575770891
continuous_death,Continuous death-rate matrix,raw,Raw,13,425.5898538767079,0.0202035023765841,0.8359224294994206,1.0911367455237437
continuous_death,Continuous death-rate matrix,raw,Raw,14,390.042637297881,0.01696947084768912,0.8528919003471097,1.1186871527536848
continuous_death,Continuous death-rate matrix,raw,Raw,15,348.66104999756044,0.013559728655940741,0.8664516290030505,1.0185111085452958
continuous_death,Continuous death-rate matrix,raw,Raw,16,342.3242486726934,0.013071320362296043,0.8795229493653466,1.0202846828712335
continuous_death,Continuous death-rate matrix,raw,Raw,17,335.51836504037465,0.012556734892795931,0.8920796842581425,1.0487294066421216
continuous_death,Continuous death-rate matrix,raw,Raw,18,319.928441898712,0.011416943015255225,0.9034966272733977,1.0434095237869918
continuous_death,Continuous death-rate matrix,raw,Raw,19,306.6182880309076,0.010486733719442759,0.9139833609928405,1.04382048110566
continuous_death,Continuous death-rate matrix,raw,Raw,20,293.74618871831694,0.009624731268400754,0.9236080922612413,1.0730554525635394
continuous_death,Continuous death-rate matrix,raw,Raw,21,273.74744521968046,0.008358806678769369,0.9319668989400106,1.082304029866241
continuous_death,Continuous death-rate matrix,raw,Raw,22,252.93026512477476,0.007135850290973901,0.9391027492309845,1.0078724557188135
continuous_death,Continuous death-rate matrix,raw,Raw,23,250.9546358664849,0.007024809914482577,0.9461275591454671,1.0550645770610694
continuous_death,Continuous death-rate matrix,raw,Raw,24,237.85713341408024,0.006310684853799746,0.9524382439992668,1.0345339291926248
continuous_death,Continuous death-rate matrix,raw,Raw,25,229.91718947266398,0.005896401058230991,0.9583346450574978,1.046434438036971
continuous_death,Continuous death-rate matrix,raw,Raw,26,219.71485371216434,0.00538471804748231,0.9637193631049801,1.0923983339435868
continuous_death,Continuous death-rate matrix,raw,Raw,27,201.13071110149713,0.004512330584723429,0.9682316936897035,1.075021715881857
continuous_death,Continuous death-rate matrix,raw,Raw,28,187.0945564448496,0.0039045090619262484,0.9721362027516298,1.0060658274938012
continuous_death,Continuous death-rate matrix,raw,Raw,29,185.9665156413459,0.003857568436179164,0.975993771187809,1.022710653175298
continuous_death,Continuous death-rate matrix,raw,Raw,30,181.83688129576004,0.003688145787644377,0.9796819169754534,1.068775170777125
continuous_death,Continuous death-rate matrix,raw,Raw,31,170.1357650024217,0.003228757053424592,0.982910674028878,1.0460139499478205
continuous_death,Continuous death-rate matrix,raw,Raw,32,162.65152583376997,0.0029509402428106136,0.9858616142716886,1.0294641697721687
continuous_death,Continuous death-rate matrix,raw,Raw,33,157.99629614090063,0.0027844405103103916,0.988646054781999,1.0281257349982675
continuous_death,Continuous death-rate matrix,raw,Raw,34,153.67409915205252,0.0026341802143980074,0.991280234996397,1.0391266422370793
continuous_death,Continuous death-rate matrix,raw,Raw,35,147.88774813935663,0.002439543259280311,0.9937197782556773,1.05929239257428
continuous_death,Continuous death-rate matrix,raw,Raw,36,139.60994072652738,0.0021740864882100783,0.9958938647438873,1.1021443323420406
continuous_death,Continuous death-rate matrix,raw,Raw,37,126.67119598560953,0.0017897809184051307,0.9976836456622924,1.0828863817204828
continuous_death,Continuous death-rate matrix,raw,Raw,38,116.97551850671088,0.0015262795642378515,0.9992099252265303,1.4714787145760444
continuous_death,Continuous death-rate matrix,raw,Raw,39,79.49521617131467,0.0007048977443460116,0.9999148229708763,2.937335969047911
continuous_death,Continuous death-rate matrix,raw,Raw,40,27.063712496286808,8.16994012859325e-05,0.9999965223721622,5.053266633269022
continuous_death,Continuous death-rate matrix,raw,Raw,41,5.355686620236572,3.199443502334437e-06,0.9999997218156645,3.401029005260097
continuous_death,Continuous death-rate matrix,raw,Raw,42,1.5747253586939023,2.766010178995545e-07,0.9999999984166824,13.217304245004483
continuous_death,Continuous death-rate matrix,raw,Raw,43,0.1191411901779498,1.5833174564266758e-09,0.9999999999999999,119141190177.9498
continuous_death,Continuous death-rate matrix,raw,Raw,44,1.454106131370374e-13,2.358502510693389e-33,0.9999999999999999,0.1454106131370374
