experiment_name,experiment_group,outcome_code,outcome_label,outcome_definition,intervention_definition,network_code,network_label,interaction_matrix_label,beta,eta,field::black_share,field::family_household_share,field::female_household_share,field::hispanic_share,field::male_1521_share,field::renter_share,field::total_pop,field::vacant_share,interaction::centroid_distance_kernel_16,interaction::centroid_distance_kernel_8,interaction::contiguity,interaction::knn_16,interaction::knn_8,psi,tau::t_0,tau::t_1,tau::t_10,tau::t_11,tau::t_12,tau::t_13,tau::t_14,tau::t_2,tau::t_3,tau::t_4,tau::t_5,tau::t_6,tau::t_7,tau::t_8,tau::t_9,zeta,final_loss
any_crime_gt_block_mean_pm1__centroid_distance_kernel_16,zero_basis,any_crime_gt_block_mean_pm1,Any-crime indicator: above the block-specific mean total crime vs at or below the block-specific mean,+1 means total crime is above that exact block's own time-average total crime; -1 means at or below the block-specific mean.,z = +1 means the block is under intervention in that quarter; z = -1 means no intervention in that quarter.,centroid_distance_kernel_16,Centroid-distance kernel with 16-nearest-neighbor support,Centroid-distance-kernel interaction matrix (16-neighbor support),-0.025185237445707085,0.08456489227799605,,,,,,,,,0.5967979356773417,,,,,3.449137313618535,-0.289621987914108,-0.19012755265023595,-0.165969305106905,-0.18062257285156902,-0.15854770337005966,-0.14827709752523097,-0.3123854831909955,-0.21102593191374164,-0.2971384964662895,-0.2761252835097992,-0.24220658384317992,-0.2300187589863206,-0.2709443522051682,-0.22293765240373492,-0.1463093097629091,0.2268983502310715,0.504200277113759
any_crime_gt_block_mean_pm1__centroid_distance_kernel_8,zero_basis,any_crime_gt_block_mean_pm1,Any-crime indicator: above the block-specific mean total crime vs at or below the block-specific mean,+1 means total crime is above that exact block's own time-average total crime; -1 means at or below the block-specific mean.,z = +1 means the block is under intervention in that quarter; z = -1 means no intervention in that quarter.,centroid_distance_kernel_8,Centroid-distance kernel with 8-nearest-neighbor support,Centroid-distance-kernel interaction matrix (8-neighbor support),-0.037221135267761274,0.08561640425436927,,,,,,,,,,0.4921341331673388,,,,3.449931956164638,-0.33529425460690954,-0.22598415270292796,-0.19649846847045258,-0.2126442256080036,-0.18833364517674597,-0.17622901348271663,-0.3600117701804669,-0.24841912646424155,-0.3439203142058095,-0.3210636023219456,-0.28401972146155025,-0.270131754089864,-0.3147029182963741,-0.262055981414365,-0.17629613998845098,0.2262311065579906,0.5046467941338464
any_crime_gt_block_mean_pm1__contiguity,zero_basis,any_crime_gt_block_mean_pm1,Any-crime indicator: above the block-specific mean total crime vs at or below the block-specific mean,+1 means total crime is above that exact block's own time-average total crime; -1 means at or below the block-specific mean.,z = +1 means the block is under intervention in that quarter; z = -1 means no intervention in that quarter.,contiguity,Geographic contiguity network,Contiguity interaction matrix,-0.05371438697519814,0.0887132444789612,,,,,,,,,,,0.9446484805960986,,,3.4496863941649014,-0.3798122155367154,-0.26370809720910093,-0.2319960122871662,-0.24701469662271122,-0.22304574509784447,-0.21029365983029433,-0.4054134458286276,-0.2890258150090694,-0.3902948129317916,-0.3655724493969442,-0.3258045763665397,-0.3117876927723803,-0.35814705571220595,-0.30389167488699814,-0.2110568030770946,0.22678010724611533,0.5058413579133232
any_crime_gt_block_mean_pm1__knn_16,zero_basis,any_crime_gt_block_mean_pm1,Any-crime indicator: above the block-specific mean total crime vs at or below the block-specific mean,+1 means total crime is above that exact block's own time-average total crime; -1 means at or below the block-specific mean.,z = +1 means the block is under intervention in that quarter; z = -1 means no intervention in that quarter.,knn_16,16-nearest-neighbor centroid graph,16-nearest-neighbor interaction matrix,-0.037230912122854475,0.08417414112298674,,,,,,,,,,,,0.5908801883194131,,3.450075335434235,-0.28643736318693586,-0.19166502145883252,-0.16852994480977512,-0.18133730408017554,-0.16098755322662298,-0.15100068257174723,-0.30877643615848266,-0.21353298051758343,-0.29540031627529795,-0.2740553054178561,-0.24132793380341397,-0.23069898331397207,-0.26845421492161187,-0.22377212290457224,-0.15024045330507338,0.22763305535623934,0.5040638167015244
any_crime_gt_block_mean_pm1__knn_8,zero_basis,any_crime_gt_block_mean_pm1,Any-crime indicator: above the block-specific mean total crime vs at or below the block-specific mean,+1 means total crime is above that exact block's own time-average total crime; -1 means at or below the block-specific mean.,z = +1 means the block is under intervention in that quarter; z = -1 means no intervention in that quarter.,knn_8,8-nearest-neighbor centroid graph,8-nearest-neighbor interaction matrix,-0.048037057179271675,0.08558061121840443,,,,,,,,,,,,,0.405335608169687,3.4497264434053942,-0.3374197132781782,-0.23113494966975037,-0.2019896383955971,-0.21689248887072965,-0.19389814476807496,-0.18192356730904685,-0.36208874368165384,-0.2542467363678556,-0.347344676380574,-0.32376335207348644,-0.2880283774176776,-0.27489072889969457,-0.3172665453561491,-0.2667684195582843,-0.18296086694817074,0.22764265240736617,0.5045940584922011
any_crime_gt_district_mean_pm1__centroid_distance_kernel_16,zero_basis,any_crime_gt_district_mean_pm1,Any-crime indicator: above district-average total crime vs at or below district average,+1 means total crime is above the neighborhood-district mean; -1 means at or below the district mean.,z = +1 means the block is under intervention in that quarter; z = -1 means no intervention in that quarter.,centroid_distance_kernel_16,Centroid-distance kernel with 16-nearest-neighbor support,Centroid-distance-kernel interaction matrix (16-neighbor support),-0.011800430972972389,0.3859049578297269,,,,,,,,,1.3315988557518013,,,,,3.4132959359254342,-0.12650794669546356,-0.03917516321192818,-0.08343129818355267,-0.08257977049633085,-0.05671561266858637,-0.049841388497435885,-0.18312190429951045,-0.08110859374949793,-0.13910487763183618,-0.09637492527560101,-0.0790330465609857,-0.08184969639601612,-0.1068515098634073,-0.07433285016972926,-0.04416339170026213,0.1366248670903247,0.39416188110175593
any_crime_gt_district_mean_pm1__centroid_distance_kernel_8,zero_basis,any_crime_gt_district_mean_pm1,Any-crime indicator: above district-average total crime vs at or below district average,+1 means total crime is above the neighborhood-district mean; -1 means at or below the district mean.,z = +1 means the block is under intervention in that quarter; z = -1 means no intervention in that quarter.,centroid_distance_kernel_8,Centroid-distance kernel with 8-nearest-neighbor support,Centroid-distance-kernel interaction matrix (8-neighbor support),-0.03596703172763509,0.3913280728767562,,,,,,,,,,1.2608395480073429,,,,3.413190893402136,-0.20651778459116973,-0.11076909500361645,-0.1506105004815217,-0.14968204208879926,-0.12337883386295635,-0.11357517367990085,-0.2666772163654015,-0.15457950792653852,-0.2222762925212126,-0.17648988569585725,-0.1552930985869876,-0.15731028428808225,-0.18431773842218516,-0.14852693814016904,-0.10955178484437345,0.13614592023250313,0.3956007985927779
any_crime_gt_district_mean_pm1__contiguity,zero_basis,any_crime_gt_district_mean_pm1,Any-crime indicator: above district-average total crime vs at or below district average,+1 means total crime is above the neighborhood-district mean; -1 means at or below the district mean.,z = +1 means the block is under intervention in that quarter; z = -1 means no intervention in that quarter.,contiguity,Geographic contiguity network,Contiguity interaction matrix,-0.08900597249952567,0.41274785022372484,,,,,,,,,,,2.5430936487674325,,,3.4136034298963684,-0.34362978486068924,-0.24338304790994145,-0.277687866054158,-0.2731017987744285,-0.2504170132474567,-0.23531303149782215,-0.40739574265298545,-0.2888972994881363,-0.3634498246847124,-0.3149294558081343,-0.28836821613156105,-0.29262696767447605,-0.31885564690654994,-0.28279027861357564,-0.2320737800742121,0.13523744566428766,0.40165649258612707
any_crime_gt_district_mean_pm1__knn_16,zero_basis,any_crime_gt_district_mean_pm1,Any-crime indicator: above district-average total crime vs at or below district average,+1 means total crime is above the neighborhood-district mean; -1 means at or below the district mean.,z = +1 means the block is under intervention in that quarter; z = -1 means no intervention in that quarter.,knn_16,16-nearest-neighbor centroid graph,16-nearest-neighbor interaction matrix,-0.054185715158074944,0.38885049904179275,,,,,,,,,,,,1.247771905951483,,3.4130192347374155,-0.1486941959145785,-0.06660713746601298,-0.10944744736035282,-0.10689199969262637,-0.08261918422903389,-0.0764200855261942,-0.20376066600662987,-0.10947416680014482,-0.16268487968327566,-0.12018215421525583,-0.10299131066236179,-0.10903013552217833,-0.1297710289301527,-0.10017527871479685,-0.06985933620604254,0.13588827378342763,0.39493924384118473
any_crime_gt_district_mean_pm1__knn_8,zero_basis,any_crime_gt_district_mean_pm1,Any-crime indicator: above district-average total crime vs at or below district average,+1 means total crime is above the neighborhood-district mean; -1 means at or below the district mean.,z = +1 means the block is under intervention in that quarter; z = -1 means no intervention in that quarter.,knn_8,8-nearest-neighbor centroid graph,8-nearest-neighbor interaction matrix,-0.07099266193249322,0.39252679363857507,,,,,,,,,,,,,1.0020295522310556,3.411793659247417,-0.2274112514164506,-0.137165890664074,-0.1751661944142331,-0.17281365929995168,-0.14784493542438445,-0.1390159721099907,-0.2871211553095932,-0.18153792006932476,-0.24474667673670766,-0.1991458281035891,-0.17899567774724565,-0.1835006769007057,-0.20626092133552676,-0.17355701190147899,-0.13437141755244572,0.1356929151420883,0.3959649324202315
