time_index,observed_value,sample_mean,sample_std,abs_error,squared_error,q025,q500,q975,in_95_interval,num_finite_samples
0,-1.0,-0.8379230258792303,0.00819280572320222,0.1620769741207697,0.026268945540144657,-0.8489051094890512,-0.8367617783676178,-0.8240212342402123,False,8
1,-0.9993364299933643,-0.8289648307896483,0.012754317856022167,0.17037159920371592,0.029026481815231615,-0.8411745189117452,-0.8321167883211679,-0.8047279362972793,False,8
2,-0.9900464499004645,-0.8203384207033841,0.017178486951698563,0.1697080291970804,0.02880081517395709,-0.8473291307232913,-0.8205043132050431,-0.7915394824153948,False,8
3,-0.9435965494359655,-0.8078135368281354,0.00466789192547827,0.1357830126078301,0.018437026512858147,-0.8150630391506304,-0.807564698075647,-0.8011612475116124,False,8
4,-0.8102189781021898,-0.7402123424021234,0.012172485950792407,0.07000663570006638,0.0049009290420418085,-0.7599203715992038,-0.7398805573988056,-0.7249668214996683,False,8
5,-0.6980756469807564,-0.6679661579296616,0.012044926652568936,0.030109489051094784,0.0009065813309179967,-0.6837591240875912,-0.6688785666887858,-0.6507631055076311,False,8
6,-0.6456536164565362,-0.6264930325149303,0.017679619294738134,0.019160583941605913,0.0003671279769833264,-0.6527040477770405,-0.6317186463171864,-0.6015759787657597,True,8
7,-0.621765096217651,-0.6170371599203716,0.010120462380763466,0.0047279362972794114,2.235338163113215e-05,-0.6356005308560053,-0.6124751161247511,-0.6067352355673523,True,8
8,-0.6330457863304578,-0.6147146648971467,0.012396233240910026,0.01833112143331117,0.0003360300130028002,-0.6370437956204379,-0.612806901128069,-0.5980590577305905,True,8
9,-0.6164565361645654,-0.6042634372926343,0.010601231787064071,0.012193098871931096,0.00014867166010068737,-0.6150132714001327,-0.6081619110816191,-0.5867783676177837,False,8
10,-0.617120106171201,-0.623921698739217,0.013472064589119181,0.006801592568015935,4.62616614612896e-05,-0.6431652289316523,-0.6267418712674186,-0.6031021897810219,True,8
11,-0.6376907763769077,-0.6272395487723955,0.016381412053361178,0.010451227604512225,0.00010922815844131835,-0.6505142667551427,-0.6323822163238222,-0.6018414067684141,True,8
12,-0.641672196416722,-0.647063702720637,0.006377158928011088,0.005391506303914939,2.9068340225154527e-05,-0.6579130723291307,-0.6443264764432648,-0.6392833443928334,True,8
13,-0.6854678168546782,-0.6636529528865296,0.012083705930607223,0.02181486396814858,0.00047588828994882715,-0.6859986728599867,-0.6575978765759788,-0.6516589250165893,True,8
14,-0.7040477770404777,-0.6850530856005308,0.008657856393935225,0.01899469143994692,0.0003607983028987928,-0.7012110152621102,-0.6831453218314532,-0.6746516257465163,False,8
15,-0.7352355673523556,-0.7086927670869276,0.009786251628236644,0.02654280026542799,0.0007045202459304042,-0.7247013934970139,-0.7070338420703384,-0.6960019907100199,False,8
16,-0.7259455872594559,-0.7144160583941606,0.008220889916147864,0.011529528865295346,0.0001329300358556786,-0.7269243530192435,-0.7146648971466489,-0.7031851360318513,True,8
17,-0.7584605175846052,-0.7231254147312541,0.015461857525553787,0.035335102853351064,0.0012485694936568985,-0.7496184472461844,-0.7196416721964167,-0.7011778367617784,False,8
18,-0.6721964167219642,-0.6544459190444591,0.0263048181656453,0.01775049767750503,0.0003150801677991114,-0.6876741871267419,-0.6645653616456536,-0.6089581950895819,True,8
19,-0.6529528865295289,-0.627156602521566,0.020625282035506048,0.025796284007962855,0.0006654482686194802,-0.6546449900464499,-0.6293961512939614,-0.5941937624419377,True,8
20,-0.5600530856005309,-0.5357498341074983,0.015384014106751154,0.024303251493032585,0.0005906480331335905,-0.5612806901128069,-0.533178500331785,-0.5169542136695421,True,8
21,-0.42800265428002654,-0.39606834771068344,0.0166635281370914,0.031934306569343096,0.0010197999360647895,-0.4163735899137359,-0.3978102189781022,-0.3645321831453218,False,8
22,-0.45786330457863306,-0.4340577305905773,0.016745901056267543,0.023805573988055773,0.0005667053529007976,-0.4572826808228268,-0.4362972793629728,-0.41055076310550764,False,8
23,-0.44990046449900467,-0.3991373589913736,0.0229699720380504,0.05076310550763108,0.0025768928807788846,-0.4358825481088255,-0.39681486396814863,-0.37241207697412076,False,8
24,-0.42203052422030524,-0.4282514930325149,0.023883767637168304,0.006220968812209682,3.870045296248554e-05,-0.4558725945587259,-0.43331121433311215,-0.3878566688785667,True,8
