unit_index,observed_value,sample_mean,sample_std,abs_error,squared_error,q025,q500,q975,in_95_interval,num_finite_samples
0,-0.2,-0.14347826086956522,0.07050989017489936,0.05652173913043479,0.0031947069943289233,-0.24304347826086956,-0.16521739130434782,-0.043478260869565216,True,8
1,-0.23478260869565218,-0.1826086956521739,0.05499613322031964,0.052173913043478265,0.0027221172022684316,-0.24913043478260868,-0.19130434782608696,-0.09565217391304348,True,8
2,-0.09565217391304348,-0.04565217391304348,0.11218318128209277,0.05,0.0025000000000000005,-0.22869565217391305,-0.034782608695652174,0.09260869565217392,True,8
3,-0.043478260869565216,-0.017391304347826087,0.0860825646661884,0.02608695652173913,0.0006805293005671077,-0.13043478260869565,0.0,0.09260869565217392,True,8
4,-0.09565217391304348,-0.1217391304347826,0.0608695652173913,0.02608695652173912,0.0006805293005671071,-0.23695652173913043,-0.10434782608695653,-0.06086956521739131,True,8
5,-0.391304347826087,-0.3326086956521739,0.07219879089311138,0.05869565217391309,0.003445179584120989,-0.471304347826087,-0.33043478260869563,-0.2408695652173913,True,8
6,0.008695652173913044,0.0391304347826087,0.033396285860298296,0.030434782608695657,0.0009262759924385636,-0.0056521739130434775,0.034782608695652174,0.0782608695652174,True,8
7,0.043478260869565216,0.06521739130434782,0.07416835699666079,0.021739130434782608,0.00047258979206049145,-0.07130434782608695,0.06956521739130435,0.16217391304347825,True,8
8,0.21739130434782608,0.1826086956521739,0.052893587219984516,0.03478260869565217,0.0012098298676748577,0.10173913043478261,0.1826086956521739,0.24913043478260868,True,8
9,-0.13043478260869565,-0.041304347826086954,0.07990424325864828,0.0891304347826087,0.007944234404536862,-0.17043478260869566,-0.034782608695652174,0.08347826086956524,True,8
10,0.25217391304347825,0.2434782608695652,0.05768043113661564,0.008695652173913049,7.561436672967873e-05,0.13130434782608696,0.25217391304347825,0.31565217391304345,True,8
11,-0.6347826086956522,-0.5543478260869565,0.05495315069462841,0.08043478260869563,0.006469754253308126,-0.628695652173913,-0.5739130434782609,-0.46695652173913044,False,8
12,-0.06086956521739131,-0.09565217391304348,0.11404240911829566,0.034782608695652174,0.0012098298676748583,-0.2634782608695652,-0.09565217391304348,0.08869565217391306,True,8
13,-0.23478260869565218,-0.24565217391304348,0.11793353034798995,0.010869565217391297,0.00011814744801512271,-0.3882608695652174,-0.25217391304347825,-0.09869565217391305,True,8
14,-0.30434782608695654,-0.30434782608695654,0.08695652173913043,0.0,0.0,-0.45173913043478264,-0.29565217391304344,-0.20304347826086958,True,8
15,-0.16521739130434782,-0.11956521739130435,0.0614491044569677,0.045652173913043465,0.0020841209829867663,-0.19695652173913045,-0.1217391304347826,-0.02608695652173913,True,8
16,-0.09565217391304348,-0.01739130434782609,0.07223151185146152,0.07826086956521738,0.006124763705103968,-0.09565217391304348,-0.017391304347826084,0.11521739130434784,True,8
17,-0.25217391304347825,-0.2543478260869565,0.04118977243803569,0.0021739130434782483,4.72589792060486e-06,-0.30434782608695654,-0.25217391304347825,-0.18869565217391304,True,8
18,-0.391304347826087,-0.3804347826086957,0.057639450363316753,0.010869565217391297,0.00011814744801512271,-0.4691304347826087,-0.3826086956521739,-0.29304347826086957,True,8
19,0.28695652173913044,0.2782608695652174,0.06735623210795509,0.008695652173913049,7.561436672967873e-05,0.15478260869565216,0.2782608695652174,0.3760869565217392,True,8
20,-0.11304347826086956,-0.07608695652173914,0.065325996527464,0.03695652173913043,0.0013657844990548201,-0.16217391304347825,-0.06086956521739131,0.008695652173913044,True,8
21,0.02608695652173913,0.004347826086956523,0.07862235356532664,0.021739130434782608,0.00047258979206049145,-0.11,0.0,0.13260869565217392,True,8
22,0.1826086956521739,0.1891304347826087,0.06843511408129214,0.006521739130434773,4.253308128544411e-05,0.10173913043478261,0.19130434782608696,0.31782608695652176,True,8
23,0.23478260869565218,0.2043478260869565,0.07210053892076956,0.03043478260869567,0.0009262759924385644,0.13043478260869565,0.1826086956521739,0.33,True,8
24,0.043478260869565216,0.032608695652173905,0.0847268489995873,0.010869565217391311,0.00011814744801512301,-0.08652173913043479,0.026086956521739132,0.14173913043478262,True,8
25,0.13043478260869565,0.11521739130434781,0.06296847112156626,0.015217391304347835,0.0002315689981096411,0.01782608695652174,0.11304347826086956,0.21130434782608695,True,8
26,0.1826086956521739,0.1782608695652174,0.10747136603746327,0.004347826086956524,1.8903591682419682e-05,0.0013043478260869566,0.1826086956521739,0.36086956521739133,True,8
27,0.0782608695652174,0.09565217391304348,0.08249419983047945,0.017391304347826084,0.0003024574669187144,-0.019999999999999997,0.09565217391304348,0.22260869565217392,True,8
28,-0.1826086956521739,-0.1869565217391304,0.10389394039433496,0.004347826086956497,1.890359168241944e-05,-0.3526086956521739,-0.16521739130434782,-0.015652173913043452,True,8
29,0.02608695652173913,0.03913043478260869,0.07618006725189232,0.013043478260869563,0.00017013232514177687,-0.08043478260869566,0.034782608695652174,0.16434782608695653,True,8
30,0.043478260869565216,-0.008695652173913045,0.047628048478710105,0.052173913043478265,0.0027221172022684316,-0.0782608695652174,-0.008695652173913044,0.043478260869565216,True,8
31,-0.40869565217391307,-0.41521739130434787,0.09443394186510205,0.0065217391304348005,4.253308128544447e-05,-0.5960869565217392,-0.3826086956521739,-0.2991304347826087,True,8
32,-0.043478260869565216,-0.02391304347826087,0.11517636677347483,0.019565217391304346,0.000382797731568998,-0.20217391304347826,-0.034782608695652174,0.161304347826087,True,8
33,-0.3565217391304348,-0.31956521739130433,0.06415806331901612,0.036956521739130443,0.001365784499054821,-0.4373913043478261,-0.28695652173913044,-0.26956521739130435,True,8
34,-0.23478260869565218,-0.23043478260869565,0.09233374165911,0.004347826086956524,1.8903591682419682e-05,-0.3391304347826087,-0.22608695652173913,-0.07913043478260867,True,8
35,-0.21739130434782608,-0.20869565217391306,0.11304347826086955,0.008695652173913021,7.561436672967825e-05,-0.42217391304347823,-0.1826086956521739,-0.06999999999999999,True,8
36,0.043478260869565216,0.03913043478260869,0.09151115295586604,0.004347826086956524,1.8903591682419682e-05,-0.12347826086956522,0.034782608695652174,0.1591304347826087,True,8
37,-0.26956521739130435,-0.20434782608695654,0.11195124512681508,0.06521739130434781,0.0042533081285444215,-0.38434782608695656,-0.20869565217391306,-0.043478260869565216,True,8
38,0.1826086956521739,0.1217391304347826,0.07378505542816148,0.060869565217391314,0.0037051039697542543,-0.0026086956521739124,0.14782608695652172,0.21130434782608695,True,8
39,0.06086956521739131,0.04782608695652174,0.08553180683872175,0.013043478260869566,0.00017013232514177698,-0.05478260869565217,0.02608695652173913,0.2104347826086957,True,8
40,-0.40869565217391307,-0.38913043478260867,0.03833737410554,0.0195652173913044,0.0003827977315690002,-0.4547826086956522,-0.391304347826087,-0.3391304347826087,True,8
41,0.043478260869565216,0.05652173913043479,0.1001888575808949,0.013043478260869573,0.00017013232514177714,-0.12043478260869565,0.052173913043478265,0.19391304347826088,True,8
