statistic,observed_value,sample_mean,sample_std,abs_error,q025,q500,q975,in_95_interval,num_finite_samples
overall_mean_magnetization,-0.3063904676726003,-0.29545093909581377,0.0013597713307879873,0.010939528576786539,-0.29775136320360057,-0.29528865295288653,-0.29353884769625804,False,8
post_intervention_mean_magnetization,-0.26451942218365576,-0.26230794752692566,0.0016581547628154566,0.002211474656730106,-0.2642195395845031,-0.26288601909039866,-0.2593657802051963,False,8
