statistic,observed_value,sample_mean,sample_std,abs_error,q025,q500,q975,in_95_interval,num_finite_samples
overall_mean_magnetization,-0.3063904676726003,-0.30158391275496954,0.001298843602853004,0.004806554917630768,-0.3040094053835723,-0.3011857707509882,-0.2999019070424973,False,8
post_intervention_mean_magnetization,-0.26451942218365576,-0.261127558572814,0.0012884982552298636,0.003391863610841761,-0.2634452044306059,-0.2608851003011587,-0.259685569904548,False,8
