source_type,source_name,source_slug,run_name,run_slug,treated_intervention_slug,control_intervention_slug,s,gte,gte_post_s
fit,alternating_rank_8_uv_1_e2_beta_mask_xi_zero,fit_alternating_rank_8_uv_1_e2_beta_mask_xi_zero,default,default,all_intervention_from_s,no_intervention,50,-0.42803583278035834,-0.7578684089632994
fit,alternating_rank_8_uv_5_e3_beta_mask,fit_alternating_rank_8_uv_5_e3_beta_mask,default,default,all_intervention_from_s,no_intervention,50,-0.5140114249444621,-0.9095617885763871
fit,base,fit_base,default,default,all_intervention_from_s,no_intervention,50,-0.2519286806497216,-0.4450321576233985
truth,truth,truth,default,default,all_intervention_from_s,no_intervention,50,-0.5180642508871642,-0.9158580470624267
