cohort_label,source_type,source_name,source_slug,statistic_name,num_trials,mean,sample_std,standard_error,q025,q500,q975
hybrid,fit,alternating_rank_8_uv_1_e2_beta_mask_xi_zero,fit_alternating_rank_8_uv_1_e2_beta_mask_xi_zero,beta_estimate,10,-0.3850699514597698,0.08067281427955947,0.025510983837916352,-0.4157949610548459,-0.41109491373277285,-0.21151782675176586
hybrid,fit,alternating_rank_8_uv_1_e2_beta_mask_xi_zero,fit_alternating_rank_8_uv_1_e2_beta_mask_xi_zero,eta_estimate,10,0.3129721984504254,0.004797874291948345,0.0015172210689724432,0.3036991098962822,0.3148378243693854,0.3173049848199495
hybrid,fit,alternating_rank_8_uv_1_e2_beta_mask_xi_zero,fit_alternating_rank_8_uv_1_e2_beta_mask_xi_zero,field_rmse,10,0.3999857962058743,0.061366408973469816,0.019405762418155996,0.35827966898134156,0.3797819429256528,0.5287519248217248
hybrid,fit,alternating_rank_8_uv_1_e2_beta_mask_xi_zero,fit_alternating_rank_8_uv_1_e2_beta_mask_xi_zero,gte,10,-0.39337829260552204,0.07915485501434734,0.02503096297057376,-0.4274280711750959,-0.41672773434119037,-0.2221477489108796
hybrid,fit,alternating_rank_8_uv_1_e2_beta_mask_xi_zero,fit_alternating_rank_8_uv_1_e2_beta_mask_xi_zero,gte_post_s,10,-0.6954593946199785,0.140135253985419,0.044314658308011234,-0.7565858366086468,-0.7364740186820478,-0.39249438517686674
hybrid,fit,alternating_rank_8_uv_1_e2_beta_mask_xi_zero,fit_alternating_rank_8_uv_1_e2_beta_mask_xi_zero,xi_estimate,10,0.0,0.0,0.0,0.0,0.0,0.0
hybrid,fit,alternating_rank_8_uv_5_e3_beta_mask,fit_alternating_rank_8_uv_5_e3_beta_mask,beta_estimate,10,-0.3109175312248286,0.006182386029978391,0.001955042122913774,-0.32147233186779856,-0.30938104056303783,-0.30289386570985766
hybrid,fit,alternating_rank_8_uv_5_e3_beta_mask,fit_alternating_rank_8_uv_5_e3_beta_mask,eta_estimate,10,0.30170057393898453,0.004684287031426951,0.00148130162332979,0.2928749804654131,0.30262579302330017,0.3067578965195071
hybrid,fit,alternating_rank_8_uv_5_e3_beta_mask,fit_alternating_rank_8_uv_5_e3_beta_mask,field_rmse,10,0.48094105800603826,0.0695772638625557,0.022002262716820053,0.3660795971551173,0.4910706950697249,0.573988484053982
hybrid,fit,alternating_rank_8_uv_5_e3_beta_mask,fit_alternating_rank_8_uv_5_e3_beta_mask,gte,10,-0.5021462883355933,0.008114592352142949,0.002566059411655483,-0.5131639667060961,-0.5026759181789331,-0.4882621317907735
hybrid,fit,alternating_rank_8_uv_5_e3_beta_mask,fit_alternating_rank_8_uv_5_e3_beta_mask,gte_post_s,10,-0.8887145883313767,0.01338453747201809,0.004232562383944935,-0.9076980820274616,-0.8900088050635496,-0.866498583533255
hybrid,fit,alternating_rank_8_uv_5_e3_beta_mask,fit_alternating_rank_8_uv_5_e3_beta_mask,xi_estimate,10,0.8645752601724699,0.010945527481929581,0.0034612797034864968,0.8513410881262066,0.8683026735388337,0.8805137400160761
hybrid,fit,base,fit_base,beta_estimate,10,-0.07878687034037586,0.001093411281887189,0.0003457670070087928,-0.08034424953424045,-0.07889008948609567,-0.07713898038590812
hybrid,fit,base,fit_base,eta_estimate,10,0.2659355201048562,0.006228159264250786,0.0019695168905310987,0.2552122000268184,0.2684071563529623,0.2719783922697096
hybrid,fit,base,fit_base,field_rmse,10,0.5,6.671610070811202e-17,2.109748348428064e-17,0.4999999999999999,0.5,0.5000000000000001
hybrid,fit,base,fit_base,gte,10,-0.2472343556158218,0.003916155058701948,0.0012383969655888557,-0.2529410035775079,-0.24666411817316294,-0.24209969418077956
hybrid,fit,base,fit_base,gte_post_s,10,-0.43734291256189073,0.005965221335093321,0.00188636861659254,-0.44528830202644076,-0.43714652136184984,-0.42820871190852944
hybrid,fit,base,fit_base,xi_estimate,10,0.8142890405382357,0.010987225583795808,0.0034744658010867962,0.7949115791381363,0.8165335408918143,0.82868094734888
hybrid,truth,truth,truth,gte,10,-0.5150427714145582,0.004043996801963052,0.0012788240744640127,-0.5211551888289432,-0.5157817864458614,-0.5092638520238886
hybrid,truth,truth,truth,gte_post_s,10,-0.9110800877954164,0.007325349564409677,0.0023164789280456888,-0.9231222563932419,-0.9116258741258743,-0.9019927198713695
