statistic,sample_mean,sample_std,q025,q500,q975,num_finite_samples
overall_mean_magnetization,-0.26990000000000003,0.006255333724110976,-0.278978,-0.27088,-0.259818,8
post_intervention_mean_magnetization,-0.26990000000000003,0.006255333724110976,-0.278978,-0.27088,-0.259818,8
