view_code,view_label,component_rank,singular_value,energy_share,cumulative_energy_share,next_singular_ratio,matrix_kind,outcome_code,intervention_code,requested_start_date,resolved_start_week_end_date,start_index,node_count,transition_weeks
raw,Raw,29,5.740661063870015,9.507858818335658e-05,0.9992491490312305,1.0904733981556933,intervention_z,death_rate_100k_ge_2,complete_cov_ge_20,2020-03-01,2020-03-01,5,3014,115
raw,Raw,30,5.264375154477989,7.995627871984408e-05,0.9993291053099503,1.0056514283460856,intervention_z,death_rate_100k_ge_2,complete_cov_ge_20,2020-03-01,2020-03-01,5,3014,115
raw,Raw,31,5.234791107626512,7.906014812176685e-05,0.9994081654580721,1.0267053114815945,intervention_z,death_rate_100k_ge_2,complete_cov_ge_20,2020-03-01,2020-03-01,5,3014,115
raw,Raw,32,5.098630589601615,7.500081904509772e-05,0.9994831662771172,1.0966694732902105,intervention_z,death_rate_100k_ge_2,complete_cov_ge_20,2020-03-01,2020-03-01,5,3014,115
raw,Raw,33,4.6491953261950325,6.23612047578366e-05,0.9995455274818751,1.0280757853697065,intervention_z,death_rate_100k_ge_2,complete_cov_ge_20,2020-03-01,2020-03-01,5,3014,115
raw,Raw,34,4.522230162753162,5.9001660785651e-05,0.9996045291426607,1.188001880175154,intervention_z,death_rate_100k_ge_2,complete_cov_ge_20,2020-03-01,2020-03-01,5,3014,115
raw,Raw,35,3.8065850216385373,4.1805168711124515e-05,0.9996463343113718,1.0000091138109068,intervention_z,death_rate_100k_ge_2,complete_cov_ge_20,2020-03-01,2020-03-01,5,3014,115
raw,Raw,36,3.8065503294586276,4.180440671273648e-05,0.9996881387180846,1.0330299405470826,intervention_z,death_rate_100k_ge_2,complete_cov_ge_20,2020-03-01,2020-03-01,5,3014,115
raw,Raw,37,3.6848402742738657,3.917384912988864e-05,0.9997273125672145,1.0637380987380165,intervention_z,death_rate_100k_ge_2,complete_cov_ge_20,2020-03-01,2020-03-01,5,3014,115
raw,Raw,38,3.464048414403355,3.461998043140822e-05,0.9997619325476459,1.018029726393674,intervention_z,death_rate_100k_ge_2,complete_cov_ge_20,2020-03-01,2020-03-01,5,3014,115
raw,Raw,39,3.4026986880575643,3.3404571021345816e-05,0.9997953371186672,1.0145207009203578,intervention_z,death_rate_100k_ge_2,complete_cov_ge_20,2020-03-01,2020-03-01,5,3014,115
raw,Raw,40,3.353996310741306,3.245518378715644e-05,0.9998277923024543,1.0139717866895916,intervention_z,death_rate_100k_ge_2,complete_cov_ge_20,2020-03-01,2020-03-01,5,3014,115
raw,Raw,41,3.307780704324536,3.156692878999951e-05,0.9998593592312444,1.1786100361053655,intervention_z,death_rate_100k_ge_2,complete_cov_ge_20,2020-03-01,2020-03-01,5,3014,115
raw,Raw,42,2.8065098743388157,2.2724380931771378e-05,0.9998820836121761,1.0670392145547845,intervention_z,death_rate_100k_ge_2,complete_cov_ge_20,2020-03-01,2020-03-01,5,3014,115
raw,Raw,43,2.6301843794089748,1.99586563275352e-05,0.9999020422685037,1.0498703837732872,intervention_z,death_rate_100k_ge_2,complete_cov_ge_20,2020-03-01,2020-03-01,5,3014,115
raw,Raw,44,2.5052467619440404,1.8107559903727824e-05,0.9999201498284074,1.078076929210673,intervention_z,death_rate_100k_ge_2,complete_cov_ge_20,2020-03-01,2020-03-01,5,3014,115
raw,Raw,45,2.323810754190136,1.5579747904820203e-05,0.9999357295763122,1.0104026128896255,intervention_z,death_rate_100k_ge_2,complete_cov_ge_20,2020-03-01,2020-03-01,5,3014,115
raw,Raw,46,2.2998859311580033,1.526059633691618e-05,0.9999509901726491,1.2037941584202674,intervention_z,death_rate_100k_ge_2,complete_cov_ge_20,2020-03-01,2020-03-01,5,3014,115
