experiment_name,experiment_slug,descriptor,experiment_path,intervention_source,graph_source,N,T,has_truth,field_mode,latent_rank
synth_no_interference_1,synth_no_interference_1,synth_no_interference_1,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticNoInterference/synth_no_interference_1,generated,generated,500,50,True,confounded_low_rank,3
synth_no_interference_2,synth_no_interference_2,synth_no_interference_2,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticNoInterference/synth_no_interference_2,generated,generated,500,50,True,confounded_low_rank,3
synth_no_interference_3,synth_no_interference_3,synth_no_interference_3,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticNoInterference/synth_no_interference_3,generated,generated,500,50,True,confounded_low_rank,3
synth_no_interference_4,synth_no_interference_4,synth_no_interference_4,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticNoInterference/synth_no_interference_4,generated,generated,500,50,True,confounded_low_rank,3
synth_no_interference_5,synth_no_interference_5,synth_no_interference_5,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticNoInterference/synth_no_interference_5,generated,generated,500,50,True,confounded_low_rank,3
synth_no_interference_6,synth_no_interference_6,synth_no_interference_6,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticNoInterference/synth_no_interference_6,generated,generated,500,50,True,confounded_low_rank,3
synth_no_interference_7,synth_no_interference_7,synth_no_interference_7,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticNoInterference/synth_no_interference_7,generated,generated,500,50,True,confounded_low_rank,3
synth_no_interference_8,synth_no_interference_8,synth_no_interference_8,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticNoInterference/synth_no_interference_8,generated,generated,500,50,True,confounded_low_rank,3
synth_no_interference_9,synth_no_interference_9,synth_no_interference_9,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticNoInterference/synth_no_interference_9,generated,generated,500,50,True,confounded_low_rank,3
synth_no_interference_10,synth_no_interference_10,synth_no_interference_10,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticNoInterference/synth_no_interference_10,generated,generated,500,50,True,confounded_low_rank,3
