variable,rule,positive_share,variance,transition_rate,weeks,counties
outcome,death_rate_100k >= 2,0.39609412503231045,0.9568142765887953,0.29393509612009044,72,3009
intervention,complete_cov >= 40,0.41184317418116023,0.9689134962461871,0.012151339409003039,72,3009
