time_index,sample_mean,sample_std,q025,q500,q975,num_finite_samples
0,-0.275,0.03135283081318177,-0.3337,-0.262,-0.244,8
1,-0.32099999999999995,0.03303028912982748,-0.3638,-0.33,-0.26680000000000004,8
2,-0.25,0.0286356421265527,-0.2913,-0.242,-0.2134,8
3,-0.28350000000000003,0.02453059314407215,-0.3153,-0.28400000000000003,-0.23900000000000002,8
4,-0.198,0.03475629439396553,-0.236,-0.20800000000000002,-0.1402,8
5,-0.32799999999999996,0.03388214869219484,-0.38430000000000003,-0.332,-0.2802,8
6,-0.27,0.038987177379235856,-0.3186,-0.28,-0.216,8
7,-0.31200000000000006,0.040298883359219766,-0.377,-0.31,-0.2562,8
8,-0.241,0.02783882181415011,-0.2772,-0.244,-0.19619999999999999,8
9,-0.2745,0.03187083306096657,-0.3205,-0.28,-0.2301,8
10,-0.242,0.018220867158288603,-0.26730000000000004,-0.242,-0.21409999999999998,8
11,-0.2355,0.03402572556169816,-0.2904,-0.236,-0.1967,8
12,-0.194,0.030397368307141334,-0.2273,-0.202,-0.1454,8
13,-0.33149999999999996,0.03460852496134443,-0.3713,-0.33599999999999997,-0.28869999999999996,8
14,-0.203,0.028195744359743372,-0.2419,-0.208,-0.1536,8
15,-0.32,0.040249223594996206,-0.3857,-0.318,-0.27340000000000003,8
16,-0.2515,0.028526303651191822,-0.30119999999999997,-0.244,-0.2174,8
17,-0.252,0.02932575659723036,-0.2998,-0.256,-0.2108,8
18,-0.2685,0.02738156314018614,-0.32220000000000004,-0.266,-0.2374,8
19,-0.33399999999999996,0.034351128074635334,-0.368,-0.336,-0.2665,8
20,-0.30799999999999994,0.04275511665286389,-0.3638,-0.316,-0.2402,8
21,-0.2555,0.0285963284356576,-0.292,-0.26,-0.2056,8
22,-0.2595,0.028735866091002024,-0.3005,-0.266,-0.2115,8
23,-0.3145,0.027490907587782547,-0.3591,-0.318,-0.2741,8
24,-0.183,0.024718414188616547,-0.2172,-0.19,-0.1428,8
25,-0.2675,0.03276812475562189,-0.2993,-0.274,-0.21009999999999998,8
26,-0.28400000000000003,0.03274141108748979,-0.34049999999999997,-0.272,-0.2435,8
27,-0.23550000000000001,0.03997186510534628,-0.3078,-0.228,-0.1908,8
28,-0.20800000000000002,0.023832750575625967,-0.24659999999999999,-0.2,-0.1755,8
29,-0.2895,0.034810199654698906,-0.3613,-0.28,-0.2529,8
30,-0.2725,0.054274763933157735,-0.3459,-0.27,-0.2002,8
31,-0.3115,0.02633913438213185,-0.3584,-0.306,-0.27740000000000004,8
32,-0.23950000000000002,0.03495354059319312,-0.284,-0.228,-0.2,8
33,-0.266,0.038418745424597084,-0.3368,-0.262,-0.2188,8
34,-0.2695,0.01708069085253872,-0.3005,-0.27,-0.252,8
35,-0.2125,0.02921900066737396,-0.2572,-0.20600000000000002,-0.1774,8
36,-0.229,0.02242766149200581,-0.256,-0.228,-0.18889999999999998,8
37,-0.2345,0.030655342111938672,-0.2751,-0.242,-0.179,8
38,-0.2985,0.04853606906209031,-0.3765,-0.294,-0.2308,8
39,-0.2105,0.028561337503695446,-0.24659999999999999,-0.218,-0.16419999999999998,8
40,-0.32599999999999996,0.03481379037105842,-0.385,-0.324,-0.2807,8
41,-0.32599999999999996,0.02537715508089903,-0.3513,-0.33799999999999997,-0.28090000000000004,8
42,-0.3255,0.022621892051727238,-0.3633,-0.318,-0.304,8
43,-0.192,0.03847076812334269,-0.2641,-0.194,-0.148,8
44,-0.245,0.032480763537823434,-0.2991,-0.236,-0.208,8
45,-0.2955,0.036245689398878865,-0.3596,-0.288,-0.2534,8
46,-0.2645,0.02723508766279263,-0.2913,-0.266,-0.2098,8
47,-0.30300000000000005,0.03686461718233352,-0.3539,-0.312,-0.2442,8
48,-0.316,0.042047592083257264,-0.3817,-0.318,-0.2595,8
49,-0.29450000000000004,0.022885584982691613,-0.3226,-0.302,-0.26,8
